Energy (keV)	Elec. SP	Nuc SP	Range (mm)	Straggling	Straggling
0.01	0.362	0.522	1.4	305.04	249.24
0.011	0.38	0.497	1.56	331.53	274.57
0.012	0.397	0.475	1.72	357.33	299.85
0.013	0.413	0.456	1.88	382.47	325.04
0.014	0.429	0.438	2.04	406.95	350.1
0.015	0.444	0.421	2.21	430.79	374.98
0.016	0.458	0.406	2.37	454.01	399.67
0.017	0.472	0.393	2.53	476.61	424.13
0.018	0.486	0.38	2.7	498.63	448.35
0.02	0.512	0.357	3.03	541.77	496.05
0.0225	0.522	0.333	3.44	594.06	554.53
0.025	0.545	0.312	3.86	644.25	611.92
0.0275	0.574	0.294	4.28	691.54	667.82
0.03	0.605	0.278	4.69	735.78	721.95
0.0325	0.635	0.264	5.09	777.1	774.16
0.035	0.665	0.252	5.49	815.75	824.43
0.0375	0.693	0.241	5.88	852.01	872.79
0.04	0.719	0.231	6.27	886.14	919.33
0.045	0.767	0.213	7.02	951.57	1.01
0.05	0.809	0.198	7.76	1.01	1.09
0.055	0.846	0.186	8.48	1.06	1.17
0.06	0.878	0.175	9.18	1.11	1.24
0.065	0.908	0.165	9.88	1.16	1.31
0.07	0.936	0.157	10.56	1.2	1.37
0.08	0.986	0.142	11.89	1.29	1.49
0.09	1.03	0.131	13.19	1.36	1.6
0.1	1.08	0.121	14.44	1.43	1.7
0.11	1.13	0.113	15.67	1.49	1.8
0.12	1.17	0.106	16.85	1.54	1.88
0.13	1.22	0.0993	18.01	1.59	1.96
0.14	1.26	0.0939	19.13	1.63	2.04
0.15	1.31	0.0891	20.22	1.67	2.11
0.16	1.36	0.0848	21.27	1.71	2.17
0.17	1.4	0.081	22.3	1.74	2.23
0.18	1.45	0.0775	23.3	1.78	2.29
0.2	1.54	0.0714	25.22	1.84	2.4
0.225	1.65	0.0652	27.49	1.92	2.51
0.25	1.75	0.06	29.63	1.98	2.61
0.275	1.85	0.0556	31.65	2.04	2.7
0.3	1.95	0.0519	33.59	2.09	2.78
0.325	2.05	0.0487	35.43	2.13	2.85
0.35	2.15	0.0459	37.19	2.17	2.92
0.375	2.25	0.0434	38.88	2.2	2.98
0.4	2.35	0.0412	40.49	2.23	3.03
0.45	2.55	0.0375	43.53	2.3	3.12
0.5	2.76	0.0344	46.35	2.36	3.2
0.55	2.96	0.0318	48.97	2.41	3.27
0.6	3.16	0.0297	51.43	2.46	3.33
0.65	3.35	0.0278	53.74	2.49	3.38
0.7	3.53	0.0261	55.93	2.52	3.43
0.8	3.88	0.0234	60	2.61	3.51
0.9	4.19	0.0212	63.75	2.68	3.57
1	4.46	0.0194	67.24	2.74	3.62
1.1	4.71	0.0179	70.54	2.79	3.67
1.2	4.92	0.0167	73.69	2.83	3.71
1.3	5.1	0.0156	76.71	2.87	3.75
1.4	5.26	0.0146	79.64	2.91	3.78
1.5	5.4	0.0138	82.48	2.94	3.81
1.6	5.51	0.0131	85.26	2.98	3.83
1.7	5.61	0.0124	87.99	3.01	3.86
1.8	5.7	0.0118	90.67	3.03	3.88
2	5.82	0.0108	95.95	3.13	3.93
2.25	5.93	0.00978	102.41	3.27	3.97
2.5	5.99	0.00894	108.78	3.4	4.01
2.75	6.01	0.00823	115.11	3.53	4.05
3	6.01	0.00764	121.43	3.64	4.09
3.25	6	0.00713	127.76	3.76	4.12
3.5	5.97	0.00669	134.11	3.87	4.16
3.75	5.93	0.0063	140.5	3.98	4.19
4	5.89	0.00596	146.93	4.09	4.22
4.5	5.78	0.00538	159.96	4.49	4.27
5	5.67	0.00491	173.25	4.88	4.33
5.5	5.55	0.00452	186.82	5.25	4.38
6	5.42	0.00419	200.69	5.61	4.44
6.5	5.3	0.0039	214.88	5.97	4.49
7	5.18	0.00366	229.41	6.32	4.54
8	4.94	0.00325	259.51	7.63	4.65
9	4.71	0.00293	291.06	8.85	4.76
10	4.5	0.00267	324.1	10.02	4.87
11	4.3	0.00246	358.68	11.16	4.98
12	4.12	0.00228	394.84	12.28	5.11
13	3.95	0.00212	432.6	13.4	5.23
14	3.78	0.00199	471.99	14.52	5.37
15	3.63	0.00187	513.04	15.65	5.51
16	3.49	0.00176	555.76	16.79	5.66
17	3.36	0.00167	600.18	17.93	5.81
18	3.24	0.00159	646.3	19.09	5.97
18.1	3.23	0.00158	651.01	19.11	5.99
