 Theta CM  -  gs  -  first  -  second  -  third 
1 107 9  0 1 -574.218 
2 86 26  2 0 -258.469 
3 132 14  10 1 -299.838 
4 153 20  10 9 -300.028 
5 162 17  17 10 -298.358 
6 212 12  7 9 -392.299 
7 281 7  10 10 -558.245 
8 370 4  9 11 -854.548 
9 406 7  16 11 -1228.89 
10 571 7  8 7 -2902.8 
11 713 11  12 10 -21538.1 
12 980 11  12 7 6152.7 
13 1170 7  19 15 3084.68 
14 1465 18  18 19 2341.06 
15 1807 10  25 22 2013.15 
16 2230 5  28 24 1868.33 
17 2512 4  14 32 1660.74 
18 2715 4  18 15 1464.85 
19 2862 10  25 26 1292.09 
20 2855 8  25 30 1099.7 
21 2728 5  18 36 910.628 
22 2612 5  19 36 765.397 
23 2407 7  21 38 625.902 
24 2479 7  20 40 577.353 
25 2397 7  25 48 504.02 
26 2327 8  22 43 444.881 
27 2264 3  19 46 395.997 
28 2032 6  30 41 326.979 
29 1891 13  20 35 281.344 
30 1831 5  17 43 253.016 
31 1663 8  21 28 214.317 
32 1590 5  17 33 191.824 
33 1405 8  24 33 159.232 
34 1292 5  25 26 137.993 
35 1190 6  17 32 120.136 
36 1087 6  16 30 104.014 
37 977 10  17 26 88.8408 
38 871 2  24 28 75.4476 
39 801 6  16 27 66.2457 
40 700 2  12 33 55.3926 
41 641 6  18 31 48.6318 
42 544 4  9 22 39.6463 
43 491 4  15 26 34.4363 
44 432 8  18 28 29.208 
45 363 5  26 24 23.6986 
46 299 4  18 33 18.8786 
47 226 4  15 22 13.8211 
48 186 5  22 32 11.0334 
49 154 3  14 28 8.87317 
50 120 4  12 33 6.72479 
51 118 6  26 32 6.43983 
52 73 2  29 35 3.88459 
53 84 3  21 32 4.36365 
54 55 1  30 30 2.79242 
55 49 7  23 37 2.43413 
56 59 3  22 37 2.87078 
57 61 8  17 40 2.91026 
58 60 4  33 34 2.80963 
59 72 5  40 38 3.3125 
60 78 4  30 35 3.52909 
61 85 10  37 37 3.78564 
62 108 5  40 35 4.73908 
63 126 3  40 31 5.4523 
64 125 3  38 46 5.33873 
65 169 0  41 41 7.13027 
66 174 2  40 35 7.25813 
67 185 4  60 38 7.63591 
68 210 2  47 34 8.58368 
69 216 2  59 48 8.7502 
70 259 3  68 32 10.4067 
71 260 6  72 35 10.3698 
72 250 2  69 42 9.9049 
73 247 2  63 37 9.72847 
74 254 3  63 27 9.95267 
75 251 3  73 33 9.79163 
76 238 3  61 29 9.2501 
77 271 4  62 34 10.5012 
78 274 2  70 32 10.5931 
79 262 6  63 32 10.1131 
80 253 3  76 30 9.75698 
81 256 3  78 42 9.87067 
82 259 2  81 35 9.99116 
83 225 6  61 35 8.6897 
84 250 4  76 38 9.67306 
85 216 6  95 29 8.37863 
86 211 3  79 37 8.21088 
87 201 3  80 30 7.85207 
88 191 1  82 38 7.49539 
89 178 2  73 37 7.02175 
90 178 3  86 34 7.06321 
91 186 2  99 47 7.42923 
92 178 1  90 43 7.1613 
93 174 4  66 39 7.05596 
94 157 5  70 44 6.42148 
95 141 2  68 35 5.82076 
96 121 4  76 32 5.04507 
97 138 1  92 48 5.81542 
98 117 2  86 35 4.98665 
99 116 4  67 30 5.00386 
100 116 4  69 47 5.06797 
101 108 1  88 41 4.7823 
102 99 2  81 46 4.44628 
103 97 1  82 30 4.42177 
104 86 2  92 46 3.98201 
105 83 6  84 30 3.90647 
106 89 2  80 40 4.26113 
107 70 7  64 40 3.41186 
108 102 2  59 39 5.06509 
109 86 4  91 34 4.35432 
110 97 4  81 36 5.01157 
111 93 0  66 33 4.90703 
112 80 2  69 34 4.31438 
113 83 1  64 18 4.57893 
114 70 4  64 30 3.95381 
115 53 0  69 36 3.06765 
116 79 1  71 28 4.68985 
117 86 3  66 31 5.2412 
118 98 6  62 24 6.13717 
119 75 8  49 33 4.83094 
120 86 8  53 27 5.7033 
121 76 9  45 26 5.19447 
122 87 6  59 39 6.13482 
123 83 2  47 27 6.04481 
124 84 1  50 23 6.32542 
125 86 1  49 23 6.70366 
126 107 1  50 23 8.64403 
127 80 4  44 28 6.70617 
128 67 2  38 29 5.83532 
129 81 1  40 17 7.33928 
130 83 2  42 17 7.8347 
131 80 4  40 14 7.87827 
132 89 2  40 19 9.15747 
133 70 3  40 21 7.53712 
134 73 3  32 15 8.23872 
135 59 1  29 12 6.99135 
136 56 0  36 11 6.97991 
137 72 2  21 13 9.45732 
138 76 2  27 12 10.5412 
139 49 1  27 17 7.19166 
140 42 1  23 8 6.5375 
141 56 0  18 8 9.26643 
142 36 1  19 10 6.34878 
143 32 2  17 10 6.03087 
144 44 3  11 7 8.8877 
145 36 2  8 6 7.81823 
146 22 4  11 7 5.15432 
147 23 2  7 3 5.83471 
148 19 3  1 3 5.24005 
149 32 1  6 3 9.63696 
150 21 0  10 2 6.93963 
151 22 1  7 3 8.02087 
152 18 3  3 2 7.28437 
153 15 2  2 1 6.78447 
154 16 4  3 0 8.1519 
155 6 2  0 0 3.47493 
156 8 3  0 1 5.32311 
157 11 0  1 1 8.51663 
158 2 0  0 1 1.82994 
159 5 1  0 0 5.51241 
160 0 3  0 2 0 
161 0 0  0 1 0 
162 0 0  2 0 0 
163 3 1  0 0 10.229 
164 0 0  0 0 0 
165 0 0  0 2 0 
166 1 0  2 0 -34.5066 
167 1 0  1 0 -9.09206 
168 0 0  0 0 -0 
169 1 1  0 0 -4.30066 
170 0 0  0 1 -0 
171 1 0  0 0 -3.30212 
172 0 0  0 0 -0 
173 1 0  0 0 -3.10872 
174 0 0  0 0 -0 
175 0 0  0 0 -0 
176 0 0  0 0 -0 
177 0 0  0 0 -0 
178 0 0  0 0 -0 
179 0 0  0 0 -0 
180 0 0  0 0 -0 
181 0 0  0 0 0 
182 0 0  0 0 0 
183 0 0  0 0 0 
184 0 0  0 0 0 
185 0 0  0 0 0 
186 0 0  0 0 0 
187 0 0  0 0 0 
188 0 0  0 0 0 
189 0 0  0 0 0 
190 0 0  0 0 0 
191 0 0  0 0 0 
192 0 0  0 0 0 
193 0 0  0 0 0 
194 0 0  0 0 0 
195 0 0  0 0 0 
196 0 0  0 0 0 
197 0 0  0 0 0 
198 0 0  0 0 0 
199 0 0  0 0 0 
200 0 0  0 0 0 
201 0 0  0 0 0 
202 0 0  0 0 0 
203 0 0  0 0 0 
204 0 0  0 0 0 
205 0 0  0 0 0 
206 0 0  0 0 0 
207 0 0  0 0 0 
208 0 0  0 0 0 
209 0 0  0 0 0 
210 0 0  0 0 0 
211 0 0  0 0 0 
212 0 0  0 0 0 
213 0 0  0 0 0 
214 0 0  0 0 0 
215 0 0  0 0 0 
216 0 0  0 0 0 
217 0 0  0 0 0 
218 0 0  0 0 0 
219 0 0  0 0 0 
220 0 0  0 0 0 
221 0 0  0 0 0 
222 0 0  0 0 0 
223 0 0  0 0 0 
224 0 0  0 0 0 
225 0 0  0 0 0 
226 0 0  0 0 0 
227 0 0  0 0 0 
228 0 0  0 0 0 
229 0 0  0 0 0 
230 0 0  0 0 0 
231 0 0  0 0 0 
232 0 0  0 0 0 
233 0 0  0 0 0 
234 0 0  0 0 0 
235 0 0  0 0 0 
236 0 0  0 0 0 
237 0 0  0 0 0 
238 0 0  0 0 0 
239 0 0  0 0 0 
240 0 0  0 0 0 
241 0 0  0 0 0 
242 0 0  0 0 0 
243 0 0  0 0 0 
244 0 0  0 0 0 
245 0 0  0 0 0 
246 0 0  0 0 0 
247 0 0  0 0 0 
248 0 0  0 0 0 
249 0 0  0 0 0 
250 0 0  0 0 0 
251 0 0  0 0 0 
252 0 0  0 0 0 
253 0 0  0 0 0 
254 0 0  0 0 0 
255 0 0  0 0 0 
256 0 0  0 0 0 
257 0 0  0 0 0 
258 0 0  0 0 0 
259 0 0  0 0 0 
260 0 0  0 0 0 
261 0 0  0 0 0 
262 0 0  0 0 0 
263 0 0  0 0 0 
264 0 0  0 0 0 
265 0 0  0 0 0 
266 0 0  0 0 -0 
267 0 0  0 0 -0 
268 0 0  0 0 -0 
269 0 0  0 0 -0 
270 0 0  0 0 -0 
271 0 0  0 0 -0 
272 0 0  0 0 -0 
273 0 0  0 0 -0 
274 0 0  0 0 -0 
275 0 0  0 0 -0 
276 0 0  0 0 -0 
277 0 0  0 0 -0 
278 0 0  0 0 -0 
279 0 0  0 0 -0 
280 0 0  0 0 -0 
281 0 0  0 0 -0 
282 0 0  0 0 -0 
283 0 0  0 0 -0 
284 0 0  0 0 -0 
285 0 0  0 0 -0 
286 0 0  0 0 -0 
287 0 0  0 0 -0 
288 0 0  0 0 -0 
289 0 0  0 0 -0 
290 0 0  0 0 -0 
291 0 0  0 0 -0 
292 0 0  0 0 -0 
293 0 0  0 0 -0 
294 0 0  0 0 -0 
295 0 0  0 0 -0 
296 0 0  0 0 -0 
297 0 1  0 0 -0 
298 0 1  0 0 -0 
299 0 0  0 0 -0 
300 0 0  0 0 -0 
301 0 0  0 0 -0 
302 0 0  0 0 -0 
303 0 0  0 0 -0 
304 0 0  0 0 -0 
305 0 0  0 0 -0 
306 0 0  0 0 -0 
307 0 0  0 0 -0 
308 0 0  0 0 -0 
309 0 1  0 0 -0 
310 0 1  0 0 -0 
311 0 1  0 0 -0 
312 0 0  0 0 -0 
313 0 0  0 0 -0 
314 0 0  0 0 -0 
315 0 1  0 0 -0 
316 0 1  0 0 -0 
317 0 0  0 0 -0 
318 0 0  0 0 -0 
319 0 0  0 0 -0 
320 0 2  0 0 -0 
321 0 0  0 0 -0 
322 0 0  0 0 -0 
323 0 0  0 0 -0 
324 0 0  0 0 -0 
325 0 0  0 0 -0 
326 0 1  0 0 -0 
327 0 1  0 0 -0 
328 0 0  0 0 -0 
329 0 1  0 0 -0 
330 0 3  0 0 -0 
331 0 1  0 0 -0 
332 0 6  0 0 -0 
333 0 3  0 0 -0 
334 0 9  0 0 -0 
335 0 8  0 0 -0 
336 0 8  0 0 -0 
337 0 7  0 0 -0 
338 0 16  0 0 -0 
339 0 16  0 0 -0 
340 0 19  0 0 -0 
341 0 20  0 0 -0 
342 0 20  0 0 -0 
343 0 31  0 0 -0 
344 0 22  0 0 -0 
345 0 20  0 0 -0 
346 0 28  0 0 -0 
347 0 29  0 0 -0 
348 0 33  0 0 -0 
349 0 41  0 0 -0 
350 0 43  0 0 -0 
351 0 35  0 0 -0 
352 0 31  0 0 -0 
353 0 48  0 0 -0 
354 0 50  0 0 -0 
355 0 56  0 0 -0 
356 0 62  0 0 -0 
357 0 53  0 0 -0 
358 0 72  0 0 -0 
359 0 86  0 0 -0 
