#      d + 10Be
#10Be(d,d)10Be(3- 7.400) ELAB= 19.000
#10Be(d,d)10Be(2+ 7.500) ELAB= 19.000
   Angel	ELab=19.00(d+10Be)AAEx=7.400(d+10Be|3-)AA,ELab=19.00Ex=7.500(d+10Be|2+)AA,ELab=19.00
   0.000	828699999999999958695917355137335558144.000000           5.381600          14.515000
   1.000	    13930000.000000           5.380300          14.523000
   2.000	      815500.000000           5.376500          14.549000
   3.000	      147500.000000           5.370100          14.591000
   4.000	       42570.000000           5.361200          14.650000
   5.000	       16300.000000           5.349800          14.727000
   6.000	        7796.000000           5.336000          14.820000
   7.000	        4541.000000           5.320000          14.932000
   8.000	        3132.000000           5.302300          15.062000
   9.000	        2448.000000           5.283200          15.212000
  10.000	        2073.000000           5.263600          15.383000
  11.000	        1837.000000           5.244400          15.576000
  12.000	        1664.000000           5.226800          15.791000
  13.000	        1521.000000           5.212000          16.030000
  14.000	        1392.000000           5.201700          16.291000
  15.000	        1271.000000           5.197600          16.573000
  16.000	        1155.000000           5.201600          16.874000
  17.000	        1043.000000           5.215600          17.191000
  18.000	         935.100000           5.241600          17.520000
  19.000	         831.700000           5.281500          17.854000
  20.000	         733.600000           5.336900          18.188000
  21.000	         641.300000           5.409300          18.514000
  22.000	         555.400000           5.500200          18.823000
  23.000	         476.200000           5.610200          19.109000
  24.000	         404.000000           5.739800          19.362000
  25.000	         338.900000           5.889100          19.573000
  26.000	         280.800000           6.057500          19.736000
  27.000	         229.500000           6.243900          19.842000
  28.000	         184.800000           6.446800          19.884000
  29.000	         146.400000           6.663900          19.859000
  30.000	         113.700000           6.892600          19.760000
  31.000	          86.470000           7.129900          19.586000
  32.000	          64.070000           7.372100          19.335000
  33.000	          46.010000           7.615600          19.008000
  34.000	          31.790000           7.856200          18.606000
  35.000	          20.900000           8.089600          18.132000
  36.000	          12.840000           8.311700          17.592000
  37.000	           7.150000           8.518200          16.990000
  38.000	           3.407000           8.705000          16.335000
  39.000	           1.215000           8.868400          15.634000
  40.000	           0.223000           9.004700          14.896000
  41.000	           0.122700           9.111100          14.131000
  42.000	           0.646800           9.184800          13.347000
  43.000	           1.570000           9.223800          12.554000
  44.000	           2.707000           9.226700          11.763000
  45.000	           3.910000           9.192700          10.982000
  46.000	           5.064000           9.121400          10.220000
  47.000	           6.086000           9.013500           9.484900
  48.000	           6.920000           8.869700           8.784100
  49.000	           7.532000           8.691700           8.124000
  50.000	           7.909000           8.481700           7.509800
  51.000	           8.052000           8.242200           6.945800
  52.000	           7.976000           7.976300           6.435400
  53.000	           7.705000           7.687200           5.980500
  54.000	           7.267000           7.378600           5.582400
  55.000	           6.698000           7.054300           5.241100
  56.000	           6.031000           6.718300           4.955800
  57.000	           5.302000           6.374500           4.724800
  58.000	           4.545000           6.026900           4.545700
  59.000	           3.789000           5.679200           4.415300
  60.000	           3.062000           5.335200           4.330100
  61.000	           2.386000           4.998200           4.285900
  62.000	           1.781000           4.671400           4.278300
  63.000	           1.258000           4.357700           4.302700
  64.000	           0.828700           4.059500           4.354300
  65.000	           0.497300           3.778900           4.428300
  66.000	           0.265300           3.517700           4.520100
  67.000	           0.130700           3.277100           4.625000
  68.000	           0.088480           3.058000           4.738800
  69.000	           0.131400           2.861000           4.857400
  70.000	           0.250300           2.686200           4.976900
  71.000	           0.434700           2.533400           5.094000
  72.000	           0.673100           2.402200           5.205600
  73.000	           0.953700           2.291500           5.309000
  74.000	           1.265000           2.200500           5.402000
  75.000	           1.595000           2.127700           5.482700
  76.000	           1.934000           2.071800           5.549500
  77.000	           2.270000           2.031000           5.601200
  78.000	           2.597000           2.003600           5.636900
  79.000	           2.905000           1.987900           5.656200
  80.000	           3.188000           1.981900           5.658700
  81.000	           3.442000           1.984000           5.644500
  82.000	           3.661000           1.992300           5.613800
  83.000	           3.844000           2.005000           5.567000
  84.000	           3.990000           2.020700           5.504600
  85.000	           4.096000           2.037700           5.427400
  86.000	           4.165000           2.054800           5.336300
  87.000	           4.197000           2.070700           5.232300
  88.000	           4.195000           2.084400           5.116300
  89.000	           4.160000           2.095100           4.989600
  90.000	           4.096000           2.102000           4.853400
  91.000	           4.006000           2.104700           4.708800
  92.000	           3.894000           2.102700           4.557100
