bin_0    92.6319 11.6881 346
bin_1    99.4019 11.6881 392
bin_2    83.7657 8.40101 51
bin_3    90.5357 8.40101 345
bin_4    110.846 8.40101 471
bin_5    104.076 8.40101 433
bin_6    97.3057 8.40101 391
bin_7    84.0525 4.95016 26
bin_8    92.6319 4.91812 342
bin_9    119.712 4.91812 494
bin_10    112.942 4.91812 468
bin_11    106.172 4.91812 430
bin_12    90.5357 1.63107 341
bin_13    83.7657 1.63107 25
bin_14    99.4019 4.91812 388
bin_15    110.846 1.63107 467
bin_16    104.076 1.63107 429
bin_17    97.3057 1.63107 387
bin_18    82.8706 -2.52573 578
bin_19    89.6407 -2.52626 1526
bin_20    117.616 1.63107 493
bin_21    116.721 -2.52649 1982
bin_22    109.95 -2.52649 1904
bin_23    103.18 -2.52573 1790
bin_24    96.4108 -2.52626 1664
bin_25    84.4126 -4.62724 581
bin_26    92.9277 -4.62251 1529
bin_27    99.6978 -4.62251 1667
bin_28    82.8706 -9.29582 656
bin_29    113.237 -4.62274 1907
bin_30    89.6407 -9.29628 1538
bin_31    120.007 -4.62274 1985
bin_32    109.95 -9.29651 1916
bin_33    103.18 -9.29582 1802
bin_34    96.4108 -9.29628 1676
bin_35    84.3272 -11.3283 659
bin_36    92.9277 -11.3925 1541
bin_37    116.721 -9.29651 1994
bin_38    82.8706 -16.0658 734
bin_39    99.6978 -11.3925 1679
bin_40    106.467 -11.392 1805
bin_41    89.6407 -16.0662 1550
bin_42    113.237 -11.3927 1919
bin_43    120.007 -11.3927 1997
bin_44    103.18 -16.0658 1814
bin_45    96.4108 -16.0662 1688
bin_46    84.3101 -18.1535 737
bin_47    99.6978 -18.1625 1691
bin_48    92.9277 -18.1625 1553
bin_49    82.8706 -22.8358 812
bin_50    106.467 -18.162 1817
bin_51    89.6407 -22.8362 1562
bin_52    109.95 -16.0665 1928
bin_53    113.237 -18.1627 1931
bin_54    116.721 -16.0665 2006
bin_55    120.007 -18.1627 2009
bin_56    83.99 -25.0293 815
bin_57    96.4108 -22.8362 1700
bin_58    99.6978 -24.9325 1703
bin_59    92.9277 -24.9325 1565
bin_60    82.8706 -29.6057 890
bin_61    103.18 -22.8358 1826
bin_62    89.6407 -29.6062 1574
bin_63    106.467 -24.932 1829
bin_64    109.95 -22.8365 1940
bin_65    113.237 -24.9327 1943
bin_66    116.721 -22.8365 2015
bin_67    106.467 -4.62198 1793
bin_68    119.711 18.4578 502
bin_69    112.941 18.4578 476
bin_70    76.9957 8.40101 49
bin_71    106.171 18.4578 438
bin_72    99.4014 18.4578 396
bin_73    85.8614 18.4578 78
bin_74    92.6314 18.4578 350
bin_75    117.615 15.1707 501
bin_76    77.0226 5.33278 24
bin_77    119.712 11.6881 498
bin_78    117.616 8.40101 497
bin_79    110.845 15.1707 475
