 Event ID : 0
-9.81648 31.2053 400 212 884.992
-4.90825 28.3038 404 214 9767.94
-9.81648 28.3038 404 214 102980
-7.36236 26.9547 404 214 586084
-2.45413 26.9547 412 218 494.609
-12.2706 26.9547 414 219 33922.1
-7.36236 24.0532 426 225 830935
-2.45413 24.0532 426 225 354.589
-12.2706 24.0532 438 231 69138.3
-4.90825 22.704 442 233 17890.8
-9.81648 22.704 444 234 496682
-4.90825 19.8025 446 235 2017.31
-14.7247 22.704 446 235 609.235
-7.36237 18.4534 448 236 2413.12
-9.81648 19.8025 448 236 23956
-12.2706 18.4534 450 237 250.148
103.073 -223.902 736 380 244.08
98.1647 -226.871 738 381 1231.39
98.1647 -215.4 742 383 252.414
98.1647 -209.868 746 385 258.896
98.1647 -198.398 754 389 170.544
93.2565 -184.364 762 393 189.979
103.073 -189.897 762 393 2267.73
98.1647 -192.866 762 393 3137.61
103.073 -184.364 762 393 498.026
93.2565 -189.897 764 394 403.208
98.1647 -181.395 766 395 400.522
98.1647 -175.863 774 399 1733.31
93.2565 -172.894 776 400 175.033
98.1647 -164.393 782 403 425.379
93.2565 -167.362 782 403 163.238
98.1647 -158.861 788 406 160.48
93.2565 -155.891 792 408 243.077
93.2565 -150.359 792 408 614.829
93.2565 -138.889 800 412 244.558
93.2565 -133.357 804 414 339.81
88.3482 -130.387 810 417 625.795
88.3482 -124.855 816 420 517.316
83.44 -113.317 820 422 84.1293
85.8941 -120.469 820 422 244.436
80.9859 -109.066 826 425 961.558
83.44 -107.717 828 426 249.089
78.5318 -104.816 828 426 85.8355
78.5318 -107.717 834 429 166.29
71.1694 -86.4639 842 433 84.3427
73.6235 -87.813 846 435 80.3869
68.7153 -79.3117 852 438 242.443
68.7153 -82.2132 856 440 176.849
66.2612 -77.9626 856 440 252.469
66.2612 -75.0611 856 440 165.421
61.3529 -66.5598 860 442 80.3652
