 Event ID : 0
14.7247 22.704 340 182 450.878
17.1788 24.0532 340 182 164.882
19.6329 31.2053 342 183 349.258
29.4494 36.8052 344 184 84.5068
22.0871 35.456 344 184 164.042
17.1788 26.9547 346 185 403.005
24.5412 31.2053 348 186 82.2574
22.0871 32.5545 348 186 764.222
24.5412 36.8052 348 186 570.97
31.9035 41.0558 348 186 428.513
26.9953 41.0558 348 186 82.4787
29.4494 39.7067 348 186 785.205
19.6329 28.3038 348 186 652.14
26.9953 35.456 350 187 428.594
31.9035 43.9573 350 187 488.476
34.3577 45.3065 352 188 735.324
46.6282 58.0584 352 188 88.7365
39.2659 48.208 354 189 422.575
41.72 49.5571 354 189 357.879
41.72 52.4586 354 189 823.152
44.1741 53.8078 354 189 724.081
44.1741 56.7093 354 189 91.8464
53.9906 62.3091 356 190 274.478
58.8988 65.2106 358 191 240.16
58.8988 62.3091 358 191 409.933
49.0824 56.7093 360 192 490.714
63.8071 65.2106 360 192 401.306
36.8118 49.5571 360 192 183.964
56.4447 60.9599 360 192 493.339
66.2612 69.4613 362 193 380.056
66.2612 66.5598 362 193 331.729
61.3529 66.5598 362 193 695.166
51.5365 58.0584 364 194 243.881
51.5365 60.9599 364 194 81.5215
71.1694 69.4613 364 194 248.485
68.7153 70.8104 364 194 401.387
80.9859 75.0611 366 195 404.218
78.5318 73.7119 368 196 482.233
90.8023 77.9626 368 196 178.016
76.0776 75.0611 368 196 356.204
73.6235 70.8104 368 196 406.65
73.6235 73.7119 370 197 512.019
85.8941 77.9626 370 197 1017.79
85.8941 75.0611 370 197 201.965
88.3482 79.3117 370 197 452.837
100.619 83.5624 372 198 271.175
93.2565 79.3117 372 198 324.033
98.1647 79.3117 374 199 80.4787
107.981 82.2132 376 200 84.7739
98.1647 82.2132 376 200 481.034
112.889 82.3487 378 201 768.957
103.073 82.2132 378 201 245.022
105.527 83.5624 380 202 322.87
117.798 90.85 380 202 406.233
112.889 87.8808 382 203 1448.61
122.706 87.8808 382 203 1638.78
127.614 90.85 382 203 580.501
132.522 87.8808 384 204 3389.72
137.431 90.85 386 205 1681.54
142.339 87.8808 388 206 2038.36
152.155 87.8808 392 208 982.077
147.247 90.85 392 208 1203.84
157.064 90.85 394 209 571.109
161.972 87.8808 396 210 1746.33
171.788 87.8808 396 210 1847.52
166.88 90.85 396 210 658.674
181.605 82.3487 398 211 411.609
176.697 90.85 398 211 412.478
181.605 87.8808 400 212 986.365
191.421 87.8808 402 213 160.607
191.421 82.3487 404 214 1718.54
201.238 82.3487 406 215 1120.61
196.329 79.3795 406 215 797.568
186.513 79.3795 406 215 80.4164
206.146 79.3795 408 216 1774.55
215.962 79.3795 408 216 162.99
206.146 73.8474 408 216 160.167
220.871 70.8781 412 218 1485.72
215.962 73.8474 412 218 1471.47
211.054 70.8781 412 218 162.638
225.779 73.8474 416 220 377.377
230.687 70.8781 416 220 532.22
230.687 65.3461 416 220 1019.87
235.595 62.3768 418 221 1067.14
240.504 65.3461 422 223 173.205
245.412 56.8448 422 223 88.2459
