 Event ID : 153
7.36237 24.0532 40 20 35.9183
12.2706 26.9547 40 20 35.3876
9.81648 31.2053 40 20 477.006
9.81648 28.3038 40 20 363.173
4.90825 31.2053 40 20 524.394
4.90825 28.3038 40 20 361.863
7.36237 26.9547 40 20 382.824
2.4541 26.9547 42 21 42.741
12.2706 32.5545 54 27 78.1379
7.36237 32.5545 56 28 1084.2
2.45413 32.5545 80 40 150.801
7.36234 35.456 82 41 385.17
4.90822 36.8052 102 51 451.925
4.90822 39.7067 110 55 101.45
7.36237 41.0558 114 57 39.5613
2.4541 35.456 120 60 348.33
-2.45413 32.5545 134 67 32.8874
-1.14441e-05 36.8052 140 70 291.078
2.45411 41.0558 140 70 104.388
2.45411 43.9573 152 76 33.0738
-1.14441e-05 39.7067 154 77 290.252
-2.45413 35.456 154 77 78.564
-1.14441e-05 45.3065 156 78 23.3413
-2.45413 41.0558 174 87 176.184
-2.45413 43.9573 182 91 42.4588
-4.90825 45.3065 196 98 32.8395
-4.90825 39.7067 196 98 292.784
-4.90825 36.8052 200 100 90.4672
-7.36236 43.9573 204 102 38.7346
-7.36236 35.456 208 104 49.6498
-9.81648 45.3065 212 106 19.3882
-7.36236 41.0558 222 111 155.327
-12.2706 43.9573 232 116 19.5888
-9.81648 39.7067 238 119 187.32
-7.36237 32.5545 252 126 19.7028
-9.81648 36.8052 256 128 139.454
-12.2706 41.0558 262 131 45.3768
-9.81648 31.2053 262 131 16.077
-12.2706 35.456 272 136 128.913
-14.7247 39.7067 282 141 42.9406
-14.7247 36.8052 284 142 149.672
-12.2706 32.5545 290 145 36.002
-17.1788 41.0558 294 147 16.0108
-19.6329 39.7067 304 152 15.945
-17.1788 35.456 306 153 103.913
-19.6329 36.8052 320 160 30.1188
-14.7247 31.2053 324 162 43.1479
-22.0871 35.456 328 164 23.1047
-17.1788 32.5545 328 164 171.299
-22.0871 32.5545 348 174 29.2168
-44.1741 -45.3065 356 178 42.6562
-19.6329 31.2053 356 178 115.136
-49.0823 -45.3065 358 179 29.7027
-44.1741 -48.208 358 179 98.1664
-14.7247 28.3038 358 179 23.108
-46.6282 -41.0558 358 179 10.0843
-39.2659 -48.208 360 180 22.8414
-24.5412 31.2053 360 180 16.7832
-46.6282 -43.9573 360 180 22.7737
-49.0823 -48.208 362 181 58.1031
-56.4447 -49.5571 362 181 13.0989
-36.8118 -49.5571 362 181 12.8852
-46.6282 -49.5571 362 181 151.733
-53.9906 -48.208 364 182 19.4729
-41.72 -49.5571 364 182 50.0169
-51.5365 -43.9573 366 183 16.4953
-46.6282 -52.4586 366 183 211.333
-51.5365 -52.4586 368 184 44.0155
-44.1741 -53.8078 368 184 103.264
-39.2659 -45.3065 370 185 15.955
-39.2659 -53.8078 370 185 29.8131
-49.0823 -53.8078 370 185 102.461
-51.5365 -49.5571 370 185 39.2526
-44.1741 -56.7093 372 186 101.213
-56.4447 -58.0584 372 186 13.4986
-53.9906 -53.8078 372 186 28.9443
-53.9906 -45.3065 372 186 13.6662
-19.6329 28.3038 374 187 123.428
-39.2659 -56.7093 374 187 33.0969
