 Event ID : 1
22.0871 -43.9573 -56 20 2773.75
24.5412 -45.3065 -52.8 21 125.546
26.9953 -43.9573 -40 25 32.2204
22.0871 -41.0558 -36.8 26 1833.7
24.5412 -39.7067 -14.4 33 3034.05
26.9953 -41.0558 -14.4 33 376.06
29.4494 -39.7067 27.2 46 58.5951
24.5412 -36.8052 30.4 47 1276.4
29.4494 -36.8052 56 55 205.13
22.0871 -35.456 68.8 59 21.1555
26.9953 -35.456 72 60 2006.55
22.0871 -32.5545 84.8 64 13.2417
31.9035 -35.456 94.4 67 25.121
26.9953 -32.5545 94.4 67 1793.87
31.9035 -32.5545 120 75 60.0574
24.5412 -31.2053 120 75 211.172
29.4494 -31.2053 126.4 77 1155.99
29.4494 -28.3038 164.8 89 1305.79
24.5412 -28.3038 168 90 160.347
34.3577 -28.3038 174.4 92 6.22249
26.9953 -26.9547 187.2 96 1344.89
31.9035 -26.9547 196.8 99 129.24
22.0871 -26.9547 206.4 102 6.26942
31.9035 -24.0532 222.4 107 138.226
26.9953 -24.0532 222.4 107 1726.59
22.0871 -24.0532 222.4 107 19.9859
34.3577 -22.704 241.6 113 6.26978
29.4494 -22.704 244.8 114 1227.44
24.5412 -22.704 244.8 114 288.542
29.4494 -19.8025 264 120 705.693
31.9035 -18.4534 283.2 126 58.4617
24.5412 -19.8025 302.4 132 397.022
31.9035 -15.5519 302.4 132 31.3589
26.9953 -18.4534 302.4 132 1681.56
29.4494 -14.2027 328 140 122.525
26.9953 -15.5519 328 140 1278.08
22.0871 -18.4534 328 140 111.74
29.4494 -11.3012 360 150 32.5975
22.0871 -15.5519 366.4 152 222.034
24.5412 -14.2027 366.4 152 1299.77
24.5412 -11.3012 395.2 161 1328.87
26.9953 -9.95207 395.2 161 159.707
19.6329 -14.2027 398.4 162 112.644
26.9953 -7.05056 401.6 163 33.4392
22.0871 -9.95207 443.2 176 1192.26
19.6329 -11.3012 449.6 178 369.002
17.1788 -9.95207 452.8 179 156.062
24.5412 -5.70141 452.8 179 92.0056
22.0871 -7.05056 456 180 729.084
24.5412 -2.7999 481.6 188 13.2648
19.6329 -5.70141 488 190 737.965
14.7247 -11.3012 497.6 193 19.6749
19.6329 -2.7999 510.4 197 156.151
17.1788 -7.05056 510.4 197 763.502
22.0871 -1.45075 516.8 199 20.1014
12.2706 -9.95207 542.4 207 20.0428
14.7247 -5.70141 542.4 207 768.982
17.1788 -1.45075 545.6 208 229.713
14.7247 -2.7999 571.2 216 1167.93
17.1788 1.45075 571.2 216 46.5017
12.2706 -7.05056 574.4 217 144.688
12.2706 -1.45075 606.4 227 970.496
9.81648 -5.70141 609.6 228 130.768
14.7247 2.7999 609.6 228 39.7747
7.36237 -7.05056 628.8 234 33.5313
12.2706 1.45075 628.8 234 157.459
9.81648 -2.7999 632 235 918.206
