 Event ID : 1
-71.1694 -24.0532 -56 20 11.0818
-2.45413 15.5519 -56 20 27.9238
-1.33514e-05 11.3012 -56 20 27.9409
-1.33514e-05 14.2027 -56 20 29.3746
-34.3576 -99.2159 -56 20 55.9135
-39.2659 -45.3065 -56 20 16.2586
-39.2659 -36.8052 -56 20 57.9461
-71.1694 -26.9547 -52.8 21 48.1632
2.4541 9.95207 -52.8 21 39.0622
4.90825 11.3012 -52.8 21 19.4095
7.36237 7.05056 -49.6 22 28.3414
7.36237 9.95207 -49.6 22 26.3422
9.81648 5.70141 -46.4 23 34.2445
12.2706 7.05056 -43.2 24 25.3892
-39.2659 -48.208 -40 25 83.6296
-68.7153 -28.3038 -40 25 69.274
14.7247 5.70141 -40 25 23.6141
14.7247 2.7999 -40 25 20.5993
-31.9035 -100.565 -36.8 26 48.3665
17.1788 1.45075 -36.8 26 22.1133
19.6329 2.7999 -33.6 27 42.487
22.0871 1.45075 -30.4 28 51.3478
26.9953 -1.45075 -27.2 29 49.4542
29.4494 -2.7999 -24 30 40.8907
-36.8118 -49.5571 -24 30 34.6095
31.9035 -1.45075 -20.8 31 33.9479
34.3577 -2.7999 -17.6 32 57.0305
-68.7153 -31.2053 -17.6 32 67.2272
34.3577 -5.70141 -17.6 32 17.4102
39.2659 -5.70141 -14.4 33 52.6539
-36.8118 -41.0558 -14.4 33 23.6046
-71.1694 -32.5545 -11.2 34 22.5172
41.72 -7.05056 -11.2 34 35.2827
-26.9953 -103.467 -11.2 34 57.7593
44.1741 -5.70141 -8 35 35.1054
-36.8118 -52.4586 -4.8 36 99.7121
49.0824 -5.70141 -4.8 36 11.077
46.6282 -7.05056 -4.8 36 41.9241
51.5365 -7.05056 -1.6 37 41.7519
-24.5412 -104.816 1.6 38 56.3238
56.4447 -7.05056 4.8 39 10.341
56.4447 -9.95207 4.8 39 44.0033
-34.3576 -39.7067 8 40 52.5337
58.8988 -11.3012 8 40 11.6953
63.8071 -11.3012 11.2 41 15.6052
61.3529 -9.95207 11.2 41 40.9826
-68.7153 -36.8052 11.2 41 79.6735
66.2612 -9.95207 14.4 42 39.1545
-34.3576 -53.8078 14.4 42 60.262
-22.0871 -103.467 14.4 42 28.187
68.7153 -11.3012 17.6 43 24.0311
71.1694 -9.95207 20.8 44 43.4531
73.6235 -11.3012 24 45 26.2482
76.0776 -9.95207 24 45 48.4197
-19.6329 -104.816 27.2 46 47.4867
