 Event ID : 849
49.0824 28.3038 -56 20 6.69951
51.5365 32.5545 -56 20 1673.3
49.0824 31.2053 -56 20 8468.73
51.5365 35.456 -52.8 21 41.7135
49.0824 36.8052 -43.2 24 38.6094
46.6282 32.5545 -36.8 26 9035.03
46.6282 35.456 -27.2 29 2488.58
44.1741 31.2053 -17.6 32 949.085
44.1741 36.8052 -14.4 33 1750.53
41.72 32.5545 -4.8 36 1705.24
41.72 35.456 4.8 39 8024.82
39.2659 36.8052 20.8 44 5082.01
39.2659 31.2053 20.8 44 214.5
39.2659 39.7067 27.2 46 70.668
36.8118 32.5545 36.8 49 692.909
36.8118 35.456 36.8 49 7261.17
36.8118 41.0558 40 50 13.0757
34.3577 36.8052 56 55 5462.04
34.3577 31.2053 56 55 180.752
34.3577 39.7067 56 55 145.661
31.9035 41.0558 72 60 25.7081
31.9035 32.5545 78.4 62 882.732
31.9035 35.456 78.4 62 7134.8
29.4494 39.7067 84.8 64 124.607
29.4494 36.8052 91.2 66 4102.9
29.4494 31.2053 97.6 68 338.733
26.9953 35.456 110.4 72 6391.82
26.9953 41.0558 110.4 72 12.6175
26.9953 32.5545 116.8 74 1883.67
24.5412 39.7067 120 75 46.0613
24.5412 36.8052 129.6 78 1622.05
24.5412 31.2053 132.8 79 1259.55
22.0871 35.456 139.2 81 2334.42
22.0871 32.5545 152 85 5807.84
24.5412 28.3038 152 85 51.4707
22.0871 26.9547 155.2 86 32.9846
19.633 36.8052 158.4 87 391.216
19.6329 31.2053 171.2 91 4509.05
17.1788 35.456 177.6 93 395.176
14.7247 36.8052 180.8 94 26.0792
19.6329 28.3038 184 95 574.263
17.1788 32.5545 184 95 4415.7
14.7247 31.2053 200 100 3931.05
17.1788 26.9547 203.2 101 565.288
12.2706 35.456 206.4 102 25.9604
12.2706 32.5545 212.8 104 452.318
14.7247 28.3038 216 105 4344.89
9.81648 31.2053 228.8 109 388.264
17.1788 24.0532 228.8 109 52.3027
12.2706 26.9547 235.2 111 4923.47
14.7247 22.704 235.2 111 92.2275
7.36237 32.5545 244.8 114 27.6578
4.90825 31.2053 244.8 114 6.66907
9.81648 28.3038 248 115 2213.57
12.2706 24.0532 251.2 116 1024.19
-117.798 45.3065 257.6 118 6.62118
-115.344 49.5571 257.6 118 232.522
7.36237 26.9547 260.8 119 1271.39
-115.344 60.9599 260.8 119 95.5443
-115.344 52.4586 260.8 119 390.71
-120.252 52.4586 260.8 119 58.8838
-122.706 56.7093 260.8 119 87.2367
-120.252 58.0584 260.8 119 639.618
-110.435 52.4586 260.8 119 6.11496
-117.798 56.7093 260.8 119 854.983
-117.798 53.8078 260.8 119 442.292
-115.344 58.0584 260.8 119 219.954
-120.252 60.9599 260.8 119 1141.49
-122.706 53.8078 260.8 119 19.0696
-112.889 53.8078 260.8 119 71.7044
-112.889 48.208 260.8 119 32.2398
-117.798 48.208 260.8 119 50.9145
-120.252 49.5571 260.8 119 20.2771
-117.798 62.3091 260.8 119 289.097
