 Event ID : 9
215.962 90.85 456 180 31.4223
225.779 90.85 456 180 29.8919
215.962 96.3821 456 180 12.8122
220.871 87.8808 459.2 181 20.2971
176.697 90.85 465.6 183 5.91778
161.972 87.8808 468.8 184 6.97561
171.788 87.8808 468.8 184 6.38964
-22.0871 -1.45075 488 190 14.3623
-22.0871 -7.05056 491.2 191 21.2707
-17.1788 1.45075 491.2 191 58.1675
-19.6329 -5.70141 491.2 191 177.245
-19.6329 -2.7999 491.2 191 145.97
-17.1788 -7.05056 491.2 191 435.61
-17.1788 -1.45075 491.2 191 318.284
-14.7247 -5.70141 491.2 191 1703.55
-17.1788 -9.95207 491.2 191 64.5959
-14.7247 -11.3012 491.2 191 44.5929
-14.7247 2.7999 494.4 192 61.2582
-12.2706 -9.95207 494.4 192 124.436
-19.6329 2.7999 494.4 192 6.81927
-9.81648 -5.70141 494.4 192 1590.83
-12.2706 -7.05056 494.4 192 865.009
-12.2706 -1.45075 494.4 192 1580.29
-14.7247 -2.7999 494.4 192 1402.73
-12.2706 1.45075 497.6 193 367.282
-4.90825 -5.70141 497.6 193 1055.47
-7.36237 -1.45075 497.6 193 5745.62
-7.36236 -7.05056 497.6 193 661.329
-9.81648 -2.7999 497.6 193 4442.78
-9.81648 5.70141 497.6 193 53.6353
-9.81648 2.7999 497.6 193 391.089
-7.36237 1.45075 497.6 193 1651.94
-9.81648 -11.3012 497.6 193 32.267
-7.36236 -9.95207 497.6 193 77.2447
-2.45413 -9.95207 500.8 194 28.6994
-7.36236 7.05056 500.8 194 53.0828
4.90825 -5.70141 500.8 194 24.8118
4.90825 -2.7999 500.8 194 116.574
2.45413 -1.45075 500.8 194 796.299
2.4541 -7.05056 500.8 194 39.6186
-1.33514e-05 -2.7999 500.8 194 1498.37
-1.33514e-05 -5.70141 500.8 194 359.916
-2.45413 -7.05056 500.8 194 297.052
-2.45413 -1.45075 500.8 194 6228.56
-4.90825 -11.3012 500.8 194 6.84606
-4.90825 -2.7999 500.8 194 4818.46
-2.45413 9.95207 500.8 194 14.9775
-1.33514e-05 5.70141 500.8 194 390.961
-2.45413 7.05056 500.8 194 163.102
-2.45413 1.45075 500.8 194 5423
-4.90825 5.70141 500.8 194 287.312
-4.90825 2.7999 500.8 194 1690.18
7.36237 1.45075 504 195 26.3927
7.36237 -1.45075 504 195 18.3644
-1.33514e-05 2.7999 504 195 2482.17
2.4541 7.05056 504 195 97.5113
2.45413 1.45075 504 195 1138.03
4.90825 2.7999 504 195 202.083
7.36237 7.05056 504 195 6.59328
4.90825 5.70141 504 195 105.598
46.6282 -35.456 657.6 243 5.80827
49.0824 -36.8052 660.8 244 19.196
