 Event ID : 0
-17.1788 18.4534 320 172 1197.14
-19.6329 19.8025 322 173 753.016
-19.6329 22.704 326 175 1277.55
-22.0871 24.0532 326 175 989.814
-22.0871 26.9547 328 176 1580.65
-24.5412 28.3038 330 177 803.163
-26.9953 32.5545 334 179 365.091
-24.5412 31.2053 336 180 979.39
-26.9953 35.456 340 182 1673.74
-24.5412 36.8052 344 184 176.215
-29.4494 39.7067 344 184 967.804
-31.9035 43.9573 346 185 163.859
-29.4494 36.8052 346 185 170.735
-26.9953 41.0558 346 185 1068.78
-29.4494 45.3065 350 187 1397.31
-26.9953 43.9573 352 188 355.964
-34.3576 53.8078 356 190 86.7237
-29.4494 48.208 356 190 685.27
-31.9035 49.5571 358 191 583.926
-29.4494 53.8078 358 191 190.926
-31.9035 52.4586 358 191 1625.01
-34.3576 56.7093 362 193 407.565
-31.9035 58.0584 364 194 1312.93
-31.9035 60.9599 366 195 1341.38
-34.3576 62.3091 372 198 892.568
-34.3576 65.2106 374 199 1150.67
-31.9035 69.4613 374 199 853.925
-31.9035 66.5598 374 199 1060.55
-34.3576 70.8104 380 202 916.517
-31.9035 75.0611 382 203 1849.49
-34.3576 73.7119 382 203 800.358
-29.4494 82.2132 386 205 161.554
-34.3576 79.3117 386 205 491.135
-29.4494 79.3117 388 206 83.0351
-31.9035 77.9626 388 206 1707.38
-34.3576 82.2132 390 207 257.186
-31.9035 83.5624 392 208 1303.96
-31.9035 86.4639 396 210 1075.43
-29.4494 87.813 396 210 1610.56
-31.9035 92.0637 400 212 442.435
-29.4494 90.7145 402 213 1949.71
-31.9035 94.9652 402 213 185.017
-26.9953 92.0637 404 214 178.59
-29.4494 96.3143 408 216 1564.87
-26.9953 94.9652 408 216 821.97
-29.4494 99.2159 408 216 584.399
-24.5412 99.2159 412 218 171.264
-26.9953 100.565 412 218 1454.05
-24.5412 104.816 416 220 2067.79
-26.9953 103.467 418 221 829.735
-22.0871 103.467 420 222 100.318
-24.5412 107.717 422 223 909.873
-22.0871 109.066 424 224 1980.15
-19.6329 116.218 428 226 697.158
-22.0871 111.968 428 226 1136.59
-19.6329 113.317 430 227 1240.33
-17.1788 117.568 434 229 1125.31
-17.1788 120.469 436 230 870.744
-14.7247 121.818 440 232 1663.19
-12.2706 126.069 442 233 1496.26
-14.7247 124.72 444 234 528.848
-12.2706 120.469 444 234 171.309
-12.2706 128.97 444 234 80.1555
-9.81647 124.72 446 235 992.708
-7.36235 126.069 448 236 705.09
-7.36235 128.97 450 237 2887.08
-4.90823 130.32 452 238 1362.79
-4.90823 133.221 454 239 1130.6
-9.81647 130.32 454 239 425.559
-2.45412 134.57 458 241 1845.06
0 133.221 462 243 326.553
1.90735e-06 141.858 462 243 194.78
-4.90823 138.889 464 244 160.149
2.45412 134.57 468 246 86.8434
4.90824 138.889 468 246 4452.32
9.81647 147.39 476 250 648.914
14.7247 138.889 476 250 81.9939
9.81647 141.858 476 250 4324.22
14.7247 150.359 484 254 406.716
19.6329 141.858 484 254 240.405
19.6329 147.39 486 255 4302.81
24.5412 150.359 492 258 2927.16
29.4494 147.39 498 261 2174.15
34.3576 155.891 502 263 433.566
34.3576 150.359 502 263 4803.41
39.2659 147.39 508 266 423.158
44.1741 155.891 514 269 1373.08
44.1741 150.359 514 269 3308.82
49.0824 147.39 518 271 246.066
49.0823 158.861 518 271 80.0627
53.9906 150.359 526 275 4265.07
53.9906 155.891 526 275 2323.7
58.8988 147.39 530 277 490.661
63.8071 155.891 532 278 568.908
63.8071 150.359 536 280 4999.06
68.7153 147.39 542 283 1682.87
73.6235 150.359 548 286 3318.71
78.5318 141.858 554 289 173.866
78.5318 147.39 556 290 5287.26
83.44 150.359 558 291 892.542
88.3482 147.39 564 294 1212.91
88.3482 141.858 566 295 4295.84
93.2565 138.889 572 298 5535.32
98.1647 141.858 576 300 921.707
103.073 138.889 578 301 647.946
93.2565 133.357 580 302 174.885
103.073 133.357 584 304 4409.38
98.1647 130.387 584 304 256.442
107.981 130.387 590 307 3043.13
107.981 124.855 596 310 3242.21
112.889 121.886 602 313 5723.01
112.889 116.354 608 316 1511.24
117.798 113.385 614 319 4105.03
117.798 107.853 618 321 2673.79
122.706 104.883 624 324 4887.32
122.706 99.3513 630 327 4003.91
127.614 96.3821 634 329 2530.15
127.614 90.85 642 333 3728.2
122.706 87.8808 646 335 1358.09
122.706 82.3487 650 337 1201.51
132.522 82.3487 652 338 242.415
127.614 79.3795 654 339 5592.23
127.614 73.8474 660 342 4751.51
122.706 70.8781 664 344 1281.99
132.522 65.3461 668 346 80.4053
122.706 65.3461 670 347 2485.7
127.614 62.3768 672 348 3827.01
127.614 56.8448 676 350 2307.57
122.706 56.7093 680 352 1972.99
125.16 52.4586 682 353 244.87
122.706 53.8078 684 354 2227.44
120.252 52.4586 686 355 928.915
120.252 49.5571 686 355 1831.62
122.706 48.208 688 356 502.507
117.798 48.208 690 357 400.904
120.252 43.9573 692 358 729.339
122.706 45.3065 694 359 86.2912
120.252 41.0558 694 359 264.431
117.798 45.3065 694 359 1791.88
115.344 43.9573 698 361 241.001
115.344 41.0558 698 361 1267.72
117.798 36.8052 698 361 160.71
117.798 39.7067 700 362 686.592
112.889 39.7067 702 363 357.967
115.344 35.456 702 363 833.65
112.889 36.8052 704 364 2163.01
115.344 32.5545 704 364 81.0317
110.435 35.456 706 365 1009.07
112.889 31.2053 708 366 258.47
110.435 32.5545 708 366 1570.22
107.981 31.2053 710 367 1117.11
107.981 28.3038 714 369 1850.1
105.527 26.9547 716 370 3161.95
105.527 24.0532 718 371 967.502
103.073 28.3038 718 371 542.357
103.073 22.704 720 372 1939.7
