 Event ID : 21
9.81648 -5.70141 40 20 3057.56
7.36237 -7.05056 82 41 1563.11
9.81648 -2.7999 90 45 132.249
4.90825 -5.70141 104 52 572.282
7.36237 -1.45075 124 62 369.205
4.90825 -2.7999 160 80 3411.12
2.45413 -1.45075 226 113 2884.29
-53.9906 223.902 250 125 46.317
-53.9906 218.37 252 126 140.222
-58.8988 215.4 252 126 186.128
-63.8071 218.37 254 127 309.213
-68.7153 215.4 254 127 267.5
-73.6235 206.899 256 128 514.001
-68.7153 209.868 256 128 491.66
-73.6235 201.367 258 129 230.98
-78.5318 198.398 258 129 528.829
-78.5318 192.866 260 130 136.399
-83.44 189.897 260 130 499.751
-88.3482 192.866 262 131 16.2154
-83.44 184.364 262 131 154.088
-88.3482 181.395 264 132 412.116
-88.3482 175.863 264 132 220.608
-93.2565 172.894 266 133 302.324
-93.2565 167.362 266 133 339.184
-98.1647 164.393 268 134 95.0192
-93.2565 155.891 268 134 216.421
-98.1647 158.861 268 134 188.725
-93.2565 150.359 270 135 134.624
-98.1647 147.39 270 135 246.999
-93.2565 138.889 272 136 94.0123
-98.1647 141.858 272 136 293.891
-93.2565 133.357 272 136 79.2284
-98.1647 130.387 274 137 257.367
-98.1647 124.855 274 137 221.85
-93.2565 121.886 276 138 128.818
-93.2565 116.354 276 138 218.65
-98.1647 113.385 278 139 84.4556
-93.2565 107.717 278 139 110.58
-98.1647 107.853 278 139 44.1212
-90.8024 103.467 280 140 53.3966
-93.2565 99.2159 280 140 25.9056
-93.2565 96.3143 280 140 10.2202
-90.8024 100.565 280 140 83.6949
-93.2565 104.816 280 140 98.6806
-88.3482 90.7145 282 141 107.923
-90.8024 92.0637 282 141 35.7139
-88.3482 96.3143 282 141 34.0984
-88.3482 87.813 282 141 62.412
-90.8024 94.9652 282 141 109.695
-85.8941 86.4639 284 142 76.2896
-83.44 79.3117 284 142 98.7148
-83.44 82.2132 284 142 47.6681
-85.8941 83.5624 284 142 85.0879
-78.5318 70.8104 286 143 94.1199
-80.9859 77.9626 286 143 40.7238
-78.5318 73.7119 286 143 24.6199
-80.9859 75.0611 286 143 90.2319
-83.44 73.7119 286 143 14.4239
-80.9859 69.4613 288 144 18.0607
-78.5318 65.2106 288 144 23.2769
-76.0777 60.9599 288 144 20.5772
-76.0777 66.5598 288 144 101.108
-73.6235 65.2106 288 144 27.1651
-76.0776 69.4613 288 144 29.561
-1.33514e-05 -2.7999 288 144 288.501
-73.6235 62.3091 288 144 106.587
-71.1694 60.9599 290 145 35.0796
2.45413 1.45075 290 145 1175.54
-68.7153 53.8078 290 145 90.2559
-68.7153 56.7093 290 145 53.8277
-71.1694 58.0584 290 145 91.7889
-73.6235 56.7093 290 145 11.4411
-63.8071 48.208 292 146 95.2239
-66.2612 49.5571 292 146 75.3193
-63.8071 45.3065 292 146 37.8613
-66.2612 52.4586 292 146 58.9318
-61.3529 43.9573 294 147 88.5772
-58.8988 45.3065 294 147 16.3889
-56.4447 41.0558 294 147 57.3658
-58.8988 39.7067 294 147 48.2393
-61.3529 41.0558 294 147 14.957
-51.5365 35.456 296 148 75.4967
-53.9906 39.7067 296 148 25.0505
-53.9906 36.8052 296 148 100.465
-51.5365 32.5545 296 148 48.7496
-49.0824 28.3038 296 148 11.192
-46.6282 26.9547 298 149 22.1833
-46.6282 32.5545 298 149 20.911
-44.1741 28.3038 298 149 81.6718
-49.0824 31.2053 298 149 90.3882
-41.72 26.9547 298 149 59.1874
-39.2659 22.704 300 150 74.355
-41.72 24.0532 300 150 52.2709
-36.8118 24.0532 300 150 26.5924
-34.3577 19.8025 300 150 70.442
-34.3577 22.704 300 150 16.0151
-36.8118 18.4534 302 151 10.5155
-31.9035 15.5519 302 151 25.2186
-31.9035 18.4534 302 151 77.7991
-26.9953 15.5519 302 151 68.7141
-29.4494 14.2027 302 151 32.3575
-24.5412 14.2027 304 152 72.9802
-2.45413 -1.45075 304 152 239.477
-1.33514e-05 2.7999 304 152 901.305
-24.5412 11.3012 304 152 42.8611
-22.0871 9.95207 304 152 48.8676
-19.6329 11.3012 304 152 63.6255
-17.1788 9.95207 306 153 54.3804
-17.1788 7.05056 306 153 43.5261
-2.45413 1.45075 306 153 476.641
-12.2706 7.05056 306 153 66.3273
-14.7247 5.70141 306 153 45.0067
-4.90825 2.7999 308 154 70.9595
-7.36237 1.45075 308 154 20.3577
-9.81648 2.7999 308 154 29.1178
-9.81648 5.70141 308 154 77.2202
