 Event ID : 7
-36.8118 -60.9599 50.24 20 501.769
46.6282 66.5598 50.24 20 1.51956
44.1741 65.2106 50.24 20 494.073
41.72 66.5598 50.24 20 564.214
-41.72 -58.0584 50.24 20 7.71189
-39.2659 -56.7093 50.24 20 377.427
-36.8118 -58.0584 50.24 20 1619.42
-41.72 -60.9599 50.24 20 1.74007
-39.2659 -62.3091 50.24 20 17.8467
39.2659 65.2106 68.16 27 56.757
44.1741 62.3091 68.16 27 114.186
-34.3576 -56.7093 80.96 32 1854.72
39.2659 62.3091 80.96 32 278.549
41.72 60.9599 80.96 32 169.543
-39.2659 -53.8078 83.52 33 33.5471
-34.3576 -53.8078 93.76 37 1677.34
-36.8118 -52.4586 93.76 37 88.0485
-31.9035 -58.0584 93.76 37 0.568123
36.8118 60.9599 109.12 43 237.178
41.72 58.0584 111.68 44 90.2343
-36.8118 -49.5571 124.48 49 7.38857
-31.9035 -52.4586 124.48 49 1179.16
-29.4494 -53.8078 137.28 54 38.0673
36.8118 58.0584 139.84 55 626.65
39.2659 56.7093 139.84 55 84.236
31.9035 58.0584 139.84 55 0.935121
39.2659 53.8078 144.96 57 75.8193
34.3577 56.7093 147.52 58 773.829
-31.9035 -49.5571 150.08 59 1771.31
-34.3576 -48.208 150.08 59 36.407
-26.9953 -52.4586 155.2 61 5.89295
36.8118 52.4586 168 66 196.011
34.3577 53.8078 168 66 2549.56
-29.4494 -48.208 173.12 68 947.933
-34.3576 -45.3065 173.12 68 5.88916
-31.9035 -43.9573 185.92 73 735.575
-26.9953 -49.5571 185.92 73 27.2552
31.9035 52.4586 188.48 74 208.419
-29.4494 -45.3065 188.48 74 4887.52
-24.5412 -48.208 188.48 74 16.7808
36.8118 49.5571 196.16 77 78.405
29.4494 53.8078 201.28 79 4.6074
31.9035 49.5571 203.84 80 2609.05
34.3577 48.208 203.84 80 169.582
-24.5412 -45.3065 206.4 81 93.4834
-31.9035 -41.0558 206.4 81 36.4866
26.9953 52.4586 206.4 81 1.88818
-26.9953 -43.9573 208.96 82 287.369
29.4494 48.208 229.44 90 552.887
34.3577 45.3065 232 91 44.8231
26.9953 49.5571 234.56 92 6.95207
-29.4494 -39.7067 237.12 93 250.633
-22.0871 -43.9573 239.68 94 47.7016
-26.9953 -41.0558 239.68 94 3449.27
24.5412 48.208 244.8 96 11.0017
31.9035 43.9573 247.36 97 257.018
29.4494 45.3065 247.36 97 2674.29
-29.4494 -36.8052 265.28 104 32.8759
-24.5412 -39.7067 265.28 104 976.808
-22.0871 -41.0558 265.28 104 45.7797
26.9953 43.9573 275.52 108 799.305
31.9035 41.0558 275.52 108 37.2511
24.5412 45.3065 278.08 109 95.4142
29.4494 39.7067 278.08 109 74.6856
-24.5412 -36.8052 280.64 110 1041.01
-26.9953 -35.456 280.64 110 97.8786
26.9953 41.0558 280.64 110 1508.74
-19.6329 -39.7067 280.64 110 68.1742
22.0871 43.9573 296 116 10.8227
24.5412 39.7067 308.8 121 851.251
29.4494 36.8052 311.36 122 18.063
22.0871 41.0558 311.36 122 35.4076
-22.0871 -35.456 313.92 123 660.059
-19.6329 -36.8052 316.48 124 188.141
-26.9953 -32.5545 316.48 124 29.832
24.5412 36.8052 326.72 128 680.057
-17.1788 -35.456 326.72 128 160.386
-24.5412 -31.2053 326.72 128 235.172
-22.0871 -32.5545 326.72 128 1852.77
19.633 39.7067 339.52 133 4.73866
26.9953 35.456 339.52 133 226.059
26.9953 32.5545 344.64 135 49.5391
22.0871 35.456 344.64 135 105.256
