 Event ID : 89
73.6235 240.904 670 347 0.0126737
68.7153 232.403 672 348 0.0606275
63.8071 235.372 672 348 0.00499752
73.6235 235.372 674 349 0.00419951
68.7153 226.871 676 350 0.030359
63.8071 223.902 678 351 0.211912
63.8071 218.37 680 352 0.494352
58.8988 215.4 684 354 0.00668979
58.8988 209.868 688 356 0.163033
63.8071 206.899 690 357 0.0430573
63.8071 201.367 690 357 0.0524089
58.8988 198.398 694 359 0.275703
58.8988 192.866 696 360 0.146169
53.9906 189.897 700 362 0.0144743
53.9906 184.364 702 363 0.040894
49.0823 181.395 704 364 0.0366313
53.9906 172.894 708 366 0.0404654
49.0823 175.863 708 366 0.0185713
53.9906 167.362 710 367 0.0314211
49.0823 164.393 714 369 0.0408955
49.0823 158.861 716 370 0.1309
44.1741 155.891 720 372 0.15337
39.2659 147.39 720 372 0.0175009
44.1741 150.359 724 374 0.143551
39.2659 141.858 728 376 0.0317864
44.1741 138.889 730 377 0.0338165
39.2659 130.32 732 378 0.0259795
39.2659 133.221 732 378 0.159004
41.72 134.57 732 378 0.0207668
36.8118 128.97 734 379 0.0270068
39.2659 124.72 736 380 0.00762351
36.8118 126.069 736 380 0.000131475
34.3577 121.818 738 381 0.0096679
36.8118 120.469 740 382 0.00806692
36.8118 117.568 740 382 0.0235245
34.3577 116.218 742 383 0.0343535
34.3577 113.317 744 384 0.0680366
31.9035 111.968 744 384 0.0519487
31.9035 109.066 746 385 0.0361694
31.9035 103.467 748 386 0.0406067
31.9035 100.565 748 386 0.0187287
34.3577 107.717 750 387 0.00282614
29.4494 104.816 750 387 0.00900338
29.4494 99.2159 752 388 0.0567392
29.4494 96.3143 752 388 0.00532487
26.9953 94.9652 752 388 0.0160378
29.4494 90.7145 756 390 0.000304287
26.9953 92.0637 758 391 0.0154406
26.9953 86.4639 758 391 0.0254342
26.9953 83.5624 758 391 0.0190269
24.5412 82.2132 762 393 0.0149613
22.0871 77.9626 762 393 0.0380702
24.5412 73.7119 764 394 0.00630252
24.5412 79.3117 766 395 0.0315396
22.0871 75.0611 768 396 0.0368818
19.633 70.8104 770 397 0.00967011
22.0871 69.4613 772 398 0.00635893
22.0871 66.5598 772 398 0.011751
19.633 65.2106 772 398 0.0874165
19.633 56.7093 774 399 0.00159293
17.1788 60.9599 776 400 0.00641299
17.1788 58.0584 776 400 0.0588533
19.633 62.3091 776 400 0.0484138
14.7247 53.8078 778 401 0.0193945
17.1788 52.4586 780 402 0.0262236
14.7247 45.3065 780 402 0.0445584
14.7247 48.208 782 403 0.0254348
17.1788 49.5571 782 403 0.01586
12.2706 43.9573 782 403 0.0528608
14.7247 39.7067 784 404 0.0112734
12.2706 32.5545 786 405 0.0108876
12.2706 41.0558 788 406 0.0278281
12.2706 35.456 790 407 0.0503072
9.81649 36.8052 790 407 0.0417114
9.81648 31.2053 792 408 0.0497929
-181.605 -48.3434 794 409 0.00155043
7.36237 26.9547 794 409 0.0289495
-181.605 -53.8755 796 410 0.645126
-176.696 -56.8448 796 410 1.39234
-152.155 -53.8755 796 410 0.0117833
-171.788 -48.3434 796 410 0.262283
7.36237 24.0532 796 410 0.0150913
9.81648 28.3038 796 410 0.0420952
-166.88 -45.3742 798 411 0.0261155
-161.972 -53.8755 798 411 0.0859394
-166.88 -56.8448 798 411 0.327986
-171.788 -53.8755 798 411 1.06483
9.81648 22.704 798 411 0.001795
-186.513 -56.8448 798 411 0.187374
-161.972 -48.3434 798 411 0.696534
-130.068 -43.9573 798 411 0.00729639
-115.344 -32.5545 798 411 0.0584143
-142.339 -48.3434 798 411 0.315307
-157.064 -45.3742 798 411 0.202998
-152.155 -48.3434 798 411 1.55531
-112.889 -31.2053 800 412 0.0116751
-125.16 -41.0558 800 412 0.0488601
-105.527 -32.5545 800 412 0.0660672
-112.889 -36.8052 800 412 0.0150907
-127.614 -36.8052 800 412 0.0368404
-147.247 -39.8421 800 412 0.0248186
-130.068 -41.0558 800 412 0.245641
-132.522 -39.7067 800 412 0.19211
-137.431 -39.8421 800 412 0.67705
4.90825 19.8025 800 412 0.0247593
-93.2565 -31.2053 800 412 0.0663208
-115.344 -35.456 800 412 0.269846
-137.431 -45.3742 800 412 0.296882
-147.247 -45.3742 800 412 0.0983684
-88.3482 -31.2053 800 412 0.00936667
-117.798 -36.8052 800 412 0.0878405
-53.9906 -19.8025 802 413 0.00188804
-142.339 -36.8729 802 413 0.00768241
-61.353 -18.4534 802 413 0.0345206
-95.7106 -26.9547 802 413 0.0403847
-98.1647 -28.3038 802 413 0.136739
-88.3482 -28.3038 802 413 0.117796
-110.435 -32.5545 802 413 0.226168
-107.981 -31.2053 802 413 0.0151021
-103.073 -31.2053 802 413 0.261162
-103.073 -28.3038 802 413 0.00953054
-83.44 -28.3038 802 413 0.0218499
-127.614 -39.7067 802 413 0.138972
-58.8988 -14.2027 802 413 0.00602093
-105.527 -35.456 802 413 0.0726171
-107.981 -36.8052 802 413 0.0138177
-110.435 -35.456 802 413 0.159104
-117.798 -39.7067 802 413 0.011499
-120.252 -41.0558 802 413 0.0287347
-120.252 -35.456 802 413 0.0730144
-122.706 -39.7067 802 413 0.143634
-122.706 -36.8052 802 413 0.016918
-83.44 -22.704 802 413 0.0270736
-80.9859 -24.0532 802 413 0.0874581
-78.5318 -22.704 802 413 0.116791
-125.16 -35.456 802 413 0.0190653
-71.1694 -18.4534 802 413 0.0274015
-132.522 -36.8052 802 413 0.0218771
-80.9859 -26.9547 804 414 0.0488487
-85.8941 -26.9547 804 414 0.129524
-78.5318 -28.3038 804 414 0.00674992
-100.619 -32.5545 804 414 0.108453
-93.2565 -28.3038 804 414 0.238852
-29.4494 -5.70141 804 414 0.131418
-24.5412 -2.7999 804 414 0.00195456
-61.353 -15.5519 804 414 0.00551958
-56.4447 -15.5519 804 414 0.219294
-53.9906 -14.2027 804 414 0.0139933
-49.0824 -11.3012 804 414 0.014611
-49.0824 -14.2027 804 414 0.158967
-85.8941 -24.0532 804 414 0.0208577
-76.0777 -24.0532 804 414 0.306848
-73.6235 -22.704 804 414 0.00749241
-71.1694 -24.0532 804 414 0.0657072
-68.7153 -22.704 804 414 0.0488554
-68.7153 -19.8025 804 414 0.266741
-63.8071 -19.8025 804 414 0.227535
-90.8024 -26.9547 804 414 0.0636519
-63.8071 -22.704 804 414 0.013282
-58.8988 -19.8025 804 414 0.0108154
-98.1647 -31.2053 804 414 0.0633808
-51.5365 -18.4534 804 414 0.0235452
-44.1741 -11.3012 806 415 0.0482495
-66.2612 -18.4534 806 415 0.13807
-44.1741 -14.2027 806 415 0.026757
-76.0777 -26.9547 806 415 0.0129985
-56.4447 -18.4534 806 415 0.0288361
-51.5365 -15.5519 806 415 0.142733
-31.9035 -7.05056 806 415 0.0223761
-22.0871 -7.05056 806 415 0.00727446
-95.7106 -32.5545 806 415 0.0118981
-26.9953 -7.05056 806 415 0.204277
-41.72 -15.5519 806 415 0.00653737
-41.72 -9.95207 806 415 0.0631939
-39.2659 -11.3012 806 415 0.0915121
-36.8118 -9.95207 806 415 0.145868
-34.3577 -11.3012 806 415 0.0160918
-31.9035 -9.95207 806 415 0.00822501
-29.4494 -11.3012 806 415 0.0238601
-90.8024 -24.0532 806 415 0.0121189
-73.6235 -19.8025 806 415 0.0429816
-36.8118 -7.05056 808 416 0.0274314
-34.3577 -5.70141 808 416 0.00324745
-46.6282 -15.5519 808 416 0.020947
-39.2659 -14.2027 808 416 0.00709981
-19.6329 -5.70141 808 416 0.00800043
-24.5412 -5.70141 808 416 0.207454
-26.9953 -9.95207 808 416 0.0238041
