no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.025,3291,3.291,0.0573672
100000,0.05,3231,3.231,0.0568419
100000,0.075,4169,4.169,0.0645678
100000,0.1,7278,7.278,0.0853112
100000,0.11111111111111112,8631,8.631,0.0929032
100000,0.12222222222222223,9566,9.566,0.0978059
100000,0.13333333333333333,10458,10.458,0.102264
100000,0.14444444444444446,11042,11.042,0.105081
100000,0.15555555555555556,11419,11.419,0.10686
100000,0.16666666666666669,11515,11.515,0.107308
100000,0.17777777777777778,11718,11.718,0.10825
100000,0.18888888888888888,11696,11.696,0.108148
100000,0.2,11664,11.664,0.108
100000,0.3,10703,10.703,0.103455
100000,0.4,9837,9.837,0.0991817
100000,0.5,9058,9.058,0.0951735
100000,0.6,8572,8.572,0.0925851
100000,0.7,7846,7.846,0.0885776
100000,0.8,7578,7.578,0.0870517
100000,0.9,7179,7.179,0.084729
100000,1.0,6842,6.842,0.0827164
100000,1.2,6262,6.262,0.0791328
100000,1.4,6087,6.087,0.0780192
100000,1.5999999999999999,5617,5.617,0.0749466
100000,1.7999999999999998,5254,5.254,0.0724845
100000,1.9999999999999998,4914,4.914,0.0700999
100000,2.1999999999999997,4696,4.696,0.0685274
100000,2.3999999999999995,4373,4.373,0.0661287
100000,2.5999999999999996,4313,4.313,0.0656734
100000,2.8,3995,3.995,0.063206
100000,3.0,3831,3.831,0.0618951
100000,3.5,3513,3.513,0.0592706
100000,4.0,3168,3.168,0.056285
100000,4.5,2896,2.896,0.0538145
100000,5.0,2695,2.695,0.0519134
100000,5.5,2603,2.603,0.0510196
100000,6.0,2418,2.418,0.0491732
100000,6.5,2127,2.127,0.0461194
100000,7.0,2175,2.175,0.0466369
100000,7.5,2009,2.009,0.0448219
100000,8.0,1835,1.835,0.0428369
100000,8.5,1770,1.77,0.0420714
100000,9.0,1706,1.706,0.0413038
100000,9.5,1542,1.542,0.0392683
