No_events,Energy,PhotopeakCount,Efficiency,Error
750000,0.05,11,0.00146667,0.000442217
750000,0.1,11763,1.5684,0.014461
750000,0.10441379310344828,13040,1.73867,0.0152257
750000,0.11111111111111112,14726,1.96347,0.0161801
750000,0.12222222222222223,17069,2.27587,0.0174198
750000,0.13333333333333333,18447,2.4596,0.0181093
750000,0.14444444444444446,19472,2.59627,0.0186056
750000,0.15555555555555556,20027,2.67027,0.0188689
750000,0.16666666666666669,20119,2.68253,0.0189122
750000,0.17777777777777778,19947,2.6596,0.0188312
750000,0.18888888888888888,19831,2.64413,0.0187763
750000,0.2,19717,2.62893,0.0187223
750000,0.20782758620689656,19472,2.59627,0.0186056
750000,0.31124137931034485,16341,2.1788,0.0170443
750000,0.4146551724137931,13860,1.848,0.0156971
750000,0.5180689655172414,12277,1.63693,0.0147735
750000,0.6214827586206897,11309,1.50787,0.0141792
750000,0.724896551724138,10125,1.35,0.0134164
750000,0.8283103448275863,9596,1.27947,0.0130612
750000,0.9317241379310345,9129,1.2172,0.0127394
750000,1.0351379310344826,8619,1.1492,0.0123785
750000,1.138551724137931,8136,1.0848,0.0120266
750000,1.2419655172413793,7773,1.0364,0.0117553
750000,1.3453793103448275,7487,0.998267,0.011537
750000,1.448793103448276,7259,0.967867,0.01136
750000,1.5522068965517242,6740,0.898667,0.0109463
750000,1.6556206896551724,6711,0.8948,0.0109228
750000,1.7590344827586206,6343,0.845733,0.0106191
750000,1.8624482758620688,6084,0.8112,0.0104
750000,1.9658620689655173,5857,0.780933,0.0102041
750000,2.0692758620689653,5879,0.783867,0.0102233
750000,2.1726896551724137,5542,0.738933,0.00992595
750000,2.276103448275862,5353,0.713733,0.00975523
750000,2.37951724137931,5113,0.681733,0.00953403
750000,2.4829310344827586,5002,0.666933,0.00942998
750000,2.586344827586207,4892,0.652267,0.00932571
750000,2.689758620689655,4587,0.6116,0.00903032
750000,2.7931724137931035,4634,0.617867,0.00907647
750000,2.896586206896552,4411,0.588133,0.00885538
750000,3.0,4314,0.5752,0.00875747
750000,4.0,3322,0.442933,0.00768491
750000,5.0,2630,0.350667,0.0068378
750000,6.0,2272,0.302933,0.0063554
750000,7.0,1964,0.261867,0.00590894
750000,8.0,1682,0.224267,0.00546829
750000,9.0,1512,0.2016,0.00518459
750000,10.0,1259,0.167867,0.00473099
