C3D8 300torr,,,,,,,,,,,,,,,,,
13Be g.s.,,,13Be 0.4 MeV,,,13Be 1.6 MeV,,,13Be 2.5 MeV,,,13Be 3.5 MeV,,,13Be 4.6 MeV,,
Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,
0 – 10,46.1,2305,0 – 10,46.3,2315,0 – 10,46.2,2310,0 – 10,45.7,2285,0 – 10,,0,0 – 10,,0
10 – 20,47,2350,10 – 20,47.4,2370,10 – 20,47.8,2390,10 – 20,46.7,2335,10 – 20,,0,10 – 20,,0
20 – 30,45.8,2290,20 – 30,46.3,2315,20 – 30,46,2300,20 – 30,46.1,2305,20 – 30,,0,20 – 30,,0
30 – 40,45.7,2285,30 – 40,45.6,2280,30 – 40,46.1,2305,30 – 40,45.7,2285,30 – 40,,0,30 – 40,,0
40 – 50,44.6,2230,40 – 50,45.4,2270,40 – 50,45.4,2270,40 – 50,45.1,2255,40 – 50,,0,40 – 50,,0
50 – 60,41.5,2075,50 – 60,42.4,2120,50 – 60,43.1,2155,50 – 60,44.3,2215,50 – 60,,0,50 – 60,,0
60 – 70,36.7,1835,60 – 70,37.3,1865,60 – 70,38.3,1915,60 – 70,38.4,1920,60 – 70,,0,60 – 70,,0
70 – 80,34,1700,70 – 80,34.9,1745,70 – 80,35.3,1765,70 – 80,36.8,1840,70 – 80,,0,70 – 80,,0
80 – 90,31.2,1560,80 – 90,31.7,1585,80 – 90,33.6,1680,80 – 90,33.3,1665,80 – 90,,0,80 – 90,,0
90 – 100,31.2,1560,90 – 100,30.6,1530,90 – 100,31.7,1585,90 – 100,33,1650,90 – 100,,0,90 – 100,,0
100 – 110,30.8,1540,100 – 110,30.9,1545,100 – 110,32.5,1625,100 – 110,33.3,1665,100 – 110,,0,100 – 110,,0
110 – 120,28.7,1435,110 – 120,29.6,1480,110 – 120,31.3,1565,110 – 120,32.5,1625,110 – 120,,0,110 – 120,,0
120 – 130,15.4,770,120 – 130,16.3,815,120 – 130,17.6,880,120 – 130,18.5,925,120 – 130,,0,120 – 130,,0
130 – 140,3.2,160,130 – 140,3.3,165,130 – 140,4.6,230,130 – 140,6,300,130 – 140,,0,130 – 140,,0
140 – 150,0.1,5,140 – 150,0.1,5,140 – 150,0.1,5,140 – 150,0.4,20,140 – 150,,0,140 – 150,,0
150 – 160,0.2,10,150 – 160,0.2,10,150 – 160,0.1,5,150 – 160,0.1,5,150 – 160,,0,150 – 160,,0
160 – 170,0.2,10,160 – 170,0.3,15,160 – 170,0.2,10,160 – 170,0.3,15,160 – 170,,0,160 – 170,,0
170 – 180,0.3,15,170 – 180,0.2,10,170 – 180,0.3,15,170 – 180,0.5,25,170 – 180,,0,170 – 180,,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
C3D8 450torr,,,,,,,,,,,,,,,,,
13Be g.s.,,,13Be 0.4 MeV,,,13Be 1.6 MeV,,,13Be 2.5 MeV,,,13Be 3.5 MeV,,,13Be 4.6 MeV,,
Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,
0 – 10,47.3,,0 – 10,,,0 – 10,,,0 – 10,,,0 – 10,,,0 – 10,,
10 – 20,45.9,,10 – 20,,,10 – 20,,,10 – 20,,,10 – 20,,,10 – 20,,
20 – 30,47.3,,20 – 30,,,20 – 30,,,20 – 30,,,20 – 30,,,20 – 30,,
30 – 40,45.3,,30 – 40,,,30 – 40,,,30 – 40,,,30 – 40,,,30 – 40,,
40 – 50,44,,40 – 50,,,40 – 50,,,40 – 50,,,40 – 50,,,40 – 50,,
50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,
60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,
70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,
80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,
90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,
100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,
110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,
120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,
130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,
140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,
150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,
160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,
170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
C3D8 600torr,,,,,,,,,,,,,,,,,
13Be g.s.,,,13Be 0.4 MeV,,,13Be 1.6 MeV,,,13Be 2.5 MeV,,,13Be 3.5 MeV,,,13Be 4.6 MeV,,
Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,,Angle CM,% hits,
0 – 10,,,0 – 10,,,0 – 10,,,0 – 10,,,0 – 10,,,0 – 10,,
10 – 20,,,10 – 20,,,10 – 20,,,10 – 20,,,10 – 20,,,10 – 20,,
20 – 30,,,20 – 30,,,20 – 30,,,20 – 30,,,20 – 30,,,20 – 30,,
30 – 40,,,30 – 40,,,30 – 40,,,30 – 40,,,30 – 40,,,30 – 40,,
40 – 50,,,40 – 50,,,40 – 50,,,40 – 50,,,40 – 50,,,40 – 50,,
50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,,50 – 60,,
60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,,60 – 70,,
70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,,70 – 80,,
80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,,80 – 90,,
90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,,90 – 100,,
100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,,100 – 110,,
110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,,110 – 120,,
120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,,120 – 130,,
130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,,130 – 140,,
140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,,140 – 150,,
150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,,150 – 160,,
160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,,160 – 170,,
170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,,170 – 180,,
