 Event ID : 17
73.6235 155.891 40 20 149.939
68.7153 158.861 50 25 480.669
68.7153 164.393 62 31 118.815
63.8071 167.362 66 33 71.8455
58.8988 164.393 82 41 451.987
53.9906 167.362 102 51 382.959
49.0823 164.393 116 58 294.826
44.1741 167.362 136 68 367.375
39.2659 164.393 148 74 149.777
34.3576 167.362 166 83 338.683
29.4494 164.393 180 90 165.921
24.5412 167.362 196 98 327.141
19.6329 164.393 212 106 235.354
14.7247 167.362 228 114 265.28
9.81647 164.393 248 124 300.201
9.81647 158.861 258 129 31.0723
4.90824 167.362 260 130 30.6522
4.90824 155.891 264 132 16.1778
7.62939e-06 164.393 266 133 42.4431
5.72205e-06 158.861 280 140 297.858
-4.90823 155.891 302 151 280.362
-9.81648 158.861 314 157 19.1342
-4.90823 150.359 314 157 27.8063
-14.7247 155.891 320 160 15.7906
-9.81646 147.39 322 161 35.7853
-14.7247 150.359 336 168 272.412
-19.6329 147.39 352 176 184.129
-19.6329 141.858 366 183 246.433
-24.5412 138.889 384 192 247.718
-26.9953 134.57 400 200 135.317
-29.4494 133.221 408 204 113.267
-29.4494 130.32 416 208 101.628
-31.9035 128.97 424 212 95.9545
-31.9035 126.069 432 216 118.692
-34.3577 124.72 438 219 108.794
-34.3577 121.818 448 224 108.868
-36.8118 120.469 454 227 81.9365
-34.3577 116.218 464 232 17.865
-36.8118 117.568 464 232 132.242
-39.2659 116.218 470 235 53.0053
-39.2659 113.317 478 239 107.95
-36.8118 111.968 482 241 41.1672
-41.72 111.968 486 243 13.87
-36.8118 109.066 490 245 20.6443
-41.72 109.066 494 247 35.4959
-39.2659 107.717 496 248 105.272
-39.2659 104.816 506 253 70.052
-41.72 103.467 512 256 95.8128
-41.72 100.565 522 261 124.489
-39.2659 99.2159 526 263 19.4645
-44.1741 99.2159 528 264 41.1919
-39.2659 96.3143 534 267 12.1365
-44.1741 96.3143 534 267 56.1585
12.2706 -100.565 538 269 48.2237
-41.72 94.9652 540 270 104.027
14.7247 -99.2159 542 271 210.554
14.7247 -96.3143 544 272 25.8953
17.1788 -100.565 548 274 179.792
-41.72 92.0637 548 274 66.1246
17.1788 -94.9652 550 275 14.7952
19.6329 -99.2159 554 277 349.795
-44.1741 90.7145 554 277 72.1039
19.6329 -96.3143 556 278 156.902
22.0871 -100.565 556 278 54.2817
22.087 -94.9652 562 281 138.711
-44.1741 87.813 564 282 90.7817
24.5412 -99.2159 564 282 57.3557
24.5412 -96.3143 566 283 361.308
-41.72 86.4639 568 284 55.2342
26.9953 -94.9652 574 287 284.451
-41.72 83.5624 576 288 55.5835
29.4494 -96.3143 578 289 35.334
-46.6282 83.5624 578 289 10.354
