 Event ID : 572
14.7247 22.704 16 20 10.8237
14.7247 19.8025 92 58 6.36887
12.2706 18.4534 142 83 8.5165
26.9953 -43.9573 796 410 2.14868
24.5412 -45.3065 796 410 4.46428
22.0871 -43.9573 802 413 2.67892
22.0871 -41.0558 810 417 11.8024
24.5412 -39.7067 810 417 1.21885
19.633 -39.7067 818 421 1.42175
24.5412 -36.8052 820 422 1.28674
19.633 -36.8052 826 425 11.6737
22.0871 -35.456 826 425 5.65337
17.1788 -32.5545 840 432 2.47536
19.6329 -31.2053 844 434 10.0376
19.6329 -28.3038 852 438 2.7798
17.1788 -26.9547 858 441 1.36026
14.7247 -28.3038 860 442 1.77381
12.2706 -24.0532 874 449 1.25076
14.7247 -22.704 876 450 3.5682
14.7247 -19.8025 884 454 1.3234
12.2706 -18.4534 890 457 1.21388
