 Event ID : 0
9.81648 -11.3012 67.6 21 3.19186
-4.90825 -14.2027 67.6 21 3.27471
-1.33514e-05 -14.2027 78.4 24 25.9039
7.36237 -15.5519 78.4 24 7.26027
2.45413 -15.5519 82 25 21.0198
4.90825 -14.2027 85.6 26 47.5629
-1.33514e-05 -11.3012 89.2 27 25.8658
9.81648 -14.2027 89.2 27 4.99427
4.90825 -11.3012 96.4 29 180.634
7.36237 -9.95207 103.6 31 11.3275
2.4541 -9.95207 110.8 33 173.881
-2.45413 -9.95207 118 35 4.5982
9.81648 -2.7999 136 40 3.2473
7.36237 -7.05056 139.6 41 32.335
2.4541 -7.05056 150.4 44 167.69
-2.45413 -7.05056 150.4 44 8.16556
9.81648 -5.70141 157.6 46 3.21006
4.90825 -5.70141 161.2 47 109.99
-1.33514e-05 -5.70141 175.6 51 44.8201
-4.90825 -5.70141 175.6 51 7.65043
7.36237 -1.45075 179.2 52 5.93285
4.90825 -2.7999 186.4 54 43.8593
7.36237 1.45075 200.8 58 3.27674
-1.33514e-05 -2.7999 200.8 58 111.117
2.45413 -1.45075 204.4 59 200.528
-2.45413 -1.45075 226 65 19.492
2.45413 1.45075 236.8 68 136.771
-2.45413 1.45075 247.6 71 15.0652
4.90825 2.7999 254.8 73 15.5827
-1.33514e-05 2.7999 258.4 74 192.32
-4.90825 2.7999 276.4 79 4.19584
4.90825 5.70141 283.6 81 21.0778
-1.33514e-05 5.70141 290.8 83 209.677
-4.90825 5.70141 290.8 83 4.7842
2.4541 7.05056 301.6 86 62.7127
-2.45413 7.05056 308.8 88 61.365
7.36237 7.05056 308.8 88 3.20979
2.4541 9.95207 319.6 91 47.6514
-7.36236 7.05056 330.4 94 3.26454
-2.45413 9.95207 337.6 96 77.5299
-4.90825 11.3012 344.8 98 12.6649
-1.33514e-05 11.3012 344.8 98 267.45
7.36237 9.95207 348.4 99 3.21985
9.81648 11.3012 355.6 101 3.24536
4.90825 11.3012 370 105 7.22859
4.90825 14.2027 377.2 107 9.61562
-1.33514e-05 14.2027 384.4 109 269.662
-2.45413 15.5519 398.8 113 82.3955
-4.90825 14.2027 398.8 113 15.5702
2.45413 15.5519 398.8 113 66.4776
2.45413 18.4534 431.2 122 52.0172
-7.36237 15.5519 438.4 124 3.24153
-2.45413 18.4534 438.4 124 68.1929
4.90825 19.8025 452.8 128 14.1018
-1.33514e-05 19.8025 452.8 128 219.903
-4.90825 19.8025 470.8 133 3.34069
-4.90825 22.704 474.4 134 1.6559
-1.33514e-05 22.704 488.8 138 207.479
-7.36236 26.9547 488.8 138 3.29066
-2.45413 24.0532 492.4 139 37.4028
4.90825 22.704 503.2 142 20.9406
2.4541 24.0532 510.4 144 129.729
-4.90825 28.3038 532 150 3.56079
-2.45413 26.9547 539.2 152 23.4138
-1.33514e-05 28.3038 550 155 79.4531
2.4541 26.9547 553.6 156 173.156
-1.33514e-05 31.2053 560.8 158 21.4001
2.45413 32.5545 568 160 5.20816
-2.45413 32.5545 571.6 161 8.26726
2.4541 35.456 586 165 3.27002
4.90825 31.2053 593.2 167 47.3102
7.36234 35.456 600.4 169 5.9098
4.90825 28.3038 607.6 171 149.858
7.36237 32.5545 614.8 173 12.9954
9.81648 31.2053 643.6 181 21.36
7.36237 26.9547 650.8 183 176.268
12.2706 35.456 654.4 184 3.24186
7.36237 24.0532 665.2 187 37.3831
9.81648 28.3038 676 190 96.869
12.2706 32.5545 686.8 193 6.74928
12.2706 26.9547 694 195 149.85
9.81648 22.704 697.6 196 49.4576
12.2706 24.0532 712 200 229.314
14.7247 31.2053 712 200 1.04046
14.7247 28.3038 712 200 12.4335
17.1788 26.9547 722.8 203 11.1348
7.36237 18.4534 722.8 203 3.22191
9.81648 19.8025 737.2 207 15.8215
22.0871 26.9547 740.8 208 3.29165
14.7247 22.704 751.6 211 153.822
17.1788 24.0532 751.6 211 49.0431
14.7247 19.8025 776.8 218 125.414
12.2706 18.4534 780.4 219 14.001
22.0871 24.0532 798.4 224 8.79822
19.6329 22.704 798.4 224 34.8663
12.2706 15.5519 812.8 228 5.6969
14.7247 11.3012 816.4 229 3.25699
17.1788 18.4534 816.4 229 102.076
19.6329 19.8025 827.2 232 98.0759
17.1788 15.5519 838 235 35.8282
26.9953 18.4534 841.6 236 3.27778
14.7247 14.2027 845.2 237 10.0497
22.0871 18.4534 845.2 237 84.9969
24.5412 19.8025 852.4 239 18.2734
22.0871 15.5519 852.4 239 210.908
19.6329 14.2027 852.4 239 133.299
17.1788 7.05056 863.2 242 4.34791
17.1788 9.95207 866.8 243 9.13214
31.9035 18.4534 870.4 244 3.29636
19.6329 11.3012 870.4 244 29.9323
24.5412 14.2027 870.4 244 105.93
22.0871 9.95207 884.8 248 59.402
24.5412 11.3012 888.4 249 245.935
22.0871 7.05056 888.4 249 27.0918
26.9953 15.5519 892 250 26.1175
34.3577 14.2027 895.6 251 3.29316
29.4494 14.2027 899.2 252 7.07577
26.9953 9.95207 920.8 258 157.137
29.4494 11.3012 924.4 259 30.4484
24.5412 5.70141 924.4 259 9.48039
26.9953 7.05056 931.6 261 84.1476
31.9035 15.5519 931.6 261 3.18377
31.9035 9.95207 938.8 263 23.8053
39.2659 5.70141 938.8 263 3.17524
36.8118 9.95207 938.8 263 3.27404
24.5412 2.7999 946 265 6.10757
31.9035 7.05056 946 265 111.266
29.4494 5.70141 946 265 188.458
31.9035 -7.05056 949.6 266 3.29083
26.9953 1.45075 956.8 268 7.50546
29.4494 2.7999 960.4 269 43.9941
34.3577 5.70141 964 270 41.6738
36.8118 7.05056 964 270 8.8882
31.9035 1.45075 967.6 271 115.945
34.3577 2.7999 971.2 272 91.4004
29.4494 -2.7999 978.4 274 3.21875
26.9953 -1.45075 982 275 6.56087
31.9035 -1.45075 985.6 276 24.8389
34.3577 -2.7999 989.2 277 32.9854
36.8118 1.45075 989.2 277 48.5556
34.3577 -5.70141 992.8 278 9.62616
44.1741 2.7999 992.8 278 3.29074
39.2659 2.7999 1003.6 281 17.5352
36.8118 -1.45075 1007.2 282 147.358
36.8118 -7.05056 1010.8 283 3.18481
39.2659 -2.7999 1014.4 284 73.994
41.72 1.45075 1014.4 284 11.455
29.4494 -5.70141 1014.4 284 3.21642
44.1741 -5.70141 1018 285 6.41584
41.72 -1.45075 1028.8 288 10.1336
39.2659 -5.70141 1032.4 289 25.8811
44.1741 -2.7999 1036 290 6.24617
46.6282 -7.05056 1036 290 3.17423
41.72 -9.95207 1043.2 292 18.4853
41.72 -7.05056 1046.8 293 16.3141
41.72 -15.5519 1050.4 294 3.24128
39.2659 -11.3012 1054 295 38.2556
44.1741 -14.2027 1054 295 3.18325
36.8118 -9.95207 1054 295 3.21159
39.2659 -14.2027 1057.6 296 8.87225
36.8118 -15.5519 1061.2 297 18.011
39.2659 -19.8025 1061.2 297 6.22512
34.3577 -28.3038 1061.2 297 6.35468
36.8118 -18.4534 1064.8 298 3.90881
34.3577 -22.704 1064.8 298 3.24578
31.9035 -24.0532 1064.8 298 3.24744
36.8118 -26.9547 1068.4 299 3.18417
34.3577 -19.8025 1072 300 3.21434
44.1741 -22.704 1079.2 302 3.23308
