 Event ID : 0
16.5 5.5 354 232 126.4
-25.3 -9.9 354 232 52.1
14.3 7.7 362 236 526
18.7 7.7 362 236 172.4
7.7 1.1 362 236 211.5
16.5 7.7 364 237 326.7
20.9 9.9 364 237 243.7
23.1 20.9 364 237 716.6
27.5 27.5 366 238 191.3
9.9 7.7 366 238 956.7
-9.9 -9.9 366 238 309.6
-23.1 -5.5 366 238 196.3
16.5 12.1 366 238 894
23.1 12.1 366 238 301.7
25.3 12.1 366 238 181.5
29.7 16.5 366 238 277
23.1 25.3 366 238 182.4
31.9 20.9 366 238 521.6
29.7 20.9 366 238 739.2
34.1 18.7 366 238 177.2
20.9 20.9 366 238 517.4
-12.1 -12.1 368 239 145.3
5.5 -1.1 368 239 147.8
29.7 25.3 368 239 476.1
27.5 23.1 368 239 652.2
12.1 5.5 368 239 413.4
-7.7 -7.7 368 239 383.4
18.7 9.9 368 239 371.3
9.9 5.5 368 239 665.2
5.5 5.5 368 239 1152.5
5.5 3.3 368 239 779.5
-3.3 -5.5 368 239 244.1
7.7 14.3 368 239 425.6
23.1 14.3 368 239 569.2
25.3 14.3 368 239 413.4
27.5 14.3 368 239 259.3
20.9 16.5 368 239 876.9
31.9 16.5 368 239 157.8
-18.7 3.3 370 240 71.9
35 23 370 240 1965
-3.3 5.5 370 240 856.1
-9.9 7.7 370 240 78.1
-1.1 7.7 370 240 713
-1.1 1.1 370 240 1149.3
7.7 7.7 370 240 1144.2
12.1 9.9 370 240 1066.7
14.3 9.9 370 240 878.3
5.5 12.1 370 240 601.5
7.7 12.1 370 240 799.8
9.9 12.1 370 240 986.3
12.1 12.1 370 240 1053.7
9.9 14.3 370 240 670.1
14.3 16.5 370 240 633.6
25.3 16.5 370 240 655.7
12.1 18.7 370 240 180.8
23.1 18.7 370 240 900.9
27.5 18.7 370 240 681.3
27.5 20.9 370 240 843.3
-5.5 -5.5 370 240 528.5
-7.7 -9.9 370 240 125.5
18.7 18.7 372 241 657.4
-9.9 -1.1 372 241 1762.4
25.3 20.9 372 241 809
14.3 18.7 372 241 330.9
-7.7 7.7 372 241 156.9
-3.3 9.9 372 241 194.2
1.1 1.1 372 241 915.1
18.7 12.1 372 241 697
5.5 1.1 372 241 387
14.3 12.1 372 241 1027.4
3.3 3.3 372 241 999.4
12.1 3.3 372 241 164.9
3.3 9.9 372 241 710.6
20.9 18.7 372 241 786.1
16.5 20.9 372 241 220.8
7.7 5.5 372 241 878.6
14.3 5.5 372 241 249.8
-20.9 -1.1 372 241 238.1
25.3 18.7 372 241 834.5
-20.9 -7.7 372 241 426.7
9.9 9.9 372 241 1198.4
12.1 7.7 372 241 738.8
-14.3 -7.7 372 241 1266.3
25.3 23.1 372 241 586.1
9.9 16.5 372 241 310.7
18.7 16.5 372 241 839.3
-14.3 -3.3 372 241 1834.7
-16.5 -3.3 372 241 1500.5
-7.7 -3.3 372 241 1407.3
23.1 16.5 372 241 796
-1.1 -1.1 372 241 747.2
29.7 23.1 372 241 687.3
16.5 16.5 372 241 783.5
27.5 16.5 372 241 455.2
23.1 23.1 372 241 428.7
18.7 14.3 372 241 876.3
-5.5 -1.1 372 241 1399.4
16.5 14.3 372 241 961.7
14.3 14.3 372 241 933.3
-5.5 5.5 372 241 665.1
-18.7 -3.3 372 241 917.4
-20.9 -3.3 372 241 397.4
27.5 25.3 372 241 424.9
7.7 9.9 374 242 1120.7
16.5 9.9 374 242 621
-5.5 -3.3 374 242 955.9
1.1 7.7 374 242 921.7
5.5 9.9 374 242 981.7
5.5 14.3 374 242 258.6
-20.9 -5.5 374 242 518.9
12.1 16.5 374 242 489.6
-18.7 -5.5 374 242 1076.6
-1.1 -3.3 374 242 361.8
-16.5 -5.5 374 242 1555.2
-14.3 -5.5 374 242 1893.2
-12.1 -5.5 374 242 1608.6
-9.9 -5.5 374 242 1268.9
20.9 14.3 374 242 746.6
16.5 18.7 374 242 453
3.3 14.3 374 242 126.5
1.1 3.3 374 242 1202.2
20.9 23.1 374 242 235.3
-3.3 -1.1 374 242 1031.8
-5.5 3.3 374 242 1127.5
-1.1 3.3 374 242 1325.3
1.1 9.9 374 242 506.3
31.9 23.1 374 242 556.3
-20.9 -9.9 374 242 219.3
-1.1 9.9 374 242 299.6
3.3 1.1 374 242 633
18.7 20.9 374 242 364.8
7.7 3.3 374 242 499.7
9.9 3.3 374 242 330.9
31.9 18.7 374 242 310.3
3.3 7.7 374 242 1031.2
5.5 7.7 374 242 1136.7
29.7 18.7 374 242 502.5
1.1 -3.3 374 242 206.4
-12.1 1.1 376 243 1095.8
-7.7 -1.1 376 243 1609.6
-3.3 -3.3 376 243 576.8
25.3 25.3 376 243 291.8
-9.9 1.1 376 243 1287.9
-7.7 1.1 376 243 1450.6
-5.5 1.1 376 243 1516.5
-12.1 -3.3 376 243 1850.2
-3.3 3.3 376 243 1234.6
-3.3 1.1 376 243 1370.6
-1.1 5.5 376 243 1046.9
-14.3 -12.1 376 243 184.6
12.1 14.3 376 243 823.8
-7.7 5.5 376 243 419.4
-9.9 5.5 376 243 265.6
-12.1 5.5 376 243 136.9
-12.1 -1.1 376 243 1660.6
-7.7 -5.5 376 243 878.2
-14.3 -1.1 376 243 1423.3
1.1 5.5 376 243 1184.8
3.3 5.5 376 243 1229.7
-12.1 -9.9 376 243 471.7
-18.7 -7.7 376 243 916.7
1.1 -1.1 378 244 476.9
-18.7 -1.1 378 244 534.8
7.7 16.5 378 244 134.7
-23.1 -3.3 378 244 123.9
20.9 12.1 378 244 442.7
3.3 12.1 378 244 333.1
-7.7 3.3 378 244 859.8
-9.9 -7.7 378 244 748.3
-12.1 3.3 378 244 447.7
-16.5 -7.7 378 244 1204.2
-23.1 -7.7 378 244 209.4
-23.1 -9.9 378 244 86
-9.9 -3.3 378 244 1676.8
-16.5 -9.9 378 244 617.3
-18.7 -9.9 378 244 495.8
-3.3 7.7 380 245 453.3
-18.7 -12.1 380 245 165.6
-14.3 1.1 380 245 741.4
-14.3 -9.9 380 245 608.1
-16.5 -1.1 380 245 995.3
-23.1 -1.1 380 245 79.9
1.1 12.1 380 245 220.2
-5.5 7.7 380 245 293.4
-9.9 3.3 382 246 668.1
3.3 -1.1 382 246 278.4
-16.5 1.1 382 246 482.3
-18.7 1.1 382 246 244.5
-5.5 -7.7 382 246 188.4
-12.1 -7.7 382 246 994.7
-16.5 3.3 382 246 118.7
-14.3 3.3 384 247 260.9
18.7 23.1 386 248 139.3
-16.5 -12.1 386 248 239.4
-20.9 1.1 394 252 90.4
-20.9 -12.1 394 252 76.7
-14.3 5.5 400 255 74.6
