 Event ID : 3
-161.972 -116.354 -80.0589 21 35.6
-120.252 -52.4586 -80.0589 21 35.6
-117.798 -56.7093 -80.0589 21 35.6
-93.2565 -48.208 -80.0589 21 35.6
-95.7106 -49.5571 -80.0589 21 35.6
-117.798 -53.8078 -80.0589 21 35.6
-115.344 -58.0584 -80.0589 21 35.6
-115.344 -52.4586 -80.0589 21 35.6
-112.889 -53.8078 -80.0589 21 35.6
-112.889 -56.7093 -80.0589 21 35.6
-157.064 -124.855 -80.0589 21 35.6
-95.7106 -58.0584 -80.0589 21 35.6
-95.7106 -52.4586 -80.0589 21 35.6
-95.7106 -66.5598 -80.0589 21 35.6
-95.7106 -60.9599 -80.0589 21 35.6
-98.1647 -65.2106 -80.0589 21 35.6
-171.788 -133.357 5.8072 37 60.4
-181.605 -82.3487 5.8072 37 60.4
-186.513 -79.3795 5.8072 37 60.4
-191.421 -99.3513 5.8072 37 60.4
-186.513 -96.3821 5.8072 37 60.4
-166.88 -96.3821 5.8072 37 60.4
-161.972 -99.3513 5.8072 37 60.4
-157.064 -96.3821 5.8072 37 60.4
-157.064 -90.85 5.8072 37 60.4
-161.972 -87.8808 5.8072 37 60.4
-166.88 -107.853 5.8072 37 60.4
-161.972 -104.883 5.8072 37 60.4
-166.88 -90.85 5.8072 37 60.4
-186.513 -90.85 5.8072 37 60.4
-166.88 -130.387 5.8072 37 60.4
-181.605 -133.357 5.8072 37 60.4
88.3482 79.3117 409.566 138 85.8
63.8071 79.3117 435.537 144 84.2
157.064 -28.3716 440.177 145 117.4
-211.054 -167.362 522.676 165 80.1
-250.32 -87.8808 522.676 165 80.1
-255.228 -79.3795 522.676 165 80.1
-250.32 -82.3487 522.676 165 80.1
-255.228 -90.85 522.676 165 80.1
-215.962 -164.393 522.676 165 80.1
-250.32 -99.3513 522.676 165 80.1
-215.962 -158.861 522.676 165 80.1
-220.871 -150.359 522.676 165 80.1
-220.871 -138.889 522.676 165 80.1
-220.871 -99.3513 522.676 165 80.1
-250.32 -104.883 522.676 165 80.1
-220.871 -104.883 522.676 165 80.1
-220.871 -133.357 522.676 165 80.1
-220.871 -116.354 522.676 165 80.1
-220.871 -121.886 522.676 165 80.1
161.972 53.8755 528.276 170 164.4
181.605 99.3513 546.322 171 418.4
176.696 107.853 549.801 171 234
176.696 113.385 550.167 171 3412.6
152.155 65.3461 561.349 174 1056.4
152.155 53.8755 562.997 174 1478.5
157.064 56.8448 562.993 174 2439.9
166.88 90.85 562.286 174 241.2
90.8023 60.9599 569.749 177 111.4
95.7106 -18.4534 589.284 181 91.2
157.064 90.85 620.815 189 3204.4
78.5318 62.3091 621.909 189 1547.9
152.155 99.3513 623.491 189 885.2
-7.36237 -1.45075 632.687 191 1415.1
-9.81648 -5.70141 633.804 191 1290.3
-12.2706 -7.05056 634.034 191 1810.3
-22.0871 -9.95207 634.77 191 180.2
-4.90825 -2.7999 631.925 191 1653.4
-14.7247 -5.70141 634.697 191 2645.4
-19.6329 -5.70141 632.628 191 95.5
-2.45413 -1.45075 632.052 191 829.8
-34.3577 -14.2027 632.342 191 110
-19.6329 -11.3012 637.659 192 2391.1
-19.6329 -14.2027 638.369 192 1063.7
-17.1788 -9.95207 636.9 192 2186
161.972 87.8808 638.234 192 3766.2
-17.1788 -7.05056 635.877 192 1952.1
-24.5412 -14.2027 636.612 192 174.8
-29.4494 -19.8025 641.011 193 98.1
-26.9953 -18.4534 640.061 193 197.8
-24.5412 -19.8025 641.537 193 2530.2
-24.5412 -22.704 642.542 193 807.2
-22.0871 -18.4534 640.64 193 584.6
-22.0871 -15.5519 640.012 193 3009.1
-24.5412 -28.3038 642.997 193 99
-26.9953 -32.5545 646.914 194 1106.1
-44.1741 -56.7093 645.208 194 98.3
-26.9953 -26.9547 644.878 194 1622.5
-29.4494 -31.2053 646.277 194 1406.5
-29.4494 -28.3038 645.355 194 1111.7
