 Event ID : 0
34.3576 167.362 168 20 26.1
176.696 -130.387 257.6 48 321.8
176.696 -124.855 267.2 51 2134.3
171.788 -121.886 276.8 54 3531.4
161.972 -104.883 289.6 58 291.4
166.88 -124.855 299.2 61 135.9
171.788 -116.354 299.2 61 1383
166.88 -113.385 308.8 64 2340.9
161.972 -116.354 321.6 68 2540
115.344 -58.0584 328 70 122
115.344 -52.4586 328 70 115.8
157.064 -113.385 340.8 74 1901.7
157.064 -107.853 353.6 78 2314.2
152.155 -104.883 376 85 2334.7
152.155 -99.3513 395.2 91 1113
147.247 -96.3821 408 95 1616.1
142.339 -99.3513 424 100 956.2
147.247 -90.85 430.4 102 116.8
142.339 -87.8808 440 105 275.9
132.522 -116.354 440 105 23.3
137.431 -90.85 449.6 108 1799.6
132.522 -87.8808 468.8 114 1060.7
132.522 -82.3487 478.4 117 1246.9
127.614 -79.3795 497.6 123 1343
122.706 -82.3487 504 125 90.8
127.614 -73.8474 513.6 128 642.2
122.706 -70.8781 529.6 133 1126.1
117.798 -73.8474 532.8 134 448
122.706 -65.3461 545.6 138 181.3
117.798 -65.2106 555.2 141 338.7
115.344 -66.5598 555.2 141 495.2
110.435 -58.0584 584 150 299.5
105.527 -60.9599 593.6 153 106.2
107.981 -56.7093 596.8 154 290.7
105.527 -58.0584 600 155 353.5
105.527 -52.4586 609.6 158 102.9
103.073 -56.7093 609.6 158 299.3
103.073 -53.8078 612.8 159 354.9
100.619 -52.4586 622.4 162 340.7
98.1647 -53.8078 625.6 163 190.8
100.619 -49.5571 628.8 164 150.7
95.7106 -52.4586 635.2 166 168
98.1647 -48.208 638.4 167 207.1
95.7106 -49.5571 641.6 168 372.2
93.2565 -48.208 651.2 171 319.1
90.8024 -49.5571 654.4 172 113
93.2565 -45.3065 654.4 172 258.5
-51.5365 9.95207 660.8 174 20.1
90.8023 -43.9573 664 175 258.7
88.3482 -45.3065 667.2 176 284.7
90.8023 -41.0558 670.4 177 96.6
85.8941 -43.9573 676.8 179 213.5
88.3482 -39.7067 680 180 113.2
85.8941 -41.0558 683.2 181 307.7
83.44 -39.7067 692.8 184 303.9
80.9859 -41.0558 696 185 190.9
83.44 -36.8052 699.2 186 149.3
78.5318 -39.7067 705.6 188 149.4
80.9859 -35.456 708.8 189 188.1
78.5318 -36.8052 712 190 289.4
76.0776 -35.456 718.4 192 235.7
76.0776 -32.5545 724.8 194 217.5
-49.0824 28.3038 731.2 196 21.4
73.6235 -31.2053 734.4 197 243
73.6235 -28.3038 740.8 199 104.2
71.1694 -32.5545 740.8 199 212.7
71.1694 -26.9547 747.2 201 117.2
68.7153 -31.2053 747.2 201 180.1
68.7153 -28.3038 756.8 204 193.7
66.2612 -26.9547 766.4 207 222.5
63.8071 -28.3038 769.6 208 118.3
66.2612 -24.0532 769.6 208 140.6
61.3529 -26.9547 776 210 119.4
63.8071 -22.704 779.2 211 145.4
61.3529 -24.0532 782.4 212 222
58.8988 -22.704 792 215 187.6
58.8988 -19.8025 798.4 217 163.8
56.4447 -18.4534 808 220 162.7
53.9906 -19.8025 811.2 221 144.9
51.5365 -18.4534 820.8 224 145.2
51.5365 -15.5519 824 225 176.2
49.0824 -14.2027 833.6 228 205.9
49.0824 -11.3012 836.8 229 113.2
46.6282 -15.5519 836.8 229 104.3
46.6282 -9.95207 849.6 233 137.1
44.1741 -14.2027 849.6 233 89.2
44.1741 -11.3012 856 235 159.8
41.72 -9.95207 868.8 239 184.4
41.72 -7.05056 872 240 160.7
39.2659 -5.70141 881.6 243 141.3
36.8118 -7.05056 888 245 126.3
34.3577 -5.70141 897.6 248 130.9
36.8118 -1.45075 897.6 248 80
34.3577 -2.7999 900.8 249 131.8
31.9035 -1.45075 913.6 253 147.8
29.4494 -2.7999 913.6 253 101
31.9035 1.45075 916.8 254 89.9
26.9953 -1.45075 923.2 256 95.1
29.4494 2.7999 926.4 257 99.7
26.9953 1.45075 929.6 258 134.3
24.5412 2.7999 945.6 263 122.5
24.5412 5.70141 948.8 264 104.7
9.81648 19.8025 955.2 266 82.2
9.81648 22.704 955.2 266 90.8
17.1788 9.95207 958.4 267 270.7
22.0871 7.05056 958.4 267 159
19.6329 2.7999 958.4 267 93.4
12.2706 15.5519 958.4 267 123.5
14.7247 14.2027 958.4 267 202.3
14.7247 11.3012 958.4 267 163.9
17.1788 15.5519 958.4 267 148.9
19.6329 11.3012 958.4 267 175.3
19.6329 14.2027 958.4 267 97.7
22.0871 9.95207 958.4 267 115
12.2706 18.4534 958.4 267 144.5
14.7247 19.8025 958.4 267 113.2
19.6329 5.70141 961.6 268 251.3
17.1788 7.05056 961.6 268 215.8
14.7247 5.70141 1000 280 72.7
14.7247 2.7999 1022.4 287 60.2
7.36237 1.45075 1073.6 303 70.4
-147.247 90.85 1406.4 407 25.7
