! 11Be energy loss (dE/dX) in H8C3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000143483	0.001000	0.000144422	0.001000	0.000154769	0.001000	0.000154769	0.001000	0.000154747	0.001000	8.4524e-05	0.001000	5.98977e-05	
0.002000	0.000157002	0.002000	0.000151689	0.002000	0.000167397	0.002000	0.000167397	0.002000	0.000167385	0.002000	0.000109614	0.002000	4.20752e-05	
0.005000	0.000192609	0.005000	0.000178531	0.005000	0.000205731	0.005000	0.000205731	0.005000	0.000205725	0.005000	0.000154559	0.005000	2.39718e-05	
0.008000	0.000220658	0.008000	0.00020168	0.008000	0.000237661	0.008000	0.000237661	0.008000	0.000237658	0.008000	0.000184348	0.008000	1.73319e-05	
0.010000	0.000236522	0.010000	0.000215226	0.010000	0.000256297	0.010000	0.000256297	0.010000	0.000256295	0.010000	0.000200438	0.010000	1.47884e-05	
0.015000	0.000276899	0.015000	0.000246985	0.015000	0.000293065	0.015000	0.000293065	0.015000	0.000293063	0.015000	0.000236064	0.015000	1.09209e-05	
0.020000	0.000309266	0.020000	0.000274979	0.020000	0.000325156	0.020000	0.000325156	0.020000	0.000325154	0.020000	0.00026619	0.020000	8.78932e-06	
0.025000	0.000345693	0.025000	0.000307548	0.025000	0.000355806	0.025000	0.000355806	0.025000	0.000355806	0.025000	0.000300145	0.025000	7.40291e-06	
0.030000	0.000376638	0.030000	0.000338438	0.030000	0.000388225	0.030000	0.000388225	0.030000	0.000388225	0.030000	0.000332016	0.030000	6.422e-06 	
0.035000	0.000402112	0.035000	0.000367537	0.035000	0.000418733	0.035000	0.000418733	0.035000	0.000418732	0.035000	0.000361849	0.035000	5.68786e-06	
0.040000	0.000422199	0.040000	0.000394864	0.040000	0.000447405	0.040000	0.000447405	0.040000	0.000447404	0.040000	0.000389748	0.040000	5.11581e-06	
0.045000	0.000437  	0.045000	0.000420435	0.045000	0.0004743 	0.045000	0.0004743 	0.045000	0.0004743 	0.045000	0.000415778	0.045000	4.65631e-06	
0.050000	0.000446146	0.050000	0.00044353	0.050000	0.00049947	0.050000	0.00049947	0.050000	0.00049947	0.050000	0.000439252	0.050000	4.27837e-06	
0.055000	0.000465035	0.055000	0.000468422	0.055000	0.000522965	0.055000	0.000522965	0.055000	0.000522965	0.055000	0.00046446	0.055000	3.96155e-06	
0.060000	0.000480959	0.060000	0.000491981	0.060000	0.000544834	0.060000	0.000544834	0.060000	0.000544834	0.060000	0.000488289	0.060000	3.69177e-06	
0.070000	0.000504794	0.070000	0.000535115	0.070000	0.000583913	0.070000	0.000583913	0.070000	0.000583913	0.070000	0.000531859	0.070000	3.25602e-06	
0.080000	0.000530233	0.080000	0.000572451	0.080000	0.000617169	0.080000	0.000617169	0.080000	0.000617169	0.080000	0.000569533	0.080000	2.91848e-06	
0.090000	0.000549189	0.090000	0.000604707	0.090000	0.000645098	0.090000	0.000645098	0.090000	0.000645098	0.090000	0.000602058	0.090000	2.64867e-06	
0.100000	0.000563294	0.100000	0.000632175	0.100000	0.000668219	0.100000	0.000668219	0.100000	0.000668219	0.100000	0.000629747	0.100000	2.42765e-06	
0.120000	0.000568344	0.120000	0.000675506	0.120000	0.000702089	0.120000	0.000702089	0.120000	0.000702089	0.120000	0.000673419	0.120000	2.08627e-06	
0.140000	0.000567709	0.140000	0.000704364	0.140000	0.000722658	0.140000	0.000722658	0.140000	0.000722658	0.140000	0.00070253	0.140000	1.83405e-06	
