#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 128.97 0 111.859
0.1 6.65002 126.01 3.84349 114.819
0.2 13.2006 117.417 7.06263 123.412
0.3 19.5305 104.034 9.24656 136.795
0.4 25.4659 87.1695 10.2619 153.66
0.5 30.7259 68.4756 10.1822 172.353
0.6 34.8091 49.7817 9.18427 191.047
0.7 36.7302 32.9176 7.47489 207.911
0.8 34.3824 19.5343 5.25463 221.295
0.9 23.3902 10.9416 2.70699 229.887
1 1.05576e-14 7.98079 1.06547e-15 232.848
1.1 156.61 10.9416 177.293 229.887
1.2 145.618 19.5343 174.745 221.295
1.3 143.27 32.9176 172.525 207.911
1.4 145.191 49.7817 170.816 191.047
1.5 149.274 68.4756 169.818 172.353
1.6 154.534 87.1695 169.738 153.66
1.7 160.469 104.034 170.753 136.795
1.8 166.799 117.417 172.937 123.412
1.9 173.35 126.01 176.157 114.819
2 180 128.97 180 111.859
2.1 6.65002 126.01 3.84349 114.819
2.2 13.2006 117.417 7.06263 123.412
2.3 19.5305 104.034 9.24656 136.795
2.4 25.4659 87.1695 10.2619 153.66
2.5 30.7259 68.4756 10.1822 172.353
2.6 34.8091 49.7817 9.18427 191.047
2.7 36.7302 32.9176 7.47489 207.911
2.8 34.3824 19.5343 5.25463 221.295
2.9 23.3902 10.9416 2.70699 229.887
3 3.16727e-14 7.98079 3.19641e-15 232.848
3.1 156.61 10.9416 177.293 229.887
3.2 145.618 19.5343 174.745 221.295
3.3 143.27 32.9176 172.525 207.911
3.4 145.191 49.7817 170.816 191.047
3.5 149.274 68.4756 169.818 172.353
3.6 154.534 87.1695 169.738 153.66
3.7 160.469 104.034 170.753 136.795
3.8 166.799 117.417 172.937 123.412
3.9 173.35 126.01 176.157 114.819
4 180 128.97 180 111.859
4.1 6.65002 126.01 3.84349 114.819
4.2 13.2006 117.417 7.06263 123.412
4.3 19.5305 104.034 9.24656 136.795
4.4 25.4659 87.1695 10.2619 153.66
4.5 30.7259 68.4756 10.1822 172.353
4.6 34.8091 49.7817 9.18427 191.047
4.7 36.7302 32.9176 7.47489 207.911
4.8 34.3824 19.5343 5.25463 221.295
4.9 23.3902 10.9416 2.70699 229.887
5 5.27879e-14 7.98079 5.32735e-15 232.848
5.1 156.61 10.9416 177.293 229.887
5.2 145.618 19.5343 174.745 221.295
5.3 143.27 32.9176 172.525 207.911
5.4 145.191 49.7817 170.816 191.047
5.5 149.274 68.4756 169.818 172.353
5.6 154.534 87.1695 169.738 153.66
5.7 160.469 104.034 170.753 136.795
5.8 166.799 117.417 172.937 123.412
5.9 173.35 126.01 176.157 114.819
6 180 128.97 180 111.859
6.1 6.65002 126.01 3.84349 114.819
6.2 13.2006 117.417 7.06263 123.412
6.3 19.5305 104.034 9.24656 136.795
6.4 25.4659 87.1695 10.2619 153.66
6.5 30.7259 68.4756 10.1822 172.353
6.6 34.8091 49.7817 9.18427 191.047
6.7 36.7302 32.9176 7.47489 207.911
6.8 34.3824 19.5343 5.25463 221.295
6.9 23.3902 10.9416 2.70699 229.887
7 7.3903e-14 7.98079 7.45829e-15 232.848
7.1 156.61 10.9416 177.293 229.887
7.2 145.618 19.5343 174.745 221.295
7.3 143.27 32.9176 172.525 207.911
7.4 145.191 49.7817 170.816 191.047
7.5 149.274 68.4756 169.818 172.353
7.6 154.534 87.1695 169.738 153.66
7.7 160.469 104.034 170.753 136.795
7.8 166.799 117.417 172.937 123.412
7.9 173.35 126.01 176.157 114.819
8 180 128.97 180 111.859
8.1 6.65002 126.01 3.84349 114.819
8.2 13.2006 117.417 7.06263 123.412
8.3 19.5305 104.034 9.24656 136.795
8.4 25.4659 87.1695 10.2619 153.66
8.5 30.7259 68.4756 10.1822 172.353
8.6 34.8091 49.7817 9.18427 191.047
8.7 36.7302 32.9176 7.47489 207.911
8.8 34.3824 19.5343 5.25463 221.295
8.9 23.3902 10.9416 2.70699 229.887
9 9.50182e-14 7.98079 9.58924e-15 232.848
9.1 156.61 10.9416 177.293 229.887
9.2 145.618 19.5343 174.745 221.295
9.3 143.27 32.9176 172.525 207.911
9.4 145.191 49.7817 170.816 191.047
9.5 149.274 68.4756 169.818 172.353
9.6 154.534 87.1695 169.738 153.66
9.7 160.469 104.034 170.753 136.795
9.8 166.799 117.417 172.937 123.412
9.9 173.35 126.01 176.157 114.819
10 180 128.97 180 111.859
10.1 6.65002 126.01 3.84349 114.819
10.2 13.2006 117.417 7.06263 123.412
10.3 19.5305 104.034 9.24656 136.795
10.4 25.4659 87.1695 10.2619 153.66
10.5 30.7259 68.4756 10.1822 172.353
10.6 34.8091 49.7817 9.18427 191.047
10.7 36.7302 32.9176 7.47489 207.911
10.8 34.3824 19.5343 5.25463 221.295
10.9 23.3902 10.9416 2.70699 229.887
11 4.2241e-13 7.98079 4.26296e-14 232.848
11.1 156.61 10.9416 177.293 229.887
11.2 145.618 19.5343 174.745 221.295
11.3 143.27 32.9176 172.525 207.911
11.4 145.191 49.7817 170.816 191.047
11.5 149.274 68.4756 169.818 172.353
11.6 154.534 87.1695 169.738 153.66
11.7 160.469 104.034 170.753 136.795
11.8 166.799 117.417 172.937 123.412
11.9 173.35 126.01 176.157 114.819
12 180 128.97 180 111.859
12.1 6.65002 126.01 3.84349 114.819
12.2 13.2006 117.417 7.06263 123.412
12.3 19.5305 104.034 9.24656 136.795
12.4 25.4659 87.1695 10.2619 153.66
12.5 30.7259 68.4756 10.1822 172.353
12.6 34.8091 49.7817 9.18427 191.047
12.7 36.7302 32.9176 7.47489 207.911
12.8 34.3824 19.5343 5.25463 221.295
12.9 23.3902 10.9416 2.70699 229.887
13 180 7.98079 180 232.848
13.1 156.61 10.9416 177.293 229.887
13.2 145.618 19.5343 174.745 221.295
13.3 143.27 32.9176 172.525 207.911
13.4 145.191 49.7817 170.816 191.047
13.5 149.274 68.4756 169.818 172.353
13.6 154.534 87.1695 169.738 153.66
13.7 160.469 104.034 170.753 136.795
13.8 166.799 117.417 172.937 123.412
13.9 173.35 126.01 176.157 114.819
14 180 128.97 180 111.859
14.1 6.65002 126.01 3.84349 114.819
14.2 13.2006 117.417 7.06263 123.412
14.3 19.5305 104.034 9.24656 136.795
14.4 25.4659 87.1695 10.2619 153.66
14.5 30.7259 68.4756 10.1822 172.353
14.6 34.8091 49.7817 9.18427 191.047
14.7 36.7302 32.9176 7.47489 207.911
14.8 34.3824 19.5343 5.25463 221.295
