#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 119.336 0 116.993
0.1 6.21529 116.675 3.38246 119.654
0.2 12.3129 108.951 6.24315 127.378
0.3 18.1511 96.9213 8.22318 139.408
0.4 23.5315 81.7628 9.1848 154.566
0.5 28.1429 64.9594 9.16756 171.37
0.6 31.4515 48.156 8.31044 188.173
0.7 32.4737 32.9975 6.79002 203.332
0.8 29.3329 20.9676 4.7863 215.361
0.9 18.922 13.2439 2.46975 223.085
1 8.23924e-15 10.5825 9.72616e-16 225.746
1.1 161.078 13.2439 177.53 223.085
1.2 150.667 20.9676 175.214 215.361
1.3 147.526 32.9975 173.21 203.332
1.4 148.548 48.156 171.69 188.173
1.5 151.857 64.9594 170.832 171.37
1.6 156.469 81.7628 170.815 154.566
1.7 161.849 96.9213 171.777 139.408
1.8 167.687 108.951 173.757 127.378
1.9 173.785 116.675 176.618 119.654
2 180 119.336 180 116.993
2.1 6.21529 116.675 3.38246 119.654
2.2 12.3129 108.951 6.24315 127.378
2.3 18.1511 96.9213 8.22318 139.408
2.4 23.5315 81.7628 9.1848 154.566
2.5 28.1429 64.9594 9.16756 171.37
2.6 31.4515 48.156 8.31044 188.173
2.7 32.4737 32.9975 6.79002 203.332
2.8 29.3329 20.9676 4.7863 215.361
2.9 18.922 13.2439 2.46975 223.085
3 2.47177e-14 10.5825 2.91785e-15 225.746
3.1 161.078 13.2439 177.53 223.085
3.2 150.667 20.9676 175.214 215.361
3.3 147.526 32.9975 173.21 203.332
3.4 148.548 48.156 171.69 188.173
3.5 151.857 64.9594 170.832 171.37
3.6 156.469 81.7628 170.815 154.566
3.7 161.849 96.9213 171.777 139.408
3.8 167.687 108.951 173.757 127.378
3.9 173.785 116.675 176.618 119.654
4 180 119.336 180 116.993
4.1 6.21529 116.675 3.38246 119.654
4.2 12.3129 108.951 6.24315 127.378
4.3 18.1511 96.9213 8.22318 139.408
4.4 23.5315 81.7628 9.1848 154.566
4.5 28.1429 64.9594 9.16756 171.37
4.6 31.4515 48.156 8.31044 188.173
4.7 32.4737 32.9975 6.79002 203.332
4.8 29.3329 20.9676 4.7863 215.361
4.9 18.922 13.2439 2.46975 223.085
5 4.11962e-14 10.5825 4.86308e-15 225.746
5.1 161.078 13.2439 177.53 223.085
5.2 150.667 20.9676 175.214 215.361
5.3 147.526 32.9975 173.21 203.332
5.4 148.548 48.156 171.69 188.173
5.5 151.857 64.9594 170.832 171.37
5.6 156.469 81.7628 170.815 154.566
5.7 161.849 96.9213 171.777 139.408
5.8 167.687 108.951 173.757 127.378
5.9 173.785 116.675 176.618 119.654
6 180 119.336 180 116.993
6.1 6.21529 116.675 3.38246 119.654
6.2 12.3129 108.951 6.24315 127.378
6.3 18.1511 96.9213 8.22318 139.408
6.4 23.5315 81.7628 9.1848 154.566
6.5 28.1429 64.9594 9.16756 171.37
6.6 31.4515 48.156 8.31044 188.173
6.7 32.4737 32.9975 6.79002 203.332
6.8 29.3329 20.9676 4.7863 215.361
6.9 18.922 13.2439 2.46975 223.085
7 5.76747e-14 10.5825 6.80831e-15 225.746
7.1 161.078 13.2439 177.53 223.085
7.2 150.667 20.9676 175.214 215.361
7.3 147.526 32.9975 173.21 203.332
7.4 148.548 48.156 171.69 188.173
7.5 151.857 64.9594 170.832 171.37
7.6 156.469 81.7628 170.815 154.566
7.7 161.849 96.9213 171.777 139.408
7.8 167.687 108.951 173.757 127.378
7.9 173.785 116.675 176.618 119.654
8 180 119.336 180 116.993
8.1 6.21529 116.675 3.38246 119.654
8.2 12.3129 108.951 6.24315 127.378
8.3 18.1511 96.9213 8.22318 139.408
8.4 23.5315 81.7628 9.1848 154.566
8.5 28.1429 64.9594 9.16756 171.37
8.6 31.4515 48.156 8.31044 188.173
8.7 32.4737 32.9975 6.79002 203.332
8.8 29.3329 20.9676 4.7863 215.361
8.9 18.922 13.2439 2.46975 223.085
9 7.41532e-14 10.5825 8.75355e-15 225.746
9.1 161.078 13.2439 177.53 223.085
9.2 150.667 20.9676 175.214 215.361
9.3 147.526 32.9975 173.21 203.332
9.4 148.548 48.156 171.69 188.173
9.5 151.857 64.9594 170.832 171.37
9.6 156.469 81.7628 170.815 154.566
9.7 161.849 96.9213 171.777 139.408
9.8 167.687 108.951 173.757 127.378
9.9 173.785 116.675 176.618 119.654
10 180 119.336 180 116.993
10.1 6.21529 116.675 3.38246 119.654
10.2 12.3129 108.951 6.24315 127.378
10.3 18.1511 96.9213 8.22318 139.408
10.4 23.5315 81.7628 9.1848 154.566
10.5 28.1429 64.9594 9.16756 171.37
10.6 31.4515 48.156 8.31044 188.173
10.7 32.4737 32.9975 6.79002 203.332
10.8 29.3329 20.9676 4.7863 215.361
10.9 18.922 13.2439 2.46975 223.085
11 3.29653e-13 10.5825 3.89145e-14 225.746
11.1 161.078 13.2439 177.53 223.085
11.2 150.667 20.9676 175.214 215.361
11.3 147.526 32.9975 173.21 203.332
11.4 148.548 48.156 171.69 188.173
11.5 151.857 64.9594 170.832 171.37
11.6 156.469 81.7628 170.815 154.566
11.7 161.849 96.9213 171.777 139.408
11.8 167.687 108.951 173.757 127.378
11.9 173.785 116.675 176.618 119.654
12 180 119.336 180 116.993
12.1 6.21529 116.675 3.38246 119.654
12.2 12.3129 108.951 6.24315 127.378
12.3 18.1511 96.9213 8.22318 139.408
12.4 23.5315 81.7628 9.1848 154.566
12.5 28.1429 64.9594 9.16756 171.37
12.6 31.4515 48.156 8.31044 188.173
12.7 32.4737 32.9975 6.79002 203.332
12.8 29.3329 20.9676 4.7863 215.361
12.9 18.922 13.2439 2.46975 223.085
13 180 10.5825 180 225.746
13.1 161.078 13.2439 177.53 223.085
13.2 150.667 20.9676 175.214 215.361
13.3 147.526 32.9975 173.21 203.332
13.4 148.548 48.156 171.69 188.173
13.5 151.857 64.9594 170.832 171.37
13.6 156.469 81.7628 170.815 154.566
13.7 161.849 96.9213 171.777 139.408
13.8 167.687 108.951 173.757 127.378
13.9 173.785 116.675 176.618 119.654
14 180 119.336 180 116.993
14.1 6.21529 116.675 3.38246 119.654
14.2 12.3129 108.951 6.24315 127.378
14.3 18.1511 96.9213 8.22318 139.408
14.4 23.5315 81.7628 9.1848 154.566
14.5 28.1429 64.9594 9.16756 171.37
14.6 31.4515 48.156 8.31044 188.173
14.7 32.4737 32.9975 6.79002 203.332
14.8 29.3329 20.9676 4.7863 215.361
14.9 18.922 13.2439 2.46975 223.085
15 3.6261e-13 10.5825 4.28049e-14 225.746
15.1 161.078 13.2439 177.53 223.085
15.2 150.667 20.9676 175.214 215.361
15.3 147.526 32.9975 173.21 203.332
15.4 148.548 48.156 171.69 188.173
15.5 151.857 64.9594 170.832 171.37
15.6 156.469 81.7628 170.815 154.566
15.7 161.849 96.9213 171.777 139.408
15.8 167.687 108.951 173.757 127.378
15.9 173.785 116.675 176.618 119.654
16 180 119.336 180 116.993
16.1 6.21529 116.675 3.38246 119.654
16.2 12.3129 108.951 6.24315 127.378
16.3 18.1511 96.9213 8.22318 139.408
16.4 23.5315 81.7628 9.1848 154.566
16.5 28.1429 64.9594 9.16756 171.37
16.6 31.4515 48.156 8.31044 188.173
16.7 32.4737 32.9975 6.79002 203.332
16.8 29.3329 20.9676 4.7863 215.361
16.9 18.922 13.2439 2.46975 223.085
17 180 10.5825 180 225.746
17.1 161.078 13.2439 177.53 223.085
17.2 150.667 20.9676 175.214 215.361
17.3 147.526 32.9975 173.21 203.332
17.4 148.548 48.156 171.69 188.173
17.5 151.857 64.9594 170.832 171.37
17.6 156.469 81.7628 170.815 154.566
17.7 161.849 96.9213 171.777 139.408
17.8 167.687 108.951 173.757 127.378
17.9 173.785 116.675 176.618 119.654
18 180 119.336 180 116.993
18.1 6.21529 116.675 3.38246 119.654
18.2 12.3129 108.951 6.24315 127.378
18.3 18.1511 96.9213 8.22318 139.408
18.4 23.5315 81.7628 9.1848 154.566
18.5 28.1429 64.9594 9.16756 171.37
18.6 31.4515 48.156 8.31044 188.173
18.7 32.4737 32.9975 6.79002 203.332
18.8 29.3329 20.9676 4.7863 215.361
18.9 18.922 13.2439 2.46975 223.085
19 3.95567e-13 10.5825 4.66954e-14 225.746
19.1 161.078 13.2439 177.53 223.085
19.2 150.667 20.9676 175.214 215.361
19.3 147.526 32.9975 173.21 203.332
19.4 148.548 48.156 171.69 188.173
19.5 151.857 64.9594 170.832 171.37
19.6 156.469 81.7628 170.815 154.566
19.7 161.849 96.9213 171.777 139.408
19.8 167.687 108.951 173.757 127.378
19.9 173.785 116.675 176.618 119.654
20 180 119.336 180 116.993
20.1 6.21529 116.675 3.38246 119.654
20.2 12.3129 108.951 6.24315 127.378
20.3 18.1511 96.9213 8.22318 139.408
20.4 23.5315 81.7628 9.1848 154.566
20.5 28.1429 64.9594 9.16756 171.37
20.6 31.4515 48.156 8.31044 188.173
20.7 32.4737 32.9975 6.79002 203.332
20.8 29.3329 20.9676 4.7863 215.361
20.9 18.922 13.2439 2.46975 223.085
21 180 10.5825 180 225.746
21.1 161.078 13.2439 177.53 223.085
21.2 150.667 20.9676 175.214 215.361
21.3 147.526 32.9975 173.21 203.332
21.4 148.548 48.156 171.69 188.173
21.5 151.857 64.9594 170.832 171.37
21.6 156.469 81.7628 170.815 154.566
21.7 161.849 96.9213 171.777 139.408
21.8 167.687 108.951 173.757 127.378
21.9 173.785 116.675 176.618 119.654
22 180 119.336 180 116.993
22.1 6.21529 116.675 3.38246 119.654
22.2 12.3129 108.951 6.24315 127.378
22.3 18.1511 96.9213 8.22318 139.408
22.4 23.5315 81.7628 9.1848 154.566
22.5 28.1429 64.9594 9.16756 171.37
22.6 31.4515 48.156 8.31044 188.173
22.7 32.4737 32.9975 6.79002 203.332
22.8 29.3329 20.9676 4.7863 215.361
22.9 18.922 13.2439 2.46975 223.085
23 4.28524e-13 10.5825 5.05859e-14 225.746
23.1 161.078 13.2439 177.53 223.085
23.2 150.667 20.9676 175.214 215.361
23.3 147.526 32.9975 173.21 203.332
23.4 148.548 48.156 171.69 188.173
23.5 151.857 64.9594 170.832 171.37
23.6 156.469 81.7628 170.815 154.566
23.7 161.849 96.9213 171.777 139.408
23.8 167.687 108.951 173.757 127.378
23.9 173.785 116.675 176.618 119.654
24 180 119.336 180 116.993
24.1 6.21529 116.675 3.38246 119.654
24.2 12.3129 108.951 6.24315 127.378
24.3 18.1511 96.9213 8.22318 139.408
24.4 23.5315 81.7628 9.1848 154.566
24.5 28.1429 64.9594 9.16756 171.37
24.6 31.4515 48.156 8.31044 188.173
24.7 32.4737 32.9975 6.79002 203.332
24.8 29.3329 20.9676 4.7863 215.361
24.9 18.922 13.2439 2.46975 223.085
25 180 10.5825 180 225.746
25.1 161.078 13.2439 177.53 223.085
25.2 150.667 20.9676 175.214 215.361
25.3 147.526 32.9975 173.21 203.332
25.4 148.548 48.156 171.69 188.173
25.5 151.857 64.9594 170.832 171.37
25.6 156.469 81.7628 170.815 154.566
25.7 161.849 96.9213 171.777 139.408
25.8 167.687 108.951 173.757 127.378
25.9 173.785 116.675 176.618 119.654
26 7.78151e-14 119.336 4.33858e-14 116.993
26.1 6.21529 116.675 3.38246 119.654
26.2 12.3129 108.951 6.24315 127.378
26.3 18.1511 96.9213 8.22318 139.408
26.4 23.5315 81.7628 9.1848 154.566
26.5 28.1429 64.9594 9.16756 171.37
26.6 31.4515 48.156 8.31044 188.173
26.7 32.4737 32.9975 6.79002 203.332
26.8 29.3329 20.9676 4.7863 215.361
26.9 18.922 13.2439 2.46975 223.085
27 4.61481e-13 10.5825 5.44763e-14 225.746
27.1 161.078 13.2439 177.53 223.085
27.2 150.667 20.9676 175.214 215.361
27.3 147.526 32.9975 173.21 203.332
27.4 148.548 48.156 171.69 188.173
27.5 151.857 64.9594 170.832 171.37
27.6 156.469 81.7628 170.815 154.566
27.7 161.849 96.9213 171.777 139.408
27.8 167.687 108.951 173.757 127.378
27.9 173.785 116.675 176.618 119.654
28 180 119.336 180 116.993
28.1 6.21529 116.675 3.38246 119.654
28.2 12.3129 108.951 6.24315 127.378
28.3 18.1511 96.9213 8.22318 139.408
28.4 23.5315 81.7628 9.1848 154.566
28.5 28.1429 64.9594 9.16756 171.37
28.6 31.4515 48.156 8.31044 188.173
28.7 32.4737 32.9975 6.79002 203.332
28.8 29.3329 20.9676 4.7863 215.361
28.9 18.922 13.2439 2.46975 223.085
29 180 10.5825 180 225.746
29.1 161.078 13.2439 177.53 223.085
29.2 150.667 20.9676 175.214 215.361
29.3 147.526 32.9975 173.21 203.332
29.4 148.548 48.156 171.69 188.173
29.5 151.857 64.9594 170.832 171.37
29.6 156.469 81.7628 170.815 154.566
29.7 161.849 96.9213 171.777 139.408
29.8 167.687 108.951 173.757 127.378
29.9 173.785 116.675 176.618 119.654
30 180 119.336 180 116.993
30.1 6.21529 116.675 3.38246 119.654
30.2 12.3129 108.951 6.24315 127.378
30.3 18.1511 96.9213 8.22318 139.408
30.4 23.5315 81.7628 9.1848 154.566
30.5 28.1429 64.9594 9.16756 171.37
30.6 31.4515 48.156 8.31044 188.173
30.7 32.4737 32.9975 6.79002 203.332
30.8 29.3329 20.9676 4.7863 215.361
30.9 18.922 13.2439 2.46975 223.085
31 4.94438e-13 10.5825 5.83668e-14 225.746
31.1 161.078 13.2439 177.53 223.085
31.2 150.667 20.9676 175.214 215.361
31.3 147.526 32.9975 173.21 203.332
31.4 148.548 48.156 171.69 188.173
31.5 151.857 64.9594 170.832 171.37
31.6 156.469 81.7628 170.815 154.566
31.7 161.849 96.9213 171.777 139.408
31.8 167.687 108.951 173.757 127.378
31.9 173.785 116.675 176.618 119.654
32 180 119.336 180 116.993
32.1 6.21529 116.675 3.38246 119.654
32.2 12.3129 108.951 6.24315 127.378
32.3 18.1511 96.9213 8.22318 139.408
32.4 23.5315 81.7628 9.1848 154.566
32.5 28.1429 64.9594 9.16756 171.37
32.6 31.4515 48.156 8.31044 188.173
32.7 32.4737 32.9975 6.79002 203.332
32.8 29.3329 20.9676 4.7863 215.361
32.9 18.922 13.2439 2.46975 223.085
33 3.28737e-14 10.5825 3.88063e-15 225.746
33.1 161.078 13.2439 177.53 223.085
33.2 150.667 20.9676 175.214 215.361
33.3 147.526 32.9975 173.21 203.332
33.4 148.548 48.156 171.69 188.173
33.5 151.857 64.9594 170.832 171.37
33.6 156.469 81.7628 170.815 154.566
33.7 161.849 96.9213 171.777 139.408
33.8 167.687 108.951 173.757 127.378
33.9 173.785 116.675 176.618 119.654
34 5.83736e-14 119.336 3.25462e-14 116.993
34.1 6.21529 116.675 3.38246 119.654
34.2 12.3129 108.951 6.24315 127.378
34.3 18.1511 96.9213 8.22318 139.408
34.4 23.5315 81.7628 9.1848 154.566
34.5 28.1429 64.9594 9.16756 171.37
34.6 31.4515 48.156 8.31044 188.173
34.7 32.4737 32.9975 6.79002 203.332
34.8 29.3329 20.9676 4.7863 215.361
34.9 18.922 13.2439 2.46975 223.085
35 5.27395e-13 10.5825 6.22573e-14 225.746
35.1 161.078 13.2439 177.53 223.085
35.2 150.667 20.9676 175.214 215.361
35.3 147.526 32.9975 173.21 203.332
35.4 148.548 48.156 171.69 188.173
35.5 151.857 64.9594 170.832 171.37
35.6 156.469 81.7628 170.815 154.566
35.7 161.849 96.9213 171.777 139.408
35.8 167.687 108.951 173.757 127.378
35.9 173.785 116.675 176.618 119.654
36 180 119.336 180 116.993
36.1 6.21529 116.675 3.38246 119.654
36.2 12.3129 108.951 6.24315 127.378
36.3 18.1511 96.9213 8.22318 139.408
36.4 23.5315 81.7628 9.1848 154.566
36.5 28.1429 64.9594 9.16756 171.37
36.6 31.4515 48.156 8.31044 188.173
36.7 32.4737 32.9975 6.79002 203.332
36.8 29.3329 20.9676 4.7863 215.361
36.9 18.922 13.2439 2.46975 223.085
37 6.58307e-14 10.5825 7.7711e-15 225.746
37.1 161.078 13.2439 177.53 223.085
37.2 150.667 20.9676 175.214 215.361
37.3 147.526 32.9975 173.21 203.332
37.4 148.548 48.156 171.69 188.173
37.5 151.857 64.9594 170.832 171.37
37.6 156.469 81.7628 170.815 154.566
37.7 161.849 96.9213 171.777 139.408
37.8 167.687 108.951 173.757 127.378
37.9 173.785 116.675 176.618 119.654
38 180 119.336 180 116.993
38.1 6.21529 116.675 3.38246 119.654
38.2 12.3129 108.951 6.24315 127.378
38.3 18.1511 96.9213 8.22318 139.408
38.4 23.5315 81.7628 9.1848 154.566
38.5 28.1429 64.9594 9.16756 171.37
38.6 31.4515 48.156 8.31044 188.173
38.7 32.4737 32.9975 6.79002 203.332
38.8 29.3329 20.9676 4.7863 215.361
38.9 18.922 13.2439 2.46975 223.085
39 5.60352e-13 10.5825 6.61477e-14 225.746
39.1 161.078 13.2439 177.53 223.085
39.2 150.667 20.9676 175.214 215.361
39.3 147.526 32.9975 173.21 203.332
39.4 148.548 48.156 171.69 188.173
39.5 151.857 64.9594 170.832 171.37
39.6 156.469 81.7628 170.815 154.566
39.7 161.849 96.9213 171.777 139.408
39.8 167.687 108.951 173.757 127.378
39.9 173.785 116.675 176.618 119.654
40 180 119.336 180 116.993
40.1 6.21529 116.675 3.38246 119.654
40.2 12.3129 108.951 6.24315 127.378
40.3 18.1511 96.9213 8.22318 139.408
40.4 23.5315 81.7628 9.1848 154.566
40.5 28.1429 64.9594 9.16756 171.37
40.6 31.4515 48.156 8.31044 188.173
40.7 32.4737 32.9975 6.79002 203.332
40.8 29.3329 20.9676 4.7863 215.361
40.9 18.922 13.2439 2.46975 223.085
41 1.05487e-12 10.5825 1.24524e-13 225.746
41.1 161.078 13.2439 177.53 223.085
41.2 150.667 20.9676 175.214 215.361
41.3 147.526 32.9975 173.21 203.332
41.4 148.548 48.156 171.69 188.173
41.5 151.857 64.9594 170.832 171.37
41.6 156.469 81.7628 170.815 154.566
41.7 161.849 96.9213 171.777 139.408
41.8 167.687 108.951 173.757 127.378
41.9 173.785 116.675 176.618 119.654
42 3.89321e-14 119.336 2.17066e-14 116.993
42.1 6.21529 116.675 3.38246 119.654
42.2 12.3129 108.951 6.24315 127.378
42.3 18.1511 96.9213 8.22318 139.408
42.4 23.5315 81.7628 9.1848 154.566
42.5 28.1429 64.9594 9.16756 171.37
42.6 31.4515 48.156 8.31044 188.173
42.7 32.4737 32.9975 6.79002 203.332
42.8 29.3329 20.9676 4.7863 215.361
42.9 18.922 13.2439 2.46975 223.085
43 5.93309e-13 10.5825 7.00382e-14 225.746
43.1 161.078 13.2439 177.53 223.085
43.2 150.667 20.9676 175.214 215.361
43.3 147.526 32.9975 173.21 203.332
43.4 148.548 48.156 171.69 188.173
43.5 151.857 64.9594 170.832 171.37
43.6 156.469 81.7628 170.815 154.566
43.7 161.849 96.9213 171.777 139.408
43.8 167.687 108.951 173.757 127.378
43.9 173.785 116.675 176.618 119.654
44 180 119.336 180 116.993
44.1 6.21529 116.675 3.38246 119.654
44.2 12.3129 108.951 6.24315 127.378
44.3 18.1511 96.9213 8.22318 139.408
44.4 23.5315 81.7628 9.1848 154.566
44.5 28.1429 64.9594 9.16756 171.37
44.6 31.4515 48.156 8.31044 188.173
44.7 32.4737 32.9975 6.79002 203.332
44.8 29.3329 20.9676 4.7863 215.361
44.9 18.922 13.2439 2.46975 223.085
45 1.31745e-13 10.5825 1.5552e-14 225.746
45.1 161.078 13.2439 177.53 223.085
45.2 150.667 20.9676 175.214 215.361
45.3 147.526 32.9975 173.21 203.332
45.4 148.548 48.156 171.69 188.173
45.5 151.857 64.9594 170.832 171.37
45.6 156.469 81.7628 170.815 154.566
45.7 161.849 96.9213 171.777 139.408
45.8 167.687 108.951 173.757 127.378
45.9 173.785 116.675 176.618 119.654
46 180 119.336 180 116.993
46.1 6.21529 116.675 3.38246 119.654
46.2 12.3129 108.951 6.24315 127.378
46.3 18.1511 96.9213 8.22318 139.408
46.4 23.5315 81.7628 9.1848 154.566
46.5 28.1429 64.9594 9.16756 171.37
46.6 31.4515 48.156 8.31044 188.173
46.7 32.4737 32.9975 6.79002 203.332
46.8 29.3329 20.9676 4.7863 215.361
46.9 18.922 13.2439 2.46975 223.085
47 180 10.5825 180 225.746
47.1 161.078 13.2439 177.53 223.085
47.2 150.667 20.9676 175.214 215.361
47.3 147.526 32.9975 173.21 203.332
47.4 148.548 48.156 171.69 188.173
47.5 151.857 64.9594 170.832 171.37
47.6 156.469 81.7628 170.815 154.566
47.7 161.849 96.9213 171.777 139.408
47.8 167.687 108.951 173.757 127.378
47.9 173.785 116.675 176.618 119.654
48 180 119.336 180 116.993
48.1 6.21529 116.675 3.38246 119.654
48.2 12.3129 108.951 6.24315 127.378
48.3 18.1511 96.9213 8.22318 139.408
48.4 23.5315 81.7628 9.1848 154.566
48.5 28.1429 64.9594 9.16756 171.37
48.6 31.4515 48.156 8.31044 188.173
48.7 32.4737 32.9975 6.79002 203.332
48.8 29.3329 20.9676 4.7863 215.361
48.9 18.922 13.2439 2.46975 223.085
49 1.12079e-12 10.5825 1.32305e-13 225.746
49.1 161.078 13.2439 177.53 223.085
49.2 150.667 20.9676 175.214 215.361
49.3 147.526 32.9975 173.21 203.332
49.4 148.548 48.156 171.69 188.173
49.5 151.857 64.9594 170.832 171.37
49.6 156.469 81.7628 170.815 154.566
49.7 161.849 96.9213 171.777 139.408
49.8 167.687 108.951 173.757 127.378
