#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 132.049 0 110.28
0.1 6.77865 128.995 3.99126 113.334
0.2 13.4637 120.132 7.32361 122.198
0.3 19.9403 106.326 9.56974 136.003
0.4 26.0431 88.9306 10.5991 153.398
0.5 31.5023 69.6473 10.4974 172.682
0.6 35.8309 50.364 9.45407 191.965
0.7 38.0555 32.9684 7.68536 209.361
0.8 36.0258 19.1631 5.39809 223.166
0.9 24.9673 10.2995 2.77953 232.029
1 1.14305e-14 7.24538 1.09384e-15 235.084
1.1 155.033 10.2995 177.22 232.029
1.2 143.974 19.1631 174.602 223.166
1.3 141.945 32.9684 172.315 209.361
1.4 144.169 50.364 170.546 191.965
1.5 148.498 69.6473 169.503 172.682
1.6 153.957 88.9306 169.401 153.398
1.7 160.06 106.326 170.43 136.003
1.8 166.536 120.132 172.676 122.198
1.9 173.221 128.995 176.009 113.334
2 180 132.049 180 110.28
2.1 6.77865 128.995 3.99126 113.334
2.2 13.4637 120.132 7.32361 122.198
2.3 19.9403 106.326 9.56974 136.003
2.4 26.0431 88.9306 10.5991 153.398
2.5 31.5023 69.6473 10.4974 172.682
2.6 35.8309 50.364 9.45407 191.965
2.7 38.0555 32.9684 7.68536 209.361
2.8 36.0258 19.1631 5.39809 223.166
2.9 24.9673 10.2995 2.77953 232.029
3 3.42914e-14 7.24538 3.28153e-15 235.084
3.1 155.033 10.2995 177.22 232.029
3.2 143.974 19.1631 174.602 223.166
3.3 141.945 32.9684 172.315 209.361
3.4 144.169 50.364 170.546 191.965
3.5 148.498 69.6473 169.503 172.682
3.6 153.957 88.9306 169.401 153.398
3.7 160.06 106.326 170.43 136.003
3.8 166.536 120.132 172.676 122.198
3.9 173.221 128.995 176.009 113.334
4 180 132.049 180 110.28
4.1 6.77865 128.995 3.99126 113.334
4.2 13.4637 120.132 7.32361 122.198
4.3 19.9403 106.326 9.56974 136.003
4.4 26.0431 88.9306 10.5991 153.398
4.5 31.5023 69.6473 10.4974 172.682
4.6 35.8309 50.364 9.45407 191.965
4.7 38.0555 32.9684 7.68536 209.361
4.8 36.0258 19.1631 5.39809 223.166
4.9 24.9673 10.2995 2.77953 232.029
5 5.71524e-14 7.24538 5.46922e-15 235.084
5.1 155.033 10.2995 177.22 232.029
5.2 143.974 19.1631 174.602 223.166
5.3 141.945 32.9684 172.315 209.361
5.4 144.169 50.364 170.546 191.965
5.5 148.498 69.6473 169.503 172.682
5.6 153.957 88.9306 169.401 153.398
5.7 160.06 106.326 170.43 136.003
5.8 166.536 120.132 172.676 122.198
5.9 173.221 128.995 176.009 113.334
6 180 132.049 180 110.28
6.1 6.77865 128.995 3.99126 113.334
6.2 13.4637 120.132 7.32361 122.198
6.3 19.9403 106.326 9.56974 136.003
6.4 26.0431 88.9306 10.5991 153.398
6.5 31.5023 69.6473 10.4974 172.682
6.6 35.8309 50.364 9.45407 191.965
6.7 38.0555 32.9684 7.68536 209.361
6.8 36.0258 19.1631 5.39809 223.166
6.9 24.9673 10.2995 2.77953 232.029
7 8.00134e-14 7.24538 7.65691e-15 235.084
7.1 155.033 10.2995 177.22 232.029
7.2 143.974 19.1631 174.602 223.166
7.3 141.945 32.9684 172.315 209.361
7.4 144.169 50.364 170.546 191.965
7.5 148.498 69.6473 169.503 172.682
7.6 153.957 88.9306 169.401 153.398
7.7 160.06 106.326 170.43 136.003
7.8 166.536 120.132 172.676 122.198
7.9 173.221 128.995 176.009 113.334
8 180 132.049 180 110.28
8.1 6.77865 128.995 3.99126 113.334
8.2 13.4637 120.132 7.32361 122.198
8.3 19.9403 106.326 9.56974 136.003
