#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 144.603 0 130.397
0.1 8.83408 141.064 3.92232 133.936
0.2 17.684 130.794 7.20168 144.206
0.3 26.5641 114.799 9.41839 160.201
0.4 35.4863 94.6436 10.4407 180.356
0.5 44.4582 72.3013 10.3487 202.699
0.6 53.4833 49.959 9.3263 225.041
0.7 62.5593 29.8037 7.58532 245.196
0.8 71.6791 13.8083 5.32969 261.192
0.9 80.8311 3.53868 2.74488 271.461
1 0.611006 0 1.08028e-15 275
1.1 99.1689 3.53868 177.255 271.461
1.2 108.321 13.8083 174.67 261.192
1.3 117.441 29.8037 172.415 245.196
1.4 126.517 49.959 170.674 225.041
1.5 135.542 72.3013 169.651 202.699
1.6 144.514 94.6436 169.559 180.356
1.7 153.436 114.799 170.582 160.201
1.8 162.316 130.794 172.798 144.206
1.9 171.166 141.064 176.078 133.936
2 180 144.603 180 130.397
2.1 8.83408 141.064 3.92232 133.936
2.2 17.684 130.794 7.20168 144.206
2.3 26.5641 114.799 9.41839 160.201
2.4 35.4863 94.6436 10.4407 180.356
2.5 44.4582 72.3013 10.3487 202.699
2.6 53.4833 49.959 9.3263 225.041
2.7 62.5593 29.8037 7.58532 245.196
2.8 71.6791 13.8083 5.32969 261.192
2.9 80.8311 3.53868 2.74488 271.461
3 1.83246 0 3.24084e-15 275
3.1 99.1689 3.53868 177.255 271.461
3.2 108.321 13.8083 174.67 261.192
3.3 117.441 29.8037 172.415 245.196
3.4 126.517 49.959 170.674 225.041
3.5 135.542 72.3013 169.651 202.699
3.6 144.514 94.6436 169.559 180.356
3.7 153.436 114.799 170.582 160.201
3.8 162.316 130.794 172.798 144.206
3.9 171.166 141.064 176.078 133.936
4 180 144.603 180 130.397
4.1 8.83408 141.064 3.92232 133.936
4.2 17.684 130.794 7.20168 144.206
4.3 26.5641 114.799 9.41839 160.201
4.4 35.4863 94.6436 10.4407 180.356
4.5 44.4582 72.3013 10.3487 202.699
4.6 53.4833 49.959 9.3263 225.041
4.7 62.5593 29.8037 7.58532 245.196
4.8 71.6791 13.8083 5.32969 261.192
4.9 80.8311 3.53868 2.74488 271.461
5 3.05225 0 5.40141e-15 275
5.1 99.1689 3.53868 177.255 271.461
5.2 108.321 13.8083 174.67 261.192
5.3 117.441 29.8037 172.415 245.196
5.4 126.517 49.959 170.674 225.041
5.5 135.542 72.3013 169.651 202.699
5.6 144.514 94.6436 169.559 180.356
5.7 153.436 114.799 170.582 160.201
5.8 162.316 130.794 172.798 144.206
5.9 171.166 141.064 176.078 133.936
6 180 144.603 180 130.397
6.1 8.83408 141.064 3.92232 133.936
6.2 17.684 130.794 7.20168 144.206
6.3 26.5641 114.799 9.41839 160.201
6.4 35.4863 94.6436 10.4407 180.356
6.5 44.4582 72.3013 10.3487 202.699
6.6 53.4833 49.959 9.3263 225.041
6.7 62.5593 29.8037 7.58532 245.196
6.8 71.6791 13.8083 5.32969 261.192
6.9 80.8311 3.53868 2.74488 271.461
7 4.26928 0 7.56197e-15 275
7.1 99.1689 3.53868 177.255 271.461
7.2 108.321 13.8083 174.67 261.192
7.3 117.441 29.8037 172.415 245.196
7.4 126.517 49.959 170.674 225.041
7.5 135.542 72.3013 169.651 202.699
7.6 144.514 94.6436 169.559 180.356
7.7 153.436 114.799 170.582 160.201
7.8 162.316 130.794 172.798 144.206
7.9 171.166 141.064 176.078 133.936
8 180 144.603 180 130.397
8.1 8.83408 141.064 3.92232 133.936
8.2 17.684 130.794 7.20168 144.206
8.3 26.5641 114.799 9.41839 160.201
8.4 35.4863 94.6436 10.4407 180.356
8.5 44.4582 72.3013 10.3487 202.699
8.6 53.4833 49.959 9.3263 225.041
8.7 62.5593 29.8037 7.58532 245.196
8.8 71.6791 13.8083 5.32969 261.192
8.9 80.8311 3.53868 2.74488 271.461
9 5.48247 0 9.72253e-15 275
9.1 99.1689 3.53868 177.255 271.461
9.2 108.321 13.8083 174.67 261.192
9.3 117.441 29.8037 172.415 245.196
9.4 126.517 49.959 170.674 225.041
9.5 135.542 72.3013 169.651 202.699
9.6 144.514 94.6436 169.559 180.356
9.7 153.436 114.799 170.582 160.201
9.8 162.316 130.794 172.798 144.206
