#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 105.572 0 152.376
0.1 10.5446 103.087 2.53514 154.86
0.2 21.1984 95.8762 4.71666 162.071
0.3 32.0868 84.6451 6.28198 173.302
0.4 43.3748 70.4931 7.10241 187.454
0.5 55.3141 54.8054 7.17164 203.142
0.6 68.3486 39.1177 6.56655 218.83
0.7 83.3868 24.9656 5.40803 232.982
0.8 102.6 13.7345 3.83396 244.213
0.9 131.766 6.52368 1.98512 251.424
1 180 4.03899 7.82652e-16 253.908
1.1 48.2344 6.52368 178.015 251.424
1.2 77.4001 13.7345 176.166 244.213
1.3 96.6132 24.9656 174.592 232.982
1.4 111.651 39.1177 173.433 218.83
1.5 124.686 54.8054 172.828 203.142
1.6 136.625 70.4931 172.898 187.454
1.7 147.913 84.6451 173.718 173.302
1.8 158.802 95.8762 175.283 162.071
1.9 169.455 103.087 177.465 154.86
2 180 105.572 180 152.376
2.1 10.5446 103.087 2.53514 154.86
2.2 21.1984 95.8762 4.71666 162.071
2.3 32.0868 84.6451 6.28198 173.302
2.4 43.3748 70.4931 7.10241 187.454
2.5 55.3141 54.8054 7.17164 203.142
2.6 68.3486 39.1177 6.56655 218.83
2.7 83.3868 24.9656 5.40803 232.982
2.8 102.6 13.7345 3.83396 244.213
2.9 131.766 6.52368 1.98512 251.424
3 180 4.03899 2.34796e-15 253.908
3.1 48.2344 6.52368 178.015 251.424
3.2 77.4001 13.7345 176.166 244.213
3.3 96.6132 24.9656 174.592 232.982
3.4 111.651 39.1177 173.433 218.83
3.5 124.686 54.8054 172.828 203.142
3.6 136.625 70.4931 172.898 187.454
3.7 147.913 84.6451 173.718 173.302
3.8 158.802 95.8762 175.283 162.071
3.9 169.455 103.087 177.465 154.86
4 180 105.572 180 152.376
4.1 10.5446 103.087 2.53514 154.86
4.2 21.1984 95.8762 4.71666 162.071
4.3 32.0868 84.6451 6.28198 173.302
4.4 43.3748 70.4931 7.10241 187.454
4.5 55.3141 54.8054 7.17164 203.142
4.6 68.3486 39.1177 6.56655 218.83
4.7 83.3868 24.9656 5.40803 232.982
4.8 102.6 13.7345 3.83396 244.213
4.9 131.766 6.52368 1.98512 251.424
5 180 4.03899 3.91326e-15 253.908
5.1 48.2344 6.52368 178.015 251.424
5.2 77.4001 13.7345 176.166 244.213
5.3 96.6132 24.9656 174.592 232.982
5.4 111.651 39.1177 173.433 218.83
5.5 124.686 54.8054 172.828 203.142
5.6 136.625 70.4931 172.898 187.454
5.7 147.913 84.6451 173.718 173.302
5.8 158.802 95.8762 175.283 162.071
5.9 169.455 103.087 177.465 154.86
6 180 105.572 180 152.376
6.1 10.5446 103.087 2.53514 154.86
6.2 21.1984 95.8762 4.71666 162.071
6.3 32.0868 84.6451 6.28198 173.302
6.4 43.3748 70.4931 7.10241 187.454
6.5 55.3141 54.8054 7.17164 203.142
6.6 68.3486 39.1177 6.56655 218.83
6.7 83.3868 24.9656 5.40803 232.982
6.8 102.6 13.7345 3.83396 244.213
6.9 131.766 6.52368 1.98512 251.424
7 180 4.03899 5.47856e-15 253.908
7.1 48.2344 6.52368 178.015 251.424
7.2 77.4001 13.7345 176.166 244.213
7.3 96.6132 24.9656 174.592 232.982
7.4 111.651 39.1177 173.433 218.83
7.5 124.686 54.8054 172.828 203.142
7.6 136.625 70.4931 172.898 187.454
7.7 147.913 84.6451 173.718 173.302
7.8 158.802 95.8762 175.283 162.071
7.9 169.455 103.087 177.465 154.86
8 180 105.572 180 152.376
8.1 10.5446 103.087 2.53514 154.86
8.2 21.1984 95.8762 4.71666 162.071
8.3 32.0868 84.6451 6.28198 173.302
8.4 43.3748 70.4931 7.10241 187.454
8.5 55.3141 54.8054 7.17164 203.142
8.6 68.3486 39.1177 6.56655 218.83
8.7 83.3868 24.9656 5.40803 232.982
8.8 102.6 13.7345 3.83396 244.213
8.9 131.766 6.52368 1.98512 251.424
9 180 4.03899 7.04387e-15 253.908
9.1 48.2344 6.52368 178.015 251.424
9.2 77.4001 13.7345 176.166 244.213
9.3 96.6132 24.9656 174.592 232.982
9.4 111.651 39.1177 173.433 218.83
9.5 124.686 54.8054 172.828 203.142
9.6 136.625 70.4931 172.898 187.454
9.7 147.913 84.6451 173.718 173.302
9.8 158.802 95.8762 175.283 162.071
9.9 169.455 103.087 177.465 154.86
10 180 105.572 180 152.376
10.1 10.5446 103.087 2.53514 154.86
10.2 21.1984 95.8762 4.71666 162.071
10.3 32.0868 84.6451 6.28198 173.302
10.4 43.3748 70.4931 7.10241 187.454
10.5 55.3141 54.8054 7.17164 203.142
10.6 68.3486 39.1177 6.56655 218.83
10.7 83.3868 24.9656 5.40803 232.982
10.8 102.6 13.7345 3.83396 244.213
10.9 131.766 6.52368 1.98512 251.424
11 180 4.03899 3.1314e-14 253.908
11.1 48.2344 6.52368 178.015 251.424
11.2 77.4001 13.7345 176.166 244.213
11.3 96.6132 24.9656 174.592 232.982
11.4 111.651 39.1177 173.433 218.83
11.5 124.686 54.8054 172.828 203.142
11.6 136.625 70.4931 172.898 187.454
11.7 147.913 84.6451 173.718 173.302
11.8 158.802 95.8762 175.283 162.071
11.9 169.455 103.087 177.465 154.86
12 180 105.572 180 152.376
12.1 10.5446 103.087 2.53514 154.86
12.2 21.1984 95.8762 4.71666 162.071
12.3 32.0868 84.6451 6.28198 173.302
12.4 43.3748 70.4931 7.10241 187.454
12.5 55.3141 54.8054 7.17164 203.142
12.6 68.3486 39.1177 6.56655 218.83
12.7 83.3868 24.9656 5.40803 232.982
12.8 102.6 13.7345 3.83396 244.213
12.9 131.766 6.52368 1.98512 251.424
13 3.69482e-13 4.03899 180 253.908
13.1 48.2344 6.52368 178.015 251.424
13.2 77.4001 13.7345 176.166 244.213
13.3 96.6132 24.9656 174.592 232.982
13.4 111.651 39.1177 173.433 218.83
13.5 124.686 54.8054 172.828 203.142
13.6 136.625 70.4931 172.898 187.454
13.7 147.913 84.6451 173.718 173.302
13.8 158.802 95.8762 175.283 162.071
13.9 169.455 103.087 177.465 154.86
14 180 105.572 180 152.376
14.1 10.5446 103.087 2.53514 154.86
14.2 21.1984 95.8762 4.71666 162.071
14.3 32.0868 84.6451 6.28198 173.302
14.4 43.3748 70.4931 7.10241 187.454
14.5 55.3141 54.8054 7.17164 203.142
14.6 68.3486 39.1177 6.56655 218.83
14.7 83.3868 24.9656 5.40803 232.982
14.8 102.6 13.7345 3.83396 244.213
14.9 131.766 6.52368 1.98512 251.424
15 180 4.03899 3.44446e-14 253.908
15.1 48.2344 6.52368 178.015 251.424
15.2 77.4001 13.7345 176.166 244.213
15.3 96.6132 24.9656 174.592 232.982
15.4 111.651 39.1177 173.433 218.83
15.5 124.686 54.8054 172.828 203.142
15.6 136.625 70.4931 172.898 187.454
15.7 147.913 84.6451 173.718 173.302
15.8 158.802 95.8762 175.283 162.071
15.9 169.455 103.087 177.465 154.86
16 180 105.572 180 152.376
16.1 10.5446 103.087 2.53514 154.86
16.2 21.1984 95.8762 4.71666 162.071
16.3 32.0868 84.6451 6.28198 173.302
16.4 43.3748 70.4931 7.10241 187.454
16.5 55.3141 54.8054 7.17164 203.142
16.6 68.3486 39.1177 6.56655 218.83
16.7 83.3868 24.9656 5.40803 232.982
16.8 102.6 13.7345 3.83396 244.213
16.9 131.766 6.52368 1.98512 251.424
17 2.55795e-13 4.03899 180 253.908
17.1 48.2344 6.52368 178.015 251.424
17.2 77.4001 13.7345 176.166 244.213
