 Event ID : 546
7 -11 334 222 442.25
5 -33 342 226 670.65
5 -35 342 226 400.85
3 -35 342 226 894.75
17 -31 344 227 307.1
5 -15 344 227 587.95
11 -33 346 228 1330.55
5 -11 346 228 208.3
13 -33 348 229 779.5
7 -33 348 229 217.65
15 -31 350 230 646.2
9 -31 350 230 1203.05
9 -33 350 230 1392.4
5 -13 350 230 304.5
11 -31 352 231 1444.6
11 -29 352 231 1399.8
3 -25 352 231 154
13 -31 352 231 1167.8
17 -29 352 231 392.35
11 -19 352 231 241.1
15 -29 352 231 989.95
9 -29 354 232 871.25
13 -29 354 232 1410.65
11 -27 356 233 1216.05
11 -25 358 234 918.1
13 -27 358 234 1544.7
9 -27 358 234 596.85
21 -21 360 235 142.5
17 -27 360 235 713.55
13 -23 360 235 1178.15
13 -21 362 236 826.25
15 -27 362 236 1354.1
21 -25 362 236 165.3
15 -25 362 236 1603.65
15 -21 364 237 1427.4
17 -23 364 237 1561.4
15 -23 364 237 1649.15
11 -23 364 237 497.15
17 -25 364 237 1097.45
19 -25 364 237 541.75
13 -25 364 237 1495.7
9 -25 364 237 330.05
11 -21 364 237 291.35
-19 13 366 238 306.45
19 -27 366 238 264.3
-27 9 368 239 776.2
21 -23 368 239 387.65
17 -21 368 239 1770.85
19 -23 370 240 958.25
19 -21 370 240 1384.75
15 -17 370 240 692.05
-31 17 370 240 86.9
13 -13 372 241 371.55
-29 17 372 241 1311.9
17 -19 372 241 1704.7
13 -17 372 241 198.2
15 -19 372 241 1062.65
-31 9 374 242 1528.85
13 -19 374 242 473.95
17 -17 374 242 1782.35
-33 9 376 243 1933.75
-25 17 376 243 180.55
-25 9 376 243 210.85
-27 15 376 243 2070.7
-17 9 378 244 430.45
-29 9 378 244 1853.4
-19 9 378 244 604.2
-25 11 378 244 1059.85
-19 11 380 245 186.3
-31 13 380 245 1691.85
-15 13 380 245 965.5
-27 13 380 245 2228.95
-23 21 380 245 1498.55
-31 15 382 246 659.35
-11 9 382 246 1089.2
-23 19 382 246 584.9
-31 3 382 246 134.85
-27 21 382 246 2300.1
-21 9 384 247 113.85
-23 9 386 248 2555.7
-21 5 386 248 523.95
-13 9 386 248 863.5
-27 11 386 248 2645.5
-29 11 386 248 349.2
-29 15 386 248 2004.6
-29 19 386 248 104.4
-21 15 386 248 630.85
-17 15 388 249 2144.8
-21 7 388 249 1034.1
-25 1 388 249 300.85
-25 23 388 249 1454.95
-25 19 388 249 2661.85
-25 3 388 249 927.75
-25 7 388 249 2539
-19 5 388 249 162.1
-27 7 390 250 1960.4
-27 23 390 250 198.3
-23 5 390 250 1286.6
-23 11 390 250 1146.05
-19 19 390 250 191.85
-27 17 390 250 1563.1
-19 17 392 251 276.9
-23 7 392 251 2066.2
-23 23 392 251 1704.1
-19 7 392 251 312.8
-23 1 392 251 200.1
-23 3 392 251 606
-25 5 392 251 1840.5
-29 5 392 251 758.9
-21 3 394 252 229.35
-31 7 394 252 245.7
-27 3 394 252 860
-27 5 394 252 1597.35
-27 1 396 253 295.7
-29 7 396 253 1167.2
-17 11 396 253 358.8
-21 17 396 253 694.3
-31 5 398 254 235.9
-29 1 400 255 146.15
20 -34 424 267 3689.2
