 Event ID : 0
-31.9983 38.4722 172.32 244 457.1
-31.9983 38.4722 284.96 332 30.1
-31.9983 38.4722 315.68 356 27.1
-31.9983 38.4722 340 375 26.1
-31.9983 38.4722 356.64 388 27.1
-25.2283 38.4722 172.32 244 1263.15
-25.2283 38.4722 210.72 274 130.15
-25.2283 38.4722 301.6 345 104.15
-25.2283 38.4722 261.92 314 104.15
-25.2283 38.4722 283.68 331 105.15
-25.2283 38.4722 333.6 370 100.15
-25.2283 38.4722 425.76 442 85.15
-25.2283 38.4722 453.92 464 78.15
-25.2283 38.4722 471.84 478 75.15
-18.4582 38.4714 185.12 254 390.45
-18.4582 38.4714 245.28 301 39.45
-18.4582 38.4714 286.24 333 34.45
-9.29607 -1.63149 287.52 334 146.45
-9.29607 -1.63149 465.44 473 41.45
-8.40156 2.52569 270.88 321 684.6
-8.40156 2.52569 462.88 471 83.6
-8.40156 2.52569 487.2 490 84.6
-11.6886 4.62195 258.08 311 556.35
-15.1251 36.3521 191.52 259 335.75
-15.1251 36.3521 316.96 357 22.75
-15.1251 36.3521 356.64 388 23.75
-15.1251 36.3521 282.4 330 24.75
-21.9413 36.3759 174.88 246 1396.5
-21.9413 36.3759 212 275 133.5
-21.9413 36.3759 255.52 309 108.5
-21.9413 36.3759 273.44 323 109.5
-21.9413 36.3759 293.92 339 111.5
-21.9413 36.3759 329.76 367 104.5
-21.9413 36.3759 352.8 385 105.5
-21.9413 36.3759 380.96 407 101.5
-21.9413 36.3759 397.6 420 102.5
-21.9413 36.3759 436 450 95.5
-21.9413 36.3759 478.24 483 86.5
-21.9413 36.3759 503.84 503 87.5
-76.1014 22.8358 191.52 259 124.55
-28.7113 36.3759 176.16 247 986.4
-28.7113 36.3759 217.12 279 111.4
-28.7113 36.3759 276 325 91.4
-25.2283 45.2421 168.48 241 306.3
-25.2283 45.2421 310.56 352 31.3
-25.2283 45.2421 288.8 335 23.3
-25.2283 45.2421 273.44 323 24.3
-25.2283 45.2421 250.4 305 25.3
-25.2283 45.2421 331.04 368 22.3
-25.2283 45.2421 360.48 391 23.3
-25.2283 45.2421 380.96 407 21.3
-4.62234 -4.91846 352.8 385 238.05
-4.62234 -4.91846 327.2 365 232.05
-4.62234 -4.91846 433.44 448 220.05
-4.62234 -4.91846 462.88 471 210.05
-4.62234 -4.91846 190.24 258 31.05
-4.62234 -4.91846 165.92 239 26.05
-4.62234 -4.91846 135.2 215 24.05
-4.62234 -4.91846 108.32 194 21.05
-2.52609 -1.63149 270.88 321 53.1
-96.4112 9.29579 470.56 477 178.65
-96.4112 9.29579 407.84 428 175.65
-96.4112 9.29579 436 450 172.65
-96.4112 9.29579 379.68 406 166.65
