 Event ID : 0
4.91818 -4.62236 127.52 209 313.1
4.91818 -4.62236 153.12 229 283.1
-2.52609 -8.40151 133.92 214 64.3
-4.62234 -11.6886 136.48 216 43.6
-1.63158 9.29564 151.84 228 84.55
-1.63158 9.29564 118.56 202 57.55
-1.63158 2.52569 155.68 231 201.05
-1.63158 2.52569 128.8 210 186.05
15.1708 -2.52565 146.72 224 70.1
15.1708 -2.52565 110.88 196 43.1
8.40115 -2.52611 135.2 215 309.1
4.62193 4.91812 127.52 209 368.8
9.29566 1.63107 142.88 221 305.7
11.3919 11.6881 150.56 227 56.7
11.3919 4.91812 144.16 222 173
11.3919 4.91812 123.68 206 137
8.40115 -9.29613 131.36 212 79.4
8.40115 -9.29613 110.88 196 52.4
2.52568 1.63107 124.96 207 429.45
4.62193 11.6881 142.88 221 102.35
16.0657 1.63107 148 225 72.1
2.52568 8.40101 141.6 220 152.05
-4.91859 4.62195 128.8 210 108.5
-4.91859 4.62195 146.72 224 108.5
9.29566 8.40101 136.48 216 107.7
18.1619 4.91812 144.16 222 56.45
-4.62234 -4.91846 151.84 228 70.15
-4.62234 -4.91846 107.04 193 49.15
4.91818 -11.3924 154.4 230 43.4
4.91818 -11.3924 128.8 210 41.4
1.63117 -9.29613 153.12 229 71.9
1.63117 -9.29613 123.68 206 75.9
11.6882 -4.62236 137.76 217 157.65
-2.52609 -1.63149 119.84 203 176.85
-2.52609 -1.63149 151.84 228 159.85
1.63117 -2.52611 156.96 232 355.85
1.63117 -2.52611 121.12 204 338.85
