 Event ID : 0
4.91818 -4.62236 141.6 220 275.1
4.91818 -4.62236 116 200 252.1
-1.63158 9.29564 139.04 218 88.1
-1.63158 2.52569 135.2 215 159
-1.63158 2.52569 150.56 227 164
-4.91859 4.62195 144.16 222 73.2
4.62193 4.91812 131.36 212 412.3
8.40115 -2.52611 104.48 191 310.25
8.40115 -2.52611 132.64 213 255.25
9.29566 1.63107 119.84 203 426.7
9.29566 1.63107 146.72 224 303.7
11.3919 11.6881 109.6 195 76.95
11.3919 11.6881 141.6 220 54.95
11.6882 -11.3924 105.76 192 50.55
11.6882 -11.3924 131.36 212 42.55
-4.91859 11.3919 150.56 227 58
11.3919 4.91812 107.04 193 230.75
11.3919 4.91812 142.88 221 187.75
8.40115 -9.29613 103.2 190 103.25
8.40115 -9.29613 130.08 211 63.25
2.52568 1.63107 131.36 212 397.7
4.62193 11.6881 121.12 204 100.4
4.62193 11.6881 141.6 220 79.4
2.52568 8.40101 146.72 224 183.6
22.8357 1.63107 108.32 194 50.65
15.1708 -2.52565 99.36 187 99.6
15.1708 -2.52565 141.6 220 42.6
18.4578 -4.62183 99.36 187 54.9
15.1708 -9.29567 136.48 216 41.1
9.29566 8.40101 140.32 219 167.45
9.29566 8.40101 109.6 195 120.45
16.0657 8.40101 105.76 192 67.95
-4.62234 -4.91846 151.84 228 64.55
-4.62234 -4.91846 128.8 210 58.55
4.91818 -11.3924 124.96 207 68.4
4.91818 -11.3924 110.88 196 60.4
4.91818 -11.3924 151.84 228 55.4
1.63117 -9.29613 119.84 203 93.95
1.63117 -9.29613 151.84 228 66.95
16.0657 1.63107 110.88 196 159.4
18.1619 4.91812 104.48 191 63.05
18.1619 4.91812 124.96 207 44.05
-2.52609 -1.63149 144.16 222 142.5
1.63117 -2.52611 118.56 202 380.05
1.63117 -2.52611 141.6 220 360.05
11.6882 -4.62236 101.92 189 218.15
11.6882 -4.62236 124.96 207 139.15
