 Event ID : 989
-26.9953 18.4534 -119.36 25 162.9
-24.5412 22.704 -110.912 27 66.95
206.146 -62.3768 104.512 78 67.2
-245.412 -62.3768 218.56 105 67.2
-4.90824 -104.816 235.456 109 497
12.2706 -109.066 243.904 111 146.25
12.2706 -111.968 243.904 111 136.7
7.36235 -103.467 243.904 111 78.05
4.90823 -104.816 243.904 111 400.95
2.45411 -94.9652 243.904 111 369
-5.72205e-06 -99.2159 243.904 111 2510.8
-2.45412 -103.467 248.128 112 1584.05
2.45411 -103.467 248.128 112 1137.1
-5.72205e-06 -104.816 248.128 112 1437.75
-5.72205e-06 -107.717 248.128 112 482.1
9.81646 -104.816 248.128 112 82.6
4.90823 -107.717 248.128 112 219.5
2.45411 -100.565 252.352 113 1536.4
-2.45412 -109.066 252.352 113 689.05
4.90823 -96.3143 252.352 113 640.85
-2.45412 -100.565 252.352 113 2598
4.90823 -99.2159 252.352 113 1175
-4.90824 -96.3143 256.576 114 2798.8
-12.2706 -109.066 256.576 114 385.65
-12.2706 -100.565 256.576 114 663.8
-9.81647 -107.717 256.576 114 160.6
-4.90824 -99.2159 256.576 114 1927.8
-2.45412 -94.9652 256.576 114 1975.9
-7.36236 -100.565 256.576 114 2341.4
-4.90823 -138.889 256.576 114 84.8
-9.81647 -96.3143 260.8 115 2874.5
2.45411 -92.0637 260.8 115 649.1
-9.81647 -90.7145 260.8 115 2808.55
4.90823 -90.7145 260.8 115 115.15
-7.36236 -94.9652 260.8 115 2804.65
7.36235 -134.57 260.8 115 278.55
-9.81647 -99.2159 260.8 115 1899.7
-12.2706 -103.467 260.8 115 129.55
-2.45413 -92.0637 260.8 115 879.75
-14.7247 -99.2159 260.8 115 356.7
-9.81647 -141.858 265.024 116 94.25
-14.7247 -96.3143 265.024 116 887.45
-19.6329 -121.818 265.024 116 74.5
-4.90824 -90.7145 265.024 116 1006.45
-12.2706 -94.9652 265.024 116 1907.6
-4.90824 -70.8104 265.024 116 80.4
-7.62939e-06 -90.7145 265.024 116 647.15
-9.81647 -104.816 265.024 116 365.5
-7.36236 -103.467 265.024 116 920.1
-19.6329 -104.816 265.024 116 115.45
-7.62939e-06 -87.813 269.248 117 298.25
-14.7247 -90.7145 269.248 117 2484.3
-4.90824 -87.813 269.248 117 530.35
-12.2706 -92.0637 269.248 117 2514.1
-17.1788 -94.9652 269.248 117 950.05
-17.1788 -100.565 269.248 117 98.75
-2.45412 -86.4639 269.248 117 183.6
-17.1788 -103.467 269.248 117 188.4
-12.2706 -86.4639 269.248 117 2770.05
26.9953 49.5571 273.472 118 137.9
-19.6329 -124.72 273.472 118 106.1
-4.90824 -73.7119 273.472 118 139.45
-7.36236 -92.0637 273.472 118 1879.35
-7.36236 -83.5624 273.472 118 653.1
-12.2706 -134.57 273.472 118 80.2
-22.0871 -92.0637 273.472 118 376.15
-14.7247 -87.813 273.472 118 2214.35
-4.90824 -79.3117 273.472 118 97.7
-17.1788 -109.066 273.472 118 100.55
-17.1788 -92.0637 273.472 118 1451
-9.81647 -87.813 273.472 118 2499
2.45411 -109.066 273.472 118 210.9
-22.0871 -94.9652 273.472 118 166.25
-24.5412 -90.7145 273.472 118 323.1
-12.2706 -83.5624 277.696 119 2608.9
-19.6329 -90.7145 277.696 119 1136.55
-9.81648 -82.2132 277.696 119 1065.85
-19.6329 -99.2159 277.696 119 227.45
-7.36236 -86.4639 277.696 119 1622.6
-24.5412 -87.813 277.696 119 684.6
-17.1788 -83.5624 277.696 119 2983.75
41.72 41.0558 277.696 119 136.45
-7.36235 -126.069 277.696 119 88.95
-19.6329 -87.813 277.696 119 1374.65
-19.6329 -96.3143 277.696 119 279.95
-24.5412 -82.2132 281.92 120 1363.3
29.4494 53.8078 281.92 120 359.9
-26.9953 -120.469 281.92 120 111.15
-14.7247 -82.2132 281.92 120 2234.1
-4.90823 -189.897 281.92 120 75.7
-26.9953 -117.568 281.92 120 130
-12.2706 -75.0611 281.92 120 455.85
-9.81647 -192.866 281.92 120 81.05
-14.7247 -79.3117 281.92 120 2357.7
31.9035 49.5571 281.92 120 390.25
-22.0871 -83.5624 281.92 120 2436.65
53.9906 53.8078 281.92 120 86.75
31.9035 52.4586 281.92 120 349
-24.5412 -113.317 286.144 121 101.8
34.3577 45.3065 286.144 121 905.2
-22.0871 -120.469 286.144 121 119.7
-17.1788 -77.9626 286.144 121 2568.3
29.4494 45.3065 286.144 121 1668.95
-26.9953 -92.0637 286.144 121 264.35
-19.6329 -79.3117 286.144 121 2931.1
