#16C(p,d)15C(1/2+ 0.000) ELAB= 11.300
#16C(p,d)15C(5/2+ 0.740) ELAB= 11.300
#16C(p,d)15C(1/2- 3.103) ELAB= 11.300
#16C(p,d)15C(5/2- 4.220) ELAB= 11.300
   Angel	  Ex=0.000(1s1/2)KA  Ex=0.740(0d5/2)KA  Ex=3.103(0p1/2)KA  Ex=4.220(0f5/2)KA
   0.000	         302.570000           5.073900          67.617000          28.234000
   1.000	         301.100000           5.069500          67.261000          28.199000
   2.000	         296.710000           5.057100          66.213000          28.093000
   3.000	         289.520000           5.038400          64.525000          27.918000
   4.000	         279.730000           5.016500          62.278000          27.676000
   5.000	         267.600000           4.995400          59.579000          27.368000
   6.000	         253.420000           4.979500          56.546000          26.997000
   7.000	         237.570000           4.973900          53.304000          26.568000
   8.000	         220.420000           4.983400          49.974000          26.084000
   9.000	         202.360000           5.013000          46.663000          25.547000
  10.000	         183.800000           5.066700          43.462000          24.965000
  11.000	         165.100000           5.147900          40.439000          24.342000
  12.000	         146.640000           5.258900          37.638000          23.684000
  13.000	         128.720000           5.400800          35.081000          22.990000
  14.000	         111.630000           5.573400          32.768000          22.280000
  15.000	          95.592000           5.775100          30.685000          21.549000
  16.000	          80.792000           6.003200          28.804000          20.805000
  17.000	          67.355000           6.253700          27.090000          20.055000
  18.000	          55.359000           6.521700          25.503000          19.307000
  19.000	          44.836000           6.801500          24.004000          18.565000
  20.000	          35.778000           7.086700          22.557000          17.835000
  21.000	          28.137000           7.370800          21.128000          17.121000
  22.000	          21.838000           7.647100          19.691000          16.426000
  23.000	          16.782000           7.909100          18.228000          15.757000
  24.000	          12.853000           8.150500          16.728000          15.113000
  25.000	           9.923600           8.365700          15.193000          14.495000
  26.000	           7.861000           8.549900          13.634000          13.906000
  27.000	           6.534000           8.698700          12.074000          13.344000
  28.000	           5.810800           8.809000          10.545000          12.807000
  29.000	           5.568600           8.878600           9.086500          12.295000
  30.000	           5.691600           8.905900           7.743900          11.803000
  31.000	           6.077900           8.890500           6.561500          11.330000
  32.000	           6.635400           8.832700           5.578900          10.871000
  33.000	           7.285200           8.733700           4.825800          10.423000
  34.000	           7.960400           8.595400           4.318100           9.983000
  35.000	           8.605200           8.420100           4.054800           9.547500
  36.000	           9.182500           8.210900           4.017000           9.114000
  37.000	           9.655100           7.971100           4.169100           8.682000
  38.000	          10.003000           7.704600           4.462100           8.248500
  39.000	          10.212000           7.415100           4.838300           7.813900
  40.000	          10.278000           7.106700           5.237000           7.377700
  41.000	          10.201000           6.783500           5.601200           6.943400
  42.000	           9.987800           6.449600           5.882200           6.508900
  43.000	           9.648800           6.108800           6.044500           6.079400
  44.000	           9.198300           5.764800           6.068000           5.656300
  45.000	           8.652800           5.421300           5.948500           5.243100
  46.000	           8.030500           5.081500           5.696100           4.842200
  47.000	           7.350400           4.748300           5.332700           4.456400
  48.000	           6.631600           4.424400           4.887800           4.089100
  49.000	           5.892700           4.112100           4.394300           3.741200
  50.000	           5.151600           3.813400           3.884700           3.415300
  51.000	           4.424600           3.529800           3.388000           3.112300
  52.000	           3.726700           3.262700           2.927100           2.832800
  53.000	           3.070600           3.012900           2.518000           2.577100
  54.000	           2.467400           2.781200           2.169700           2.344800
  55.000	           1.925700           2.567700           1.885200           2.135100
  56.000	           1.452200           2.372600           1.662200           1.946500
  57.000	           1.051300           2.195600           1.495300           1.779400
  58.000	           0.725820           2.036300           1.376900           1.630700
  59.000	           0.476290           1.893900           1.298600           1.499400
  60.000	           0.301780           1.767800           1.252000           1.384100
