Energy CM (MeV)	Angle CM (deg)
0.9857	140.8762
0.9918	139.9093
0.3510	39.3983
0.9424	149.0407
0.8874	166.5484
1.0538	131.3794
0.9126	156.6458
0.8980	161.6857
1.1773	119.1332
0.3684	155.4656
0.9036	159.5739
1.1481	121.6440
2.7586	68.5625
0.9230	153.7040
3.3641	43.7412
3.5178	81.6189
0.0808	81.3781
2344.2350	5.5610
3.9060	151.0304
0.9397	149.6407
60.1275	12.2713
0.1023	86.1049
0.5613	134.9269
23.3257	57.8127
0.3935	153.4343
0.8978	161.7531
0.0350	120.4059
1.0775	128.6448
69.7567	12.8476
0.8853	167.7794
69299.1064	14.1339
2.3143	100.9674
0.1540	67.4603
0.9000	160.9076
17.4445	29.8565
0.9425	149.0010
1.1805	32.5571
0.0927	128.0658
0.9173	155.2601
1.0663	129.9109
0.0654	122.5637
1.5008	99.5748
336.2653	33.6161
0.8882	166.1456
413.3219	83.8415
5.0914	48.9861
0.0660	123.2543
0.9111	157.1042
0.1618	153.7997
11.2463	116.4556
2.5919	71.0538
0.2591	125.8299
0.4662	144.4185
0.9487	147.6812
0.5729	115.1668
0.9294	152.0724
5.6932	147.7245
3.7502	57.7724
0.9272	152.6237
0.8915	164.4742
42.6900	16.4526
15.5293	27.4596
26.9329	18.9900
2.2516	77.1387
6787.0639	5.7315
0.9963	139.1935
8.3605	101.7587
2.1977	77.8841
0.9139	156.2599
1.0938	50.2761
0.9302	151.8583
0.0954	142.6262
1.1487	121.5948
1.4801	81.5626
421.4980	7.8296
0.9614	145.1512
0.9690	143.7460
0.9912	140.0028
5.2826	160.9123
1.5157	58.0289
0.6454	47.7015
72.2685	19.6710
202.9607	32.9464
128.9086	52.6488
0.9173	155.2759
5.7201	46.0501
0.0826	92.2538
2.8641	124.3691
0.1128	161.5289
0.4349	113.5982
0.9189	154.8241
0.9432	148.8604
0.9496	147.5044
351.5715	8.1629
39341.6984	2.9376
0.9499	147.4279
0.9737	142.9196
10.7327	36.8225
4.0680	28.5294
161.8236	8.4122
6.3544	13.6656
0.9707	155.0563
38.0834	83.5443
0.9655	144.4002
0.1743	146.6989
0.1440	136.0617
3.0581	64.0084
2.0992	80.4350
4.7057	51.0928
718.7684	149.8486
64.8811	13.3248
0.9473	147.9793
290.0369	6.2342
0.8925	164.0086
3.8938	167.2090
38218.2580	0.8998
0.0727	160.5981
4.6651	51.3311
1.2519	113.4651
46.0756	144.8894
3.0732	64.5040
0.0421	119.1055
435.3662	10.1602
0.9104	157.3239
4.5534	52.0031
0.9114	157.0116
94.3790	21.7890
0.5730	164.1525
0.1011	139.8750
0.0357	151.3561
1.5554	97.2028
0.9476	147.9189
1.7398	158.8173
0.9494	147.5480
10.7525	53.7733
0.2532	93.7896
0.9582	145.7723
1.2613	112.8190
0.8943	163.2151
0.0676	134.5654
0.9076	158.2260
0.9203	154.4271
1.1879	118.2648
8.1980	152.6390
0.9293	152.0924
0.2975	113.1870
0.8950	162.9042
2.8265	157.3952
0.9397	149.6352
8.2462	60.0024
0.6982	28.3017
0.9396	162.5730
1.0965	126.6126
0.9400	149.5553
0.1475	128.0483
111.4112	55.7948
1.0730	129.1540
68.2591	12.9887
1.1667	120.0245
1.1510	121.3841
233.2858	4.0458
0.1379	147.8516
0.9502	147.3797
0.9716	143.2820
1.0350	133.7272
5528.6087	8.0736
1.0127	136.7606
1.0165	136.2198
6160.9550	23.3624
0.9320	151.4146
2.1314	108.6139
0.0576	124.1905
263.2998	7.3240
1.6927	91.9558
0.9095	157.6022
3200.9605	16.2946
0.7000	150.4184
0.2381	46.5172
4.9298	50.4767
47.8385	15.5349
1.1316	89.1528
0.9674	144.0493
0.9045	159.2843
15.1444	157.0791
0.0960	147.6472
39.6381	13.9193
0.9232	153.6548
14.5274	145.2770
0.8978	161.7498
10.1551	35.8410
950.9675	15.7361
1.2476	113.7727
0.8437	136.6128
1377.2864	35.7548
1.8637	142.6023
1.6578	139.2385
0.8985	161.4981
0.9237	153.5229
1.0862	127.6963
35.6143	152.0321
2.7423	139.2256
0.2507	89.7681
1.1057	125.6732
4.2203	123.7711
3402.6323	1.1958
0.9325	151.2949
6.4242	41.4095
1.1247	121.7454
0.0617	117.4198
0.9268	152.7253
0.9620	145.0546
476.7979	36.5218
2.5188	68.1036
0.1252	122.9773
0.9521	146.9909
2.3326	105.3940
0.3130	127.7699
53.9340	45.8905
0.0326	125.1441
0.9385	149.8942
1.1459	121.8389
0.9145	156.0942
496.4739	172.0305
1.4263	103.1345
3.0998	73.4177
465.8776	132.3815
6888.4068	31.0572
1.0428	132.7334
1.4071	138.5208
1.7250	90.8429
2.4465	73.4690
0.5263	144.8287
3.7546	131.2069
0.9983	138.8960
0.1519	142.9098
3.8939	32.0327
1.7149	71.9570
1.0668	155.2267
2.2142	77.9079
333.9627	168.9980
0.0533	153.3130
0.0296	146.7793
0.9766	142.4113
15.0024	140.6872
2.5991	157.5725
0.4082	113.0967
1.3117	109.5401
2.6352	70.3809
1.4997	99.6266
0.6776	165.3865
27.3459	20.6022
5.0993	53.7808
13.6988	29.2761
1.0416	132.8868
1.4177	103.5742
0.0877	144.2440
11108.0481	28.6913
1.6654	92.9248
0.9720	143.2174
0.9212	154.1971
141.7513	164.2830
1.1668	53.1992
1.1668	53.1992
7.9629	48.9638
3.6271	128.0319
0.9194	154.6752
0.9121	156.8140
2017.5320	13.9263
0.9465	148.1506
1.1724	119.5435
2.1137	52.3683
1.5880	95.8694
2.4837	59.4519
1.4107	126.8897
0.1857	157.4909
1.4132	103.8072
32.3577	130.2321
0.9022	160.0723
0.9022	160.0723
472.8191	146.6119
4321.9202	15.6241
1.0935	126.9284
0.6609	69.4185
6187.9136	61.8319
1.1674	102.5926
5.1027	78.6779
463.5410	42.8100
1.4325	102.8257
0.8906	164.8940
0.9127	156.6099
69.2658	142.9944
62.3607	24.8282
1.2518	72.2400
0.4629	166.6844
1.2474	113.7855
809.7765	150.9853
809.7765	150.9853
0.0579	135.8316
6052.6319	95.1266
0.8982	161.5945
11.5222	164.9274
1.0159	136.3035
371.9308	5.3674
0.8908	164.7988
0.1846	140.9689
49.4128	150.1371
2.4923	72.6810
0.8419	136.1180
0.9110	157.1329
16.3684	83.8205
10.5462	33.4805
0.9457	148.3089
0.9034	159.6554
0.9257	153.0045
54.3923	164.6701
1.5877	95.8820
0.9185	154.9362
0.9757	142.5586
7329.5057	5.2587
0.9080	158.1086
1.1925	117.9003
1.2926	110.7469
0.8963	162.3776
0.9018	160.2174
1.0253	135.0132
0.8925	164.0259
0.9522	146.9636
354.3214	121.1026
0.9808	141.7001
5629.9663	10.2550
0.9040	159.4570
1.2662	112.4836
0.9688	143.7894
2.6061	93.5809
65.4594	13.2654
0.9606	145.3139
544.6454	160.3265
4.4596	94.4124
1.0655	108.8984
0.2359	163.6250
1.6625	93.0330
1.0194	51.3173
1.5885	95.8514
0.9403	149.4902
1.0438	132.6119
0.2360	140.1349
22.1641	142.5156
54.8275	86.8941
18.6470	11.7318
23.4868	22.2519
0.8931	163.7613
1.0420	146.6168
5.5923	46.6040
404.2542	159.7845
29.0870	28.5425
6065.1155	7.8806
0.9769	142.3645
0.0633	130.1474
0.4554	88.6571
1.1230	123.9713
0.8996	161.0607
0.2214	34.9513
1.0858	147.3498
772.0502	1.6101
1.5683	96.6702
0.9093	157.6761
0.1540	93.1763
0.1540	93.1763
10.6860	33.2543
0.8969	162.1327
0.2215	131.5244
0.2852	161.6133
3.1629	104.5235
8.2959	13.6313
0.9422	149.0664
0.9315	151.5340
0.9208	154.2903
6.7692	93.4541
159.0715	168.1005
21.3859	169.5698
0.8963	162.3433
156.6349	58.0153
142.3625	158.4021
0.9819	141.5087
35.7560	150.0016
3.7903	114.5563
1.4014	104.4216
0.9846	141.0608
0.3722	142.1773
0.8952	162.8203
1.2547	113.2718
0.9143	156.1363
58.7163	160.6087
0.8937	163.4869
0.9893	140.2965
0.9753	142.6402
39.4723	164.3115
0.9330	151.1777
1.5274	105.9189
2.9853	59.7408
2.5047	72.4724
0.0718	138.4350
1.9346	137.1748
0.1270	90.9361
2.6619	167.8512
2.2553	160.0933
0.9836	141.2329
8.1271	72.7020
0.9336	151.0475
0.0275	135.2959
1.1829	118.6697
248.1590	13.7486
5.6483	141.4510
0.9108	157.2126
48.8053	10.1127
0.9602	145.3927
15.8997	27.1315
9.0875	32.6541
6.4278	170.8926
123.4616	43.7157
1.0794	128.4393
6.8073	155.2175
1.8197	74.3108
0.9449	148.4818
0.9087	157.8869
2.6202	159.3718
0.1366	129.8947
0.8267	146.8383
1.0693	129.5679
0.9180	155.0809
0.9200	154.4999
34.3845	150.8768
0.9122	156.7653
8.1996	126.3048
2.9949	110.3240
0.4789	112.8021
1.7647	89.5365
