 Event ID : 0
-132.522 -82.3487 256 35 27.35
14.7247 -235.372 288 55 30.4
110.435 32.5545 296 60 29.6
166.88 -62.3768 307.2 67 34
46.6282 -24.0532 312 70 39.5
83.44 -39.7067 313.6 71 30.2
206.146 -158.861 315.2 72 32.65
26.9953 -9.95207 318.4 74 36.2
-56.4447 111.968 320 75 22.35
-2.45413 -49.5571 321.6 76 18.8
-88.3482 175.863 324.8 78 28.2
-98.1647 198.398 337.6 86 9.15
88.3482 215.4 339.2 87 46.3
66.2612 -75.0611 339.2 87 26
191.421 -99.3513 340.8 88 23.95
-73.6235 138.889 342.4 89 11.2
-107.981 175.863 344 90 28.45
-31.9035 92.0637 344 90 37
-112.889 201.367 345.6 91 11.95
122.706 -11.3012 356.8 98 29.35
171.788 19.8703 356.8 98 20.05
68.7153 141.858 358.4 99 9.05
-73.6235 240.904 358.4 99 41.2
-147.247 226.871 358.4 99 19.45
-58.8988 164.393 360 100 32
127.614 209.868 361.6 101 36.7
-83.44 235.372 363.2 102 8.45
-112.889 223.902 363.2 102 21.55
240.504 31.3408 363.2 102 32.45
120.252 -7.05056 363.2 102 19.65
-46.6282 134.57 364.8 103 35.9
-142.339 218.37 364.8 103 14.15
-73.6235 252.375 364.8 103 36.25
147.247 11.3012 364.8 103 16.65
-44.1741 107.717 366.4 104 19.2
-127.614 209.868 366.4 104 26.6
-73.6235 235.372 366.4 104 32.1
-41.72 117.568 368 105 50.1
112.889 2.7999 368 105 26.55
-41.72 126.069 368 105 33.85
-132.522 223.902 368 105 26.65
-41.72 120.469 368 105 10.3
-44.1741 116.218 368 105 24.35
2.45411 -69.4613 368 105 20.2
-107.981 232.403 369.6 106 3.5
-68.7153 141.858 369.6 106 22.35
-49.0824 175.863 369.6 106 8.7
255.228 73.8474 369.6 106 33.4
-53.9906 124.72 369.6 106 44.5
-117.798 226.871 369.6 106 10.15
206.146 -62.3768 371.2 107 24.25
191.421 53.8755 372.8 108 15.35
-51.5365 134.57 372.8 108 20.95
68.7153 147.39 372.8 108 5.9
61.3529 -103.467 374.4 109 4.05
-41.72 103.467 374.4 109 23
-44.1741 124.72 374.4 109 31.8
-49.0824 164.393 376 110 44.65
-63.8071 150.359 376 110 45.2
-103.073 201.367 379.2 112 9.15
-103.073 223.902 379.2 112 34.05
-49.0824 147.39 379.2 112 21.6
-53.9906 184.364 379.2 112 21.45
-122.706 235.372 380.8 113 39.05
-93.2565 240.904 380.8 113 19.1
-122.706 223.902 380.8 113 26
-53.9906 138.889 380.8 113 24.85
117.798 -158.861 380.8 113 5.25
-78.5318 209.868 382.4 114 52.45
-29.4494 -181.395 384 115 3.3
103.073 -70.8104 384 115 35.05
-117.798 -232.403 387.2 117 3.45
-46.6282 128.97 388.8 118 40.8
83.44 -73.7119 388.8 118 37.4
225.779 -79.3795 390.4 119 7.65
-93.2565 -223.902 390.4 119 16.85
-31.9035 -120.469 390.4 119 28.9
-24.5412 -184.364 392 120 23.75
-46.6282 111.968 393.6 121 43.6
-93.2565 172.894 393.6 121 22
-24.5412 -155.891 393.6 121 1.85
-41.72 111.968 395.2 122 12
127.614 48.208 395.2 122 32.45
122.706 -121.886 396.8 123 33.05
83.44 48.208 396.8 123 45.4
-51.5365 117.568 398.4 124 29.75
-250.32 -36.8729 401.6 126 19.85
68.7153 -65.2106 404.8 128 30.6
110.435 -60.9599 404.8 128 18.45
-78.5318 147.39 404.8 128 32.4
105.527 -66.5598 406.4 129 22.35
-53.9906 -201.367 406.4 129 18.2
88.3482 -73.7119 406.4 129 33.35
137.431 -158.861 406.4 129 26.6
-34.3577 -124.72 406.4 129 13.35
-24.5412 -62.3091 408 130 37
80.9859 -66.5598 408 130 28.5
98.1647 -130.387 408 130 6.8
-39.2659 -209.868 408 130 25.6
-4.90823 133.221 409.6 131 47.3
-44.1741 -167.362 409.6 131 34.45
103.073 -48.208 409.6 131 8.1
-19.6329 -181.395 409.6 131 5.8
-4.90823 138.889 411.2 132 16.65
88.3482 175.863 411.2 132 41.4
80.9859 -75.0611 411.2 132 24.7
-19.6329 -175.863 412.8 133 11.8
61.3529 120.469 412.8 133 24.75
-80.9859 128.97 412.8 133 24.95
142.339 -70.8781 412.8 133 40.75
-29.4494 -164.393 412.8 133 19.4
127.614 -164.393 412.8 133 7.55
95.7106 -86.4639 414.4 134 17.6
36.8118 86.4639 414.4 134 43.15
34.3577 82.2132 414.4 134 8.7
107.981 -113.385 414.4 134 16
93.2565 138.889 414.4 134 31.85
71.1694 128.97 414.4 134 18.55
-63.8071 -184.364 414.4 134 27.55
-34.3577 -121.818 414.4 134 7.1
44.1741 96.3143 416 135 26.95
49.0824 82.2132 416 135 40.55
-265.045 5.83687 416 135 17.75
39.2659 -5.70141 416 135 6.1
-176.696 -164.393 416 135 12.25
88.3482 147.39 416 135 26.85
112.889 155.891 416 135 26.1
83.44 138.889 416 135 18.9
-53.9906 -150.359 416 135 32.65
-147.247 215.4 416 135 21.45
39.2659 87.813 417.6 136 23.7
78.5318 141.858 417.6 136 11.4
-34.3577 -113.317 417.6 136 5.65
103.073 155.891 417.6 136 29.55
66.2612 120.469 417.6 136 31.9
9.81646 -79.3117 417.6 136 24.85
-78.5318 243.874 417.6 136 14.55
63.8071 121.818 417.6 136 16.45
80.9859 -77.9626 417.6 136 4.2
53.9906 87.813 417.6 136 1.4
19.6329 147.39 419.2 137 11.1
107.981 -124.855 419.2 137 23
-39.2659 -158.861 419.2 137 21.75
-36.8118 -111.968 419.2 137 4.65
51.5365 111.968 419.2 137 3.2
-24.5412 -189.897 419.2 137 41.45
44.1741 82.2132 419.2 137 24.45
41.72 86.4639 419.2 137 34.7
147.247 -198.398 420.8 138 30.75
-112.889 -82.3487 420.8 138 10.5
103.073 -116.354 420.8 138 23.55
-63.8071 -189.897 422.4 139 37.7
152.155 -150.359 422.4 139 10.1
215.962 -141.858 422.4 139 34.95
-49.0823 -198.398 422.4 139 43.95
-39.2659 107.717 422.4 139 49.75
-122.706 206.899 425.6 141 27.95
93.2565 -73.7119 425.6 141 15
-58.8988 209.868 425.6 141 28.4
-31.9035 -126.069 425.6 141 26.5
12.2706 -117.568 427.2 142 2.1
107.981 -70.8104 427.2 142 31.55
-63.8071 -201.367 427.2 142 40.45
186.513 -22.8395 427.2 142 10.8
-73.6235 -201.367 427.2 142 27.8
41.72 126.069 427.2 142 8.75
-93.2565 218.37 428.8 143 37.25
73.6235 218.37 428.8 143 6.1
-265.045 -45.3742 430.4 144 27.25
98.1647 215.4 430.4 144 29
132.522 235.372 430.4 144 30.9
147.247 215.4 430.4 144 3.75
-46.6282 103.467 430.4 144 12.45
-39.2659 113.317 430.4 144 10.4
-51.5365 128.97 430.4 144 20.85
