 Event ID : 32
245.412 11.369 176 100 201.25
220.871 36.8729 176 100 256
225.779 28.3716 176 100 256
260.136 -2.86764 176 100 81.55
235.595 11.369 176 100 173.85
230.687 14.3382 176 100 127.05
240.504 14.3382 176 100 241.45
255.228 -5.83687 176 100 108.6
220.871 19.8703 176 100 66.25
240.504 19.8703 176 100 193.95
245.412 22.8395 176 100 89.05
235.595 22.8395 178 101 226
245.412 5.83687 178 101 190.15
235.595 28.3716 178 101 161.45
225.779 22.8395 178 101 186.2
230.687 19.8703 178 101 194.25
211.054 53.8755 178 101 192
201.238 65.3461 178 101 192
225.779 39.8421 178 101 192
201.238 53.8755 178 101 259.2
215.962 39.8421 178 101 259.2
215.962 28.3716 178 101 125.45
230.687 36.8729 178 101 103.05
235.595 5.83687 178 101 79.1
260.136 2.86764 178 101 78.4
255.228 5.83687 178 101 142.55
255.228 11.369 178 101 97.15
250.32 -2.86764 178 101 109.3
250.32 2.86764 178 101 173.3
215.962 56.8448 180 102 70.4
240.504 2.86764 180 102 106.7
211.054 31.3408 180 102 78.7
220.871 48.3434 180 102 128
250.32 14.3382 180 102 114.95
230.687 31.3408 180 102 205.55
225.779 45.3742 180 102 92.7
211.054 36.8729 180 102 182.5
220.871 31.3408 180 102 243.7
196.329 62.3768 182 103 288.7
191.421 65.3461 182 103 262.35
206.146 39.8421 182 103 135.9
201.238 48.3434 182 103 182
191.421 70.8781 184 104 255.15
196.329 73.8474 184 104 156.45
201.238 70.8781 184 104 86.55
181.605 70.8781 184 104 198.15
186.513 62.3768 184 104 150.75
186.513 73.8474 184 104 282.75
196.329 56.8448 184 104 222.2
176.697 73.8474 186 105 148.75
161.972 87.8808 186 105 99.2
181.605 65.3461 186 105 95.85
191.421 82.3487 186 105 92.4
191.421 53.8755 186 105 104.75
166.88 79.3795 186 105 78.2
215.962 45.3742 186 105 227.2
176.697 79.3795 186 105 258.45
181.605 82.3487 186 105 275
186.513 79.3795 186 105 235.3
181.605 87.8808 188 106 191.9
176.696 96.3821 188 106 149
171.788 87.8808 188 106 302
176.697 90.85 188 106 246.85
171.788 82.3487 188 106 197.1
166.88 96.3821 190 107 293.75
171.788 99.3513 190 107 210.25
171.788 104.883 190 107 106
206.146 45.3742 190 107 195.2
211.054 48.3434 190 107 195.2
166.88 90.85 190 107 222.2
157.064 96.3821 190 107 174
161.972 99.3513 190 107 311.2
161.972 104.883 192 108 307.25
152.155 99.3513 192 108 118.25
166.88 113.385 192 108 83.25
157.064 90.85 192 108 67.15
206.146 56.8448 192 108 195.2
166.88 107.853 194 109 170.65
157.064 113.385 194 109 309.9
206.146 62.3768 194 109 131.2
157.064 107.853 194 109 324.4
152.155 104.883 196 110 210.65
152.155 116.354 196 110 338.2
147.247 107.853 196 110 173.25
161.972 116.354 196 110 127.35
147.247 113.385 196 110 302.25
132.522 121.886 196 110 113
142.339 116.354 196 110 238.4
137.431 113.385 196 110 73.65
152.155 121.886 196 110 283.5
127.614 130.387 198 111 171.25
147.247 130.387 198 111 206.75
142.339 138.889 198 111 147.5
137.431 147.39 198 111 94.05
157.064 124.855 198 111 80.1
142.339 121.886 198 111 347.55
137.431 124.855 198 111 299
147.247 124.855 198 111 328.9
132.522 133.357 200 112 368.75
142.339 133.357 200 112 287.05
132.522 138.889 200 112 375.25
137.431 130.387 200 112 413.65
127.614 158.861 200 112 119.1
127.614 124.855 200 112 79.2
122.706 133.357 202 113 137.2
137.431 141.858 202 113 196.2
127.614 147.39 202 113 350.95
127.614 141.858 202 113 383.65
122.706 150.359 204 114 396.95
132.522 155.891 204 114 72.05
117.798 147.39 204 114 320.7
122.706 138.889 204 114 253.6
112.889 150.359 204 114 253.75
132.522 150.359 204 114 152.2
122.706 155.891 206 115 314.1
117.798 141.858 206 115 169.6
117.798 158.861 206 115 385.95
93.2565 167.362 208 116 127.25
112.889 155.891 208 116 387
122.706 167.362 208 116 75.5
107.981 175.863 210 117 293.75
103.073 167.362 210 117 387.95
103.073 172.894 210 117 448.8
107.981 147.39 210 117 73.65
103.073 155.891 210 117 110.6
107.981 158.861 210 117 330.7
117.798 164.393 210 117 249.15
112.889 167.362 210 117 346.4
112.889 172.894 210 117 192.75
107.981 164.393 210 117 426.4
98.1647 175.863 210 117 464.15
93.2565 172.894 210 117 285.9
98.1647 164.393 210 117 190.25
107.981 181.395 210 117 155.4
103.073 184.364 210 117 225.9
98.1647 181.395 210 117 432.4
83.44 201.367 212 118 308.95
98.1647 158.861 212 118 79.6
88.3482 175.863 212 118 183.95
98.1647 198.398 212 118 76.5
98.1647 192.866 212 118 168.1
93.2565 184.364 212 118 460.15
73.6235 189.897 212 118 84.3
88.3483 181.395 212 118 353.3
83.44 184.364 212 118 238.8
93.2565 189.897 214 119 401
78.5318 192.866 214 119 236.05
93.2565 201.367 214 119 131.55
88.3483 198.398 214 119 274
103.073 189.897 214 119 109.7
88.3483 192.866 214 119 435.2
83.44 189.897 214 119 358.5
78.5318 198.398 214 119 287.9
88.3482 209.868 214 119 64.25
73.6235 201.367 214 119 215.2
73.6235 223.902 216 120 76.35
78.5318 181.395 216 120 68.1
63.8071 218.37 216 120 128.85
73.6235 206.899 216 120 276.8
83.44 206.899 216 120 201.1
68.7153 198.398 216 120 82.1
58.8988 215.4 218 121 79.05
63.8071 206.899 218 121 101.85
63.8071 223.902 218 121 100.55
78.5318 209.868 218 121 214.75
73.6235 218.37 218 121 152.8
68.7153 209.868 218 121 198.25
78.5318 215.4 220 122 115.25
68.7153 215.4 220 122 199.55
68.7153 226.871 220 122 77.6
