 Event ID : 3948
49.0823 164.393 -166.496 26 33.35
-191.421 99.3513 -74.624 59 208.75
-191.421 104.883 -71.84 60 787.9
9.81646 -96.3143 -69.056 61 2332.3
7.36234 -94.9652 -69.056 61 3662.05
-186.513 107.853 -63.488 63 1857
12.2706 -94.9652 -60.704 64 113.45
9.81647 -141.858 -57.92 65 519.45
-186.513 113.385 -55.136 66 805.4
7.36234 -86.4639 -49.568 68 133.95
7.36234 -92.0637 -49.568 68 2836.7
4.90822 -65.2106 -49.568 68 83.2
17.1788 -86.4639 -46.784 69 134.4
-181.605 116.354 -46.784 69 2069.95
-166.88 56.8448 -46.784 69 67.45
4.90823 -96.3143 -46.784 69 1436
2.45411 -92.0637 -44 70 3674.15
-176.696 113.385 -44 70 86.85
4.90823 -90.7145 -44 70 3203.05
2.45411 -94.9652 -41.216 71 1760.8
-181.605 121.886 -35.648 73 437.6
14.7247 -138.889 -30.08 75 73.3
4.90824 -138.889 -30.08 75 524.3
4.90823 -87.813 -30.08 75 240.85
-176.696 124.855 -27.296 76 1732.95
-7.62939e-06 -90.7145 -27.296 76 3713.2
4.90822 -82.2132 -27.296 76 76.25
14.7247 -79.3117 -27.296 76 89.35
-171.788 121.886 -24.512 77 760.55
-176.696 130.387 -21.728 78 138.6
-171.788 133.357 -18.944 79 468.95
-166.88 124.855 -18.944 79 231.3
-2.45412 -94.9652 -18.944 79 77.15
-4.90824 -96.3143 -13.376 81 459.7
-186.513 96.3821 -13.376 81 22.6
-191.421 121.886 -13.376 81 65
-14.7247 -138.889 -13.376 81 65.25
-166.88 130.387 -13.376 81 1820.5
2.45411 -86.4639 -13.376 81 213.8
-4.90823 -138.889 -10.592 82 100.7
-7.62939e-06 -87.813 -10.592 82 2911.3
-2.45413 -92.0637 -7.808 83 1867.9
-161.972 133.357 -5.024 84 1141.5
-2.45412 -86.4639 0.544 86 3541.15
-161.972 138.889 0.544 86 1387.85
-4.90824 -87.813 3.328 87 3210.5
-4.90824 -90.7145 3.328 87 1262.05
