 Event ID : 947
59.0782 -58.7822 298.4 137 38.1
8.40115 -83.7661 391.2 166 36.05
110.845 15.1707 432.8 179 52
112.942 11.6881 436 180 110.6
-21.9413 90.5359 439.2 181 53.85
110.846 8.40101 439.2 181 88.45
-28.7113 104.076 442.4 182 82.2
24.932 92.9278 442.4 182 44.15
-45.5386 79.0918 442.4 182 87.7
-1.63158 76.9957 442.4 182 168.6
-42.2516 70.2256 442.4 182 124.3
-18.4582 92.6314 442.4 182 127.55
9.29581 96.4107 442.4 182 114.8
106.172 11.6881 442.4 182 140.4
104.076 8.40101 442.4 182 59.45
104.075 15.1707 445.6 183 86.95
24.9321 99.6977 445.6 183 1928.65
18.1615 106.467 445.6 183 307.65
16.9363 96.0658 445.6 183 162.15
23.0581 103.231 445.6 183 1981.5
16.7426 102.888 445.6 183 400.9
-35.481 97.3054 445.6 183 84.35
18.162 99.6978 445.6 183 2652.45
22.9752 96.5911 445.6 183 2304.7
97.3052 15.1707 448.8 184 142.35
25.035 106.559 448.8 184 1596.3
22.8361 116.72 448.8 184 74.5
99.4019 11.6881 448.8 184 174.45
22.9997 109.952 448.8 184 395.35
92.6319 11.6881 452 185 59.75
24.9323 113.237 452 185 590.55
29.6061 109.95 452 185 558.3
90.5352 15.1707 455.2 186 98.7
29.6053 103.18 455.2 186 386.3
31.7015 106.467 455.2 186 350.35
31.7023 113.237 458.4 187 45.6
85.8614 18.4578 461.6 188 118
31.702 99.6977 461.6 188 253.5
79.0915 18.4578 464.8 189 266.9
36.3757 96.4108 468 190 151.35
84.2529 15.7094 468 190 109.25
31.702 92.9277 468 190 78.5
38.472 92.9278 468 190 113
29.6058 96.4107 471.2 191 64.3
76.9959 21.9407 471.2 191 81.25
36.3758 89.6406 471.2 191 251.9
38.4715 86.1577 474.4 192 84.55
70.3403 13.7982 474.4 192 77.55
72.3215 18.4578 474.4 192 125.45
76.9952 15.1707 474.4 192 124.1
36.3753 82.8705 474.4 192 50.55
43.1458 76.1008 477.6 193 133.55
38.472 79.388 477.6 193 300.5
-28.7113 22.8359 480.8 194 65.9
70.2259 21.9407 480.8 194 80.15
36.3758 76.1008 480.8 194 271.75
38.472 72.6179 480.8 194 197.15
65.5514 18.4578 484 195 134.75
63.4551 15.1713 484 195 140.25
56.6854 15.1713 484 195 95.65
-25.2283 18.1621 484 195 274
-28.7113 16.0659 484 195 61.35
