 Event ID : 0
46.6282 -26.9547 419.2 137 45.8235
-36.8118 60.9599 422.4 139 38.8824
211.054 31.3408 432 145 582.176
269.953 14.3382 433.6 146 503.235
-49.0824 -11.3012 460.8 163 40.1765
-76.0777 94.9652 462.4 164 50.2941
-49.0824 -14.2027 464 165 448
-51.5365 -15.5519 465.6 166 251.765
-53.9906 -14.2027 465.6 166 102.471
-56.4447 -15.5519 467.2 167 155.647
-66.2612 -18.4534 470.4 169 148.176
-61.353 -18.4534 470.4 169 165.118
-63.8071 -19.8025 472 170 221.941
-68.7153 -19.8025 472 170 288
-76.0777 -24.0532 476.8 173 119.765
-103.073 -48.208 494.4 184 106.471
-107.981 -53.8078 496 185 189.706
-105.527 -49.5571 496 185 213.529
-105.527 -52.4586 496 185 131.353
-110.435 -52.4586 497.6 186 215.176
-110.435 -58.0584 497.6 186 49.4706
-122.706 104.883 499.2 187 289.059
-112.889 -56.7093 500.8 188 113.941
-115.344 -60.9599 502.4 189 158.882
-115.344 -58.0584 502.4 189 71.4706
-112.889 -62.3091 502.4 189 37.6471
-117.798 -62.3091 504 190 124
-117.798 -65.2106 505.6 191 161.412
-127.614 96.3821 505.6 191 150.471
-132.522 99.3513 508.8 193 682.941
-127.614 -79.3795 512 195 59.1765
-137.431 96.3821 513.6 196 484.412
-142.339 99.3513 516.8 198 260.471
-127.614 -90.85 518.4 199 219.765
-132.522 -87.8808 518.4 199 320.176
-127.614 -96.3821 520 200 83.8235
-147.247 96.3821 520 200 308.882
-137.431 -96.3821 523.2 202 89.8235
-132.522 -99.3513 523.2 202 835.059
-147.247 90.85 524.8 203 389.588
-132.522 -104.883 524.8 203 436.059
-137.431 -107.853 528 205 278.647
-152.155 87.8808 528 205 428.765
-132.522 -116.354 531.2 207 100
-157.064 90.85 531.2 207 403.588
-137.431 -113.385 531.2 207 311
-132.522 -121.886 532.8 208 111.353
-161.972 87.8808 534.4 209 368.765
-137.431 -124.855 536 210 560.941
-137.431 -130.387 539.2 212 405.588
-161.972 82.3487 539.2 212 476.412
-132.522 -133.357 540.8 213 78.7059
-132.522 -138.889 542.4 214 71.6471
-171.788 82.3487 544 215 58.9412
-166.88 79.3795 544 215 719.824
-137.431 -141.858 544 215 425.882
-137.431 -147.39 547.2 217 242.765
-166.88 73.8474 547.2 217 116
-132.522 -150.359 550.4 219 178.235
-171.788 70.8781 550.4 219 251.118
-137.431 -158.861 552 220 122
-132.522 -155.891 552 220 408.824
-176.696 73.8474 552 220 249.529
-127.614 -158.861 553.6 221 45
-181.605 70.8781 555.2 222 112.941
-127.614 -164.393 556.8 223 37.7647
-132.522 -167.362 556.8 223 233.529
-176.696 62.3768 560 225 131.941
-132.522 -172.894 560 225 138.353
-181.605 65.3461 560 225 466.824
-127.614 -175.863 561.6 226 210.294
-186.513 62.3768 563.2 227 126.059
-127.614 -181.395 563.2 227 219.235
-122.706 -184.364 566.4 229 591.765
-122.706 -189.897 568 230 193.059
-186.513 56.8448 569.6 231 481.647
-117.798 -192.866 571.2 232 272.882
-181.605 53.8755 571.2 232 73.3529
-191.421 53.8755 572.8 233 107.412
-117.798 -198.398 572.8 233 180.471
-112.889 -201.367 576 235 301.059
-191.421 48.3434 576 235 507.176
-112.889 -206.899 577.6 236 126.118
-186.513 45.3742 577.6 236 492.824
-107.981 -209.868 580.8 238 419.059
-103.073 -206.899 582.4 239 146.706
-107.981 -215.4 582.4 239 47.2353
-186.513 39.8421 582.4 239 98.4706
-103.073 -218.37 584 240 127.176
-196.329 39.8421 584 240 48.8824
-191.421 36.8729 587.2 242 425.471
-98.1647 -215.4 587.2 242 282.059
-93.2565 -218.37 588.8 243 152.765
-191.421 31.3408 590.4 244 435.706
-93.2565 -223.902 590.4 244 210.824
-88.3482 -226.871 593.6 246 459.294
-196.329 28.3716 595.2 247 291.235
-83.44 -223.902 595.2 247 81.3529
-78.5318 -226.871 596.8 248 73.1176
-196.329 22.8395 598.4 249 405
-78.5318 -232.403 600 250 346.118
-191.421 19.8703 600 250 401.882
-73.6235 -235.372 601.6 251 392.059
-68.7153 -232.403 604.8 253 107.588
-63.8071 -235.372 606.4 254 132.118
-191.421 14.3382 606.4 254 290.588
-196.329 11.369 608 255 220.471
-63.8071 -240.904 608 255 364.471
-58.8988 -243.874 609.6 256 305.882
-196.329 5.83687 611.2 257 209
-53.9906 -240.904 611.2 257 256.353
-49.0824 -243.874 614.4 259 311.647
-49.0824 -249.406 614.4 259 88.6471
-191.421 2.86764 616 260 438
-39.2659 -243.874 619.2 262 111
-39.2659 -249.406 619.2 262 247
-191.421 -2.86764 619.2 262 702.882
-44.1741 -252.375 620.8 263 45.8824
-34.3576 -252.375 622.4 264 117.294
-186.513 -5.83687 624 265 195.941
-29.4494 -249.406 624 265 274.294
-24.5412 -252.375 627.2 267 141.706
-191.421 -14.3382 628.8 268 199.647
-186.513 -11.369 628.8 268 447.235
-181.605 -14.3382 630.4 269 46.4706
-19.6329 -249.406 630.4 269 387.235
-14.7247 -252.375 630.4 269 496
-191.421 -19.8703 632 270 63.4706
-9.81647 -249.406 632 270 590.294
-4.90824 -252.375 635.2 272 214.529
-186.513 -22.8395 636.8 273 300.412
-181.605 -19.8703 636.8 273 245.294
3.8147e-06 -249.406 638.4 274 334.353
-186.513 -28.3716 638.4 274 51.4706
-176.696 -22.8395 640 275 50.6471
4.90824 -252.375 643.2 277 150.235
9.81648 -243.874 644.8 278 97
9.81647 -249.406 644.8 278 364
-265.045 28.3716 644.8 278 48.4118
14.7247 -252.375 644.8 278 59.5294
-176.696 -28.3716 644.8 278 417.235
-181.605 -31.3408 644.8 278 358.118
-181.605 -36.8729 648 280 82.4118
-171.788 -31.3408 648 280 88.5294
19.6329 -249.406 649.6 281 152.882
19.6329 -243.874 649.6 281 343.118
-176.696 -39.8421 652.8 283 135.529
-171.788 -36.8729 652.8 283 249.529
24.5412 -240.904 652.8 283 211.235
29.4494 -243.874 654.4 284 347.706
-166.88 -39.8421 657.6 286 161.176
34.3576 -240.904 659.2 287 272.941
-166.88 -45.3742 660.8 288 418.882
44.1741 -240.904 660.8 288 162.765
39.2659 -243.874 660.8 288 85.0588
44.1741 -235.372 660.8 288 498.471
34.3576 -235.372 660.8 288 54.9412
39.2659 -232.403 662.4 289 49.3529
49.0824 -232.403 665.6 291 347.059
53.9906 -235.372 665.6 291 303
-161.972 -48.3434 665.6 291 392
58.8988 -232.403 668.8 293 177.529
58.8988 -226.871 670.4 294 290.471
63.8071 -223.902 673.6 296 354.765
68.7153 -226.871 673.6 296 87.8235
68.7153 -215.4 676.8 298 99.5294
63.8071 -218.37 676.8 298 47.7647
73.6235 -223.902 676.8 298 59.4118
73.6235 -218.37 678.4 299 289.235
78.5318 -209.868 683.2 302 164.176
78.5318 -215.4 683.2 302 143.588
83.44 -206.899 686.4 304 235.412
83.44 -201.367 689.6 306 104
88.3483 -198.398 689.6 306 273.824
88.3482 -209.868 689.6 306 41.5882
93.2565 -201.367 691.2 307 100.412
88.3483 -192.866 692.8 308 47.2941
103.073 -189.897 696 310 45.8235
93.2565 -189.897 696 310 123.529
98.1647 -192.866 696 310 130.235
-122.706 -70.8781 699.2 312 48.8824
98.1647 -175.863 700.8 313 57.3529
98.1647 -181.395 700.8 313 129.882
103.073 -184.364 700.8 313 123.941
103.073 -172.894 705.6 316 176.235
107.981 -175.863 705.6 316 105.647
-115.344 -66.5598 707.2 317 41.6471
-115.344 -69.4613 707.2 317 114.353
112.889 -167.362 708.8 318 63.5294
103.073 -167.362 708.8 318 108.118
-112.889 -70.8104 708.8 318 140
107.981 -164.393 710.4 319 262.059
-110.435 -69.4613 712 320 85.4118
-107.981 -70.8104 712 320 69.8235
107.981 -158.861 712 320 139.294
-107.981 -73.7119 715.2 322 34.6471
-103.073 -73.7119 716.8 323 50.2353
-105.527 -69.4613 716.8 323 80.8824
117.798 -147.39 716.8 323 35.3529
-103.073 -70.8104 716.8 323 115.412
107.981 -147.39 716.8 323 42.1176
112.889 -150.359 716.8 323 164
-100.619 -69.4613 720 325 102.824
117.798 -141.858 721.6 326 102.235
-98.1647 -70.8104 721.6 326 153.353
112.889 -138.889 721.6 326 243
-98.1647 -73.7119 723.2 327 52.5294
-95.7106 -69.4613 724.8 328 102.471
117.798 -130.387 724.8 328 163.176
-93.2565 -70.8104 724.8 328 183.118
112.889 -133.357 724.8 328 340
-93.2565 -73.7119 724.8 328 51.1765
-90.8024 -69.4613 726.4 329 120.882
117.798 -124.855 728 330 174.706
-88.3482 -70.8104 729.6 331 106.471
112.889 -121.886 729.6 331 218.647
-85.8941 -69.4613 731.2 332 128.059
112.889 -116.354 732.8 333 258.529
-83.44 -70.8104 732.8 333 123.765
-80.9859 -69.4613 734.4 334 124.882
117.798 -113.385 734.4 334 129.706
-80.9859 -66.5598 734.4 334 70.3529
117.798 -107.853 736 335 87.0588
-76.0776 -69.4613 737.6 336 54.3529
-78.5318 -70.8104 737.6 336 87.2941
-76.0777 -66.5598 737.6 336 76.8235
-14.7247 19.8025 737.6 336 105.176
112.889 -104.883 739.2 337 270.529
-9.81648 19.8025 740.8 338 286.765
-73.6235 -65.2106 742.4 339 76
112.889 -99.3513 742.4 339 357.471
107.981 -96.3821 744 340 110.235
-71.1694 -66.5598 744 340 153.118
107.981 -90.85 745.6 341 256.118
-7.36237 18.4534 745.6 341 281.706
