! 208Pb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	19.8262   	0.001000	25.2757   	0.001000	23.0986   	0.001000	23.0986   	0.001000	23.099    	0.001000	7.28279   	0.001000	17.9929   	
0.002000	21.4663   	0.002000	27.7424   	0.002000	25.5183   	0.002000	25.5183   	0.002000	25.5186   	0.002000	9.44461   	0.002000	18.2978   	
0.005000	22.4306   	0.005000	29.7337   	0.005000	27.8328   	0.005000	27.8328   	0.005000	27.8331   	0.005000	13.3172   	0.005000	16.4165   	
0.008000	22.5968   	0.008000	30.4407   	0.008000	28.9972   	0.008000	28.9972   	0.008000	28.9975   	0.008000	15.8839   	0.008000	14.5568   	
0.010000	22.6837   	0.010000	30.8078   	0.010000	29.6824   	0.010000	29.6824   	0.010000	29.6826   	0.010000	17.2702   	0.010000	13.5375   	
0.015000	22.9788   	0.015000	31.684    	0.015000	31.3509   	0.015000	31.3509   	0.015000	31.3511   	0.015000	20.1063   	0.015000	11.5777   	
0.020000	23.3764   	0.020000	32.5736   	0.020000	33.009    	0.020000	33.009    	0.020000	33.0092   	0.020000	22.3967   	0.020000	10.1769   	
0.025000	23.8346   	0.025000	33.4727   	0.025000	34.6482   	0.025000	34.6482   	0.025000	34.6484   	0.025000	24.3515   	0.025000	9.12127   	
0.030000	24.3244   	0.030000	34.3676   	0.030000	36.2563   	0.030000	36.2563   	0.030000	36.2565   	0.030000	26.0746   	0.030000	8.29296   	
0.035000	24.8286   	0.035000	35.2492   	0.035000	37.8267   	0.035000	37.8267   	0.035000	37.8268   	0.035000	27.6263   	0.035000	7.62283   	
0.040000	25.3372   	0.040000	36.1126   	0.040000	39.3569   	0.040000	39.3569   	0.040000	39.357    	0.040000	29.0449   	0.040000	7.06763   	
0.045000	25.8441   	0.045000	36.9554   	0.045000	40.8467   	0.045000	40.8467   	0.045000	40.8468   	0.045000	30.3566   	0.045000	6.59882   	
0.050000	26.346    	0.050000	37.7768   	0.050000	42.2972   	0.050000	42.2972   	0.050000	42.2973   	0.050000	31.58     	0.050000	6.1968    	
0.055000	26.8408   	0.055000	38.5767   	0.055000	43.71     	0.055000	43.71     	0.055000	43.7101   	0.055000	32.7291   	0.055000	5.84758   	
0.060000	27.3272   	0.060000	39.3556   	0.060000	45.0869   	0.060000	45.0869   	0.060000	45.0871   	0.060000	33.8146   	0.060000	5.54093   	
0.070000	28.273    	0.070000	40.8533   	0.070000	47.7409   	0.070000	47.7409   	0.070000	47.741    	0.070000	35.8269   	0.070000	5.02635   	
0.080000	29.1818   	0.080000	42.2767   	0.080000	50.2739   	0.080000	50.2739   	0.080000	50.274    	0.080000	37.6666   	0.080000	4.61014   	
0.090000	30.0549   	0.090000	43.6331   	0.090000	52.6992   	0.090000	52.6992   	0.090000	52.6993   	0.090000	39.3676   	0.090000	4.26548   	
0.100000	30.8941   	0.100000	44.9288   	0.100000	55.0283   	0.100000	55.0283   	0.100000	55.0284   	0.100000	40.9541   	0.100000	3.97468   	
0.120000	32.4805   	0.120000	47.3615   	0.120000	59.4357   	0.120000	59.4357   	0.120000	59.4358   	0.120000	43.8521   	0.120000	3.50933   	
0.140000	34.0756   	0.140000	49.6136   	0.140000	63.5592   	0.140000	63.5592   	0.140000	63.5593   	0.140000	46.4618   	0.140000	3.15181   	
0.160000	37.1794   	0.160000	53.5731   	0.160000	68.1116   	0.160000	68.1116   	0.160000	68.1117   	0.160000	50.7324   	0.160000	2.84073   	
0.180000	40.1938   	0.180000	59.1598   	0.180000	72.8747   	0.180000	72.8747   	0.180000	72.8748   	0.180000	56.5487   	0.180000	2.61111   	
0.200000	43.1561   	0.200000	64.2676   	0.200000	77.0151   	0.200000	77.0151   	0.200000	77.0152   	0.200000	61.8483   	0.200000	2.41926   	
0.250000	48.9229   	0.250000	75.1967   	0.250000	85.1101   	0.250000	85.1101   	0.250000	85.1102   	0.250000	73.144    	0.250000	2.05275   	
0.300000	54.2588   	0.300000	84.0074   	0.300000	90.8374   	0.300000	90.8374   	0.300000	90.8374   	0.300000	82.2169   	0.300000	1.79052   	
0.350000	59.1688   	0.350000	91.2304   	0.350000	95.0446   	0.350000	95.0446   	0.350000	95.0447   	0.350000	89.6377   	0.350000	1.59264   	
0.400000	63.6536   	0.400000	97.2521   	0.400000	98.3      	0.400000	98.3      	0.400000	98.3001   	0.400000	95.8146   	0.400000	1.43744   	
0.450000	68.7716   	0.450000	103.484   	0.450000	100.958   	0.450000	100.958   	0.450000	100.958   	0.450000	102.172   	0.450000	1.31214   	
