! 208Pb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000356871	0.001000	0.000454962	0.001000	0.000415775	0.001000	0.000415775	0.001000	0.000415782	0.001000	0.00013109	0.001000	0.000323872	
0.002000	0.000386393	0.002000	0.000499364	0.002000	0.000459329	0.002000	0.000459329	0.002000	0.000459336	0.002000	0.000170003	0.002000	0.000329361	
0.005000	0.000403752	0.005000	0.000535206	0.005000	0.00050099	0.005000	0.00050099	0.005000	0.000500996	0.005000	0.000239709	0.005000	0.000295497	
0.008000	0.000406743	0.008000	0.000547932	0.008000	0.00052195	0.008000	0.00052195	0.008000	0.000521955	0.008000	0.00028591	0.008000	0.000262022	
0.010000	0.000408306	0.010000	0.00055454	0.010000	0.000534283	0.010000	0.000534283	0.010000	0.000534287	0.010000	0.000310864	0.010000	0.000243676	
0.015000	0.000413619	0.015000	0.000570312	0.015000	0.000564316	0.015000	0.000564316	0.015000	0.00056432	0.015000	0.000361913	0.015000	0.000208399	
0.020000	0.000420775	0.020000	0.000586325	0.020000	0.000594162	0.020000	0.000594162	0.020000	0.000594165	0.020000	0.000403141	0.020000	0.000183185	
0.025000	0.000429023	0.025000	0.000602509	0.025000	0.000623668	0.025000	0.000623668	0.025000	0.000623671	0.025000	0.000438327	0.025000	0.000164183	
0.030000	0.000437839	0.030000	0.000618617	0.030000	0.000652614	0.030000	0.000652614	0.030000	0.000652616	0.030000	0.000469343	0.030000	0.000149273	
0.035000	0.000446915	0.035000	0.000634485	0.035000	0.00068088	0.035000	0.00068088	0.035000	0.000680883	0.035000	0.000497274	0.035000	0.000137211	
0.040000	0.000456069	0.040000	0.000650026	0.040000	0.000708424	0.040000	0.000708424	0.040000	0.000708426	0.040000	0.000522809	0.040000	0.000127217	
0.045000	0.000465195	0.045000	0.000665197	0.045000	0.000735241	0.045000	0.000735241	0.045000	0.000735243	0.045000	0.000546418	0.045000	0.000118779	
0.050000	0.000474229	0.050000	0.000679982	0.050000	0.00076135	0.050000	0.00076135	0.050000	0.000761352	0.050000	0.000568439	0.050000	0.000111542	
0.055000	0.000483134	0.055000	0.00069438	0.055000	0.00078678	0.055000	0.00078678	0.055000	0.000786782	0.055000	0.000589123	0.055000	0.000105256	
0.060000	0.00049189	0.060000	0.0007084 	0.060000	0.000811565	0.060000	0.000811565	0.060000	0.000811567	0.060000	0.000608663	0.060000	9.97368e-05	
0.070000	0.000508913	0.070000	0.000735359	0.070000	0.000859336	0.070000	0.000859336	0.070000	0.000859338	0.070000	0.000644885	0.070000	9.04743e-05	
0.080000	0.000525273	0.080000	0.000760981	0.080000	0.00090493	0.080000	0.00090493	0.080000	0.000904932	0.080000	0.000677999	0.080000	8.29825e-05	
0.090000	0.000540988	0.090000	0.000785395	0.090000	0.000948586	0.090000	0.000948586	0.090000	0.000948587	0.090000	0.000708616	0.090000	7.67787e-05	
0.100000	0.000556095	0.100000	0.000808719	0.100000	0.000990509	0.100000	0.000990509	0.100000	0.000990511	0.100000	0.000737174	0.100000	7.15442e-05	
0.120000	0.00058465	0.120000	0.000852506	0.120000	0.00106984	0.120000	0.00106984	0.120000	0.00106984	0.120000	0.000789338	0.120000	6.31679e-05	
0.140000	0.00061336	0.140000	0.000893045	0.140000	0.00114407	0.140000	0.00114407	0.140000	0.00114407	0.140000	0.000836312	0.140000	5.67326e-05	
0.160000	0.000669229	0.160000	0.000964316	0.160000	0.00122601	0.160000	0.00122601	0.160000	0.00122601	0.160000	0.000913183	0.160000	5.11331e-05	
0.180000	0.000723489	0.180000	0.00106488	0.180000	0.00131174	0.180000	0.00131174	0.180000	0.00131175	0.180000	0.00101788	0.180000	4.70001e-05	
0.200000	0.00077681	0.200000	0.00115682	0.200000	0.00138627	0.200000	0.00138627	0.200000	0.00138627	0.200000	0.00111327	0.200000	4.35467e-05	
0.250000	0.000880613	0.250000	0.00135354	0.250000	0.00153198	0.250000	0.00153198	0.250000	0.00153198	0.250000	0.00131659	0.250000	3.69495e-05	
0.300000	0.000976658	0.300000	0.00151213	0.300000	0.00163507	0.300000	0.00163507	0.300000	0.00163507	0.300000	0.0014799 	0.300000	3.22294e-05	
0.350000	0.00106504	0.350000	0.00164215	0.350000	0.0017108 	0.350000	0.0017108 	0.350000	0.0017108 	0.350000	0.00161348	0.350000	2.86675e-05	
0.400000	0.00114576	0.400000	0.00175054	0.400000	0.0017694 	0.400000	0.0017694 	0.400000	0.0017694 	0.400000	0.00172466	0.400000	2.5874e-05	
0.450000	0.00123789	0.450000	0.00186271	0.450000	0.00181724	0.450000	0.00181724	0.450000	0.00181724	0.450000	0.00183909	0.450000	2.36185e-05	
0.500000	0.00133273	0.500000	0.00199051	0.500000	0.00185816	0.500000	0.00185816	0.500000	0.00185816	0.500000	0.00196875	0.500000	2.17553e-05	
0.600000	0.00144655	0.600000	0.00219889	0.600000	0.00192743	0.600000	0.00192743	0.600000	0.00192743	0.600000	0.00218004	0.600000	1.88485e-05	
0.700000	0.00152138	0.700000	0.00235967	0.700000	0.0019864 	0.700000	0.0019864 	0.700000	0.0019864 	0.700000	0.002343  	0.700000	1.6677e-05	
0.800000	0.00162875	0.800000	0.00248576	0.800000	0.00203841	0.800000	0.00203841	0.800000	0.00203842	0.800000	0.00247077	0.800000	1.49873e-05	
0.900000	0.00171876	0.900000	0.00258589	0.900000	0.00208487	0.900000	0.00208487	0.900000	0.00208487	0.900000	0.00257226	0.900000	1.36318e-05	
1.000000	0.0017716 	1.000000	0.00263332	1.000000	0.00212648	1.000000	0.00212648	1.000000	0.00212648	1.000000	0.00262081	1.000000	1.25179e-05	
