 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 02, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Helium (gas).txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  1.7518E-04 g/cm3 = 2.6354E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.570E-02  1.471E-01  122.43 um    12.24 um     8.60 um  
  11.00 keV   1.646E-02  1.527E-01  128.35 um    12.74 um     9.00 um  
  12.00 keV   1.720E-02  1.579E-01  134.06 um    13.22 um     9.39 um  
  13.00 keV   1.790E-02  1.627E-01  139.59 um    13.67 um     9.76 um  
  14.00 keV   1.857E-02  1.672E-01  144.95 um    14.11 um    10.12 um  
  15.00 keV   1.922E-02  1.715E-01  150.17 um    14.53 um    10.48 um  
  16.00 keV   1.986E-02  1.755E-01  155.27 um    14.94 um    10.82 um  
  17.00 keV   2.047E-02  1.793E-01  160.24 um    15.33 um    11.15 um  
  18.00 keV   2.106E-02  1.829E-01  165.12 um    15.71 um    11.48 um  
  20.00 keV   2.220E-02  1.896E-01  174.58 um    16.46 um    12.11 um  
  22.50 keV   2.355E-02  1.972E-01  185.94 um    17.36 um    12.87 um  
  25.00 keV   2.482E-02  2.040E-01  196.89 um    18.20 um    13.60 um  
  27.50 keV   2.603E-02  2.102E-01  207.47 um    19.01 um    14.30 um  
  30.00 keV   2.719E-02  2.158E-01  217.74 um    19.77 um    14.97 um  
  32.50 keV   2.830E-02  2.210E-01  227.75 um    20.50 um    15.63 um  
  35.00 keV   2.937E-02  2.257E-01  237.51 um    21.21 um    16.26 um  
  37.50 keV   3.040E-02  2.302E-01  247.06 um    21.89 um    16.89 um  
