Z,A,"Y(Z,A)"
29,74,1.39E-06
30,74,5.91E-05
30,75,3.37E-05
30,76,8.50E-06
30,77,1.07E-06
31,74,6.69E-05
31,75,1.70E-04
31,76,1.92E-04
31,77,1.08E-04
31,78,3.40E-05
31,79,6.27E-06
32,74,2.01E-06
32,75,2.29E-05
32,76,1.15E-04
32,77,2.89E-04
32,78,4.07E-04
32,79,3.36E-04
32,80,1.55E-04
32,81,3.86E-05
32,82,5.06E-06
33,76,1.84E-06
33,77,2.06E-05
33,78,1.30E-04
33,79,4.77E-04
33,80,9.87E-04
33,81,1.10E-03
33,82,6.42E-04
33,83,1.97E-04
33,84,3.11E-05
33,85,2.51E-06
34,78,1.10E-06
34,79,1.80E-05
34,80,1.67E-04
34,81,8.26E-04
34,82,2.16E-03
34,83,2.97E-03
34,84,2.09E-03
34,85,7.55E-04
34,86,1.46E-04
34,87,1.59E-05
35,81,1.66E-05
35,82,1.94E-04
35,83,1.19E-03
35,84,3.75E-03
35,85,6.04E-03
35,86,5.22E-03
35,87,2.53E-03
35,88,6.65E-04
35,89,9.16E-05
35,90,6.57E-06
36,83,1.26E-05
36,84,1.78E-04
36,85,1.28E-03
36,86,4.95E-03
36,87,1.07E-02
36,88,1.26E-02
36,89,7.75E-03
36,90,2.49E-03
36,91,4.18E-04
36,92,3.71E-05
36,93,1.73E-06
37,85,7.22E-06
37,86,1.25E-04
37,87,1.21E-03
37,88,6.34E-03
37,89,1.74E-02
37,90,2.50E-02
37,91,1.88E-02
37,92,7.44E-03
37,93,1.55E-03
37,94,1.68E-04
37,95,9.31E-06
38,87,3.61E-06
38,88,8.47E-05
38,89,1.04E-03
38,90,6.66E-03
38,91,2.24E-02
38,92,3.96E-02
38,93,3.69E-02
38,94,1.79E-02
38,95,4.43E-03
38,96,5.58E-04
38,97,3.65E-05
38,98,1.26E-06
39,89,1.65E-06
39,90,4.73E-05
39,91,7.10E-04
39,92,5.61E-03
39,93,2.33E-02
39,94,5.05E-02
39,95,5.59E-02
39,96,3.15E-02
39,97,9.20E-03
39,98,1.42E-03
39,99,1.17E-04
39,100,5.13E-06
40,92,2.11E-05
40,93,3.92E-04
40,94,3.80E-03
40,95,1.88E-02
40,96,4.72E-02
40,97,6.17E-02
40,98,4.25E-02
40,99,1.56E-02
40,100,3.07E-03
40,101,3.25E-04
40,102,1.86E-05
41,94,7.57E-06
41,95,1.67E-04
41,96,1.88E-03
41,97,1.10E-02
41,98,3.38E-02
41,99,5.55E-02
41,100,4.87E-02
41,101,2.30E-02
41,102,5.91E-03
41,103,8.36E-04
41,104,6.62E-05
41,105,2.89E-06
42,96,1.99E-06
42,97,5.19E-05
42,98,7.15E-04
42,99,5.24E-03
42,100,2.06E-02
42,101,4.34E-02
42,102,4.98E-02
42,103,3.15E-02
42,104,1.11E-02
42,105,2.17E-03
42,106,2.30E-04
42,107,1.31E-05
43,99,1.31E-05
43,100,2.30E-04
43,101,2.17E-03
43,102,1.11E-02
43,103,3.15E-02
43,104,4.98E-02
43,105,4.34E-02
43,106,2.06E-02
43,107,5.24E-03
43,108,7.15E-04
43,109,5.19E-05
43,110,1.99E-06
44,101,2.89E-06
44,102,6.62E-05
44,103,8.36E-04
44,104,5.91E-03
44,105,2.30E-02
44,106,4.87E-02
44,107,5.55E-02
44,108,3.38E-02
44,109,1.10E-02
44,110,1.88E-03
44,111,1.67E-04
44,112,7.57E-06
45,104,1.86E-05
45,105,3.25E-04
45,106,3.07E-03
45,107,1.56E-02
45,108,4.25E-02
45,109,6.17E-02
45,110,4.72E-02
45,111,1.88E-02
45,112,3.80E-03
45,113,3.92E-04
45,114,2.11E-05
46,106,5.13E-06
46,107,1.17E-04
46,108,1.42E-03
46,109,9.20E-03
46,110,3.15E-02
46,111,5.59E-02
46,112,5.05E-02
46,113,2.33E-02
46,114,5.61E-03
46,115,7.10E-04
46,116,4.73E-05
46,117,1.65E-06
47,108,1.26E-06
47,109,3.65E-05
47,110,5.58E-04
47,111,4.43E-03
47,112,1.79E-02
47,113,3.69E-02
47,114,3.96E-02
47,115,2.24E-02
47,116,6.66E-03
47,117,1.04E-03
47,118,8.47E-05
47,119,3.61E-06
48,111,9.31E-06
48,112,1.68E-04
48,113,1.55E-03
48,114,7.44E-03
48,115,1.88E-02
48,116,2.50E-02
48,117,1.74E-02
48,118,6.34E-03
48,119,1.21E-03
48,120,1.25E-04
48,121,7.22E-06
49,113,1.73E-06
49,114,3.71E-05
49,115,4.18E-04
49,116,2.49E-03
49,117,7.75E-03
49,118,1.26E-02
49,119,1.07E-02
49,120,4.95E-03
49,121,1.28E-03
49,122,1.78E-04
49,123,1.26E-05
50,116,6.57E-06
50,117,9.16E-05
50,118,6.65E-04
50,119,2.53E-03
50,120,5.22E-03
50,121,6.04E-03
50,122,3.75E-03
50,123,1.19E-03
50,124,1.94E-04
50,125,1.66E-05
51,119,1.59E-05
51,120,1.46E-04
51,121,7.55E-04
51,122,2.09E-03
51,123,2.97E-03
51,124,2.16E-03
51,125,8.26E-04
51,126,1.67E-04
51,127,1.80E-05
51,128,1.10E-06
52,121,2.51E-06
52,122,3.11E-05
52,123,1.97E-04
52,124,6.42E-04
52,125,1.10E-03
52,126,9.87E-04
52,127,4.77E-04
52,128,1.30E-04
52,129,2.06E-05
52,130,1.84E-06
53,124,5.06E-06
53,125,3.86E-05
53,126,1.55E-04
53,127,3.36E-04
53,128,4.07E-04
53,129,2.89E-04
53,130,1.15E-04
53,131,2.29E-05
53,132,2.01E-06
54,127,6.27E-06
54,128,3.40E-05
54,129,1.08E-04
54,130,1.92E-04
54,131,1.70E-04
54,132,6.69E-05
55,129,1.07E-06
55,130,8.50E-06
55,131,3.37E-05
55,132,5.91E-05
56,132,1.39E-06
