! 72Zn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000177342	0.001000	0.000177342	0.001000	0.000155765	0.001000	0.000155765	0.001000	0.000155775	0.001000	4.54869e-05	0.001000	0.000131855	
0.002000	0.000175286	0.002000	0.000175286	0.002000	0.00015011	0.002000	0.00015011	0.002000	0.000150117	0.002000	5.89893e-05	0.002000	0.000116297	
0.005000	0.000168227	0.005000	0.000168227	0.005000	0.000138511	0.005000	0.000138511	0.005000	0.000138516	0.005000	8.31765e-05	0.005000	8.5051e-05	
0.008000	0.000167458	0.008000	0.000167458	0.008000	0.000135872	0.008000	0.000135872	0.008000	0.000135875	0.008000	9.92077e-05	0.008000	6.82504e-05	
0.010000	0.000168595	0.010000	0.000168595	0.010000	0.000136331	0.010000	0.000136331	0.010000	0.000136334	0.010000	0.000107867	0.010000	6.07284e-05	
0.015000	0.000173829	0.015000	0.000173829	0.015000	0.000140842	0.015000	0.000140842	0.015000	0.000140844	0.015000	0.00012558	0.015000	4.82484e-05	
0.020000	0.000180361	0.020000	0.000180361	0.020000	0.000147393	0.020000	0.000147393	0.020000	0.000147394	0.020000	0.000139886	0.020000	4.04751e-05	
0.025000	0.000187192	0.025000	0.000187192	0.025000	0.000154635	0.025000	0.000154635	0.025000	0.000154636	0.025000	0.000152095	0.025000	3.50971e-05	
0.030000	0.000193979	0.030000	0.000193979	0.030000	0.000162069	0.030000	0.000162069	0.030000	0.00016207	0.030000	0.000162857	0.030000	3.1122e-05	
0.035000	0.000200596	0.035000	0.000200596	0.035000	0.000169485	0.035000	0.000169485	0.035000	0.000169486	0.035000	0.000172549	0.035000	2.80467e-05	
0.040000	0.000209292	0.040000	0.000209292	0.040000	0.000178449	0.040000	0.000178449	0.040000	0.00017845	0.040000	0.000183705	0.040000	2.55866e-05	
0.045000	0.00022818	0.045000	0.00022818	0.045000	0.000195606	0.045000	0.000195606	0.045000	0.000195607	0.045000	0.000204613	0.045000	2.35677e-05	
0.050000	0.000245794	0.050000	0.000245794	0.050000	0.00021294	0.050000	0.00021294	0.050000	0.000212941	0.050000	0.000224122	0.050000	2.16713e-05	
0.055000	0.000262806	0.055000	0.000262806	0.055000	0.000230736	0.055000	0.000230736	0.055000	0.000230736	0.055000	0.000242556	0.055000	2.02501e-05	
0.060000	0.000279202	0.060000	0.000279202	0.060000	0.00024865	0.060000	0.00024865	0.060000	0.000248651	0.060000	0.00026018	0.060000	1.90219e-05	
0.070000	0.000310678	0.070000	0.000310678	0.070000	0.000284478	0.070000	0.000284478	0.070000	0.000284479	0.070000	0.000293676	0.070000	1.7002e-05	
0.080000	0.000340776	0.080000	0.000340776	0.080000	0.000319836	0.080000	0.000319836	0.080000	0.000319837	0.080000	0.000325371	0.080000	1.54054e-05	
0.090000	0.000369579	0.090000	0.000369579	0.090000	0.000354302	0.090000	0.000354302	0.090000	0.000354303	0.090000	0.00035547	0.090000	1.41082e-05	
0.100000	0.000397033	0.100000	0.000397033	0.100000	0.00038757	0.100000	0.00038757	0.100000	0.000387571	0.100000	0.000384002	0.100000	1.30311e-05	
0.120000	0.000453706	0.120000	0.000453706	0.120000	0.000449724	0.120000	0.000449724	0.120000	0.000449724	0.120000	0.000442365	0.120000	1.13405e-05	
0.140000	0.000513691	0.140000	0.000513691	0.140000	0.000505357	0.140000	0.000505357	0.140000	0.000505357	0.140000	0.000503622	0.140000	1.00692e-05	
0.160000	0.000566583	0.160000	0.000566583	0.160000	0.000554283	0.160000	0.000554283	0.160000	0.000554284	0.160000	0.000557508	0.160000	9.07489e-06	
0.180000	0.000613032	0.180000	0.000613032	0.180000	0.000596781	0.180000	0.000596781	0.180000	0.000596782	0.180000	0.000604758	0.180000	8.27383e-06	
0.200000	0.000653821	0.200000	0.000653821	0.200000	0.000633388	0.200000	0.000633388	0.200000	0.000633389	0.200000	0.000646208	0.200000	7.6133e-06	
0.250000	0.000736481	0.250000	0.000736481	0.250000	0.000703491	0.250000	0.000703491	0.250000	0.000703491	0.250000	0.000730108	0.250000	6.37336e-06	
0.300000	0.000805163	0.300000	0.000805163	0.300000	0.000750985	0.300000	0.000750985	0.300000	0.000750986	0.300000	0.000799659	0.300000	5.50363e-06	
0.350000	0.000857041	0.350000	0.000857041	0.350000	0.000783819	0.350000	0.000783819	0.350000	0.00078382	0.350000	0.000852184	0.350000	4.8569e-06	
0.400000	0.000896841	0.400000	0.000896841	0.400000	0.000811198	0.400000	0.000811198	0.400000	0.000811199	0.400000	0.000892486	0.400000	4.35552e-06	
0.450000	0.000927749	0.450000	0.000927749	0.450000	0.000842738	0.450000	0.000842738	0.450000	0.000842739	0.450000	0.000923795	0.450000	3.95448e-06	
0.500000	0.00096447	0.500000	0.00096447	0.500000	0.000867335	0.500000	0.000867335	0.500000	0.000867336	0.500000	0.000960845	0.500000	3.62577e-06	
0.600000	0.00103385	0.600000	0.00103385	0.600000	0.000902866	0.600000	0.000902866	0.600000	0.000902867	0.600000	0.00103073	0.600000	3.11773e-06	
0.700000	0.00108064	0.700000	0.00108064	0.700000	0.000926828	0.700000	0.000926828	0.700000	0.000926829	0.700000	0.00107789	0.700000	2.74209e-06	
0.800000	0.00111196	0.800000	0.00111196	0.800000	0.000943453	0.800000	0.000943453	0.800000	0.000943453	0.800000	0.00110951	0.800000	2.4522e-06	
0.900000	0.00112576	0.900000	0.00112576	0.900000	0.000954956	0.900000	0.000954956	0.900000	0.000954956	0.900000	0.00112354	0.900000	2.22118e-06	
1.000000	0.00112975	1.000000	0.00112975	1.000000	0.000962652	1.000000	0.000962652	1.000000	0.000962653	1.000000	0.00112772	1.000000	2.03243e-06	
1.250000	0.00112371	1.250000	0.00112371	1.250000	0.000970334	1.250000	0.000970334	1.250000	0.000970334	1.250000	0.00112203	1.250000	1.68249e-06	
1.500000	0.00109901	1.500000	0.00109901	1.500000	0.000967318	1.500000	0.000967318	1.500000	0.000967319	1.500000	0.00109757	1.500000	1.44057e-06	
1.750000	0.00106053	1.750000	0.00106053	1.750000	0.000957969	1.750000	0.000957969	1.750000	0.000957969	1.750000	0.00105926	1.750000	1.26268e-06	
2.000000	0.00102548	2.000000	0.00102548	2.000000	0.000944833	2.000000	0.000944833	2.000000	0.000944834	2.000000	0.00102435	2.000000	1.12599e-06	
2.250000	0.000993269	2.250000	0.000993269	2.250000	0.000929475	2.250000	0.000929475	2.250000	0.000929475	2.250000	0.000992252	2.250000	1.01746e-06	
2.500000	0.00111508	2.500000	0.000962904	2.500000	0.000910861	2.500000	0.000910861	2.500000	0.000910861	2.500000	0.000961975	2.500000	9.29064e-07	
3.000000	0.00105291	3.000000	0.000907772	3.000000	0.000870199	3.000000	0.000870199	3.000000	0.0008702 	3.000000	0.000906979	3.000000	7.9347e-07	
3.500000	0.000995543	3.500000	0.000860137	3.500000	0.000832875	3.500000	0.000832875	3.500000	0.000832876	3.500000	0.000859443	3.500000	6.94067e-07	
4.000000	0.000943452	4.000000	0.000818173	4.000000	0.000798561	4.000000	0.000798561	4.000000	0.000798561	4.000000	0.000817555	4.000000	6.17883e-07	
4.500000	0.000896362	4.500000	0.00077974	4.500000	0.000766954	4.500000	0.000766954	4.500000	0.000766955	4.500000	0.000779182	4.500000	5.57519e-07	
5.000000	0.000853781	5.000000	0.000745438	5.000000	0.000737777	5.000000	0.000737777	5.000000	0.000737777	5.000000	0.00074493	5.000000	5.08442e-07	
5.500000	0.00081519	5.500000	0.000714657	5.500000	0.000710775	5.500000	0.000710775	5.500000	0.000710775	5.500000	0.000714189	5.500000	4.67709e-07	
6.000000	0.000780104	6.000000	0.000686859	6.000000	0.000685722	6.000000	0.000685722	6.000000	0.000685723	6.000000	0.000686425	6.000000	4.33326e-07	
6.500000	0.00074809	6.500000	0.0006613 	6.500000	0.000662419	6.500000	0.000662419	6.500000	0.00066242	6.500000	0.000660896	6.500000	4.03894e-07	
7.000000	0.000718776	7.000000	0.000637694	7.000000	0.000640691	7.000000	0.000640691	7.000000	0.000640691	7.000000	0.000637316	7.000000	3.78398e-07	
7.500000	0.000691839	7.500000	0.000615798	7.500000	0.000620382	7.500000	0.000620382	7.500000	0.000620382	7.500000	0.000615442	7.500000	3.56085e-07	
8.000000	0.000667004	8.000000	0.000595418	8.000000	0.000601357	8.000000	0.000601357	8.000000	0.000601358	8.000000	0.000595081	8.000000	3.36385e-07	
8.500000	0.000644035	8.500000	0.000576406	8.500000	0.000583497	8.500000	0.000583497	8.500000	0.000583498	8.500000	0.000576087	8.500000	3.18856e-07	
9.000000	0.000622727	9.000000	0.000558621	9.000000	0.000566697	9.000000	0.000566697	9.000000	0.000566697	9.000000	0.000558317	9.000000	3.03154e-07	
9.500000	0.000602905	9.500000	0.000541938	9.500000	0.000550863	9.500000	0.000550863	9.500000	0.000550864	9.500000	0.000541649	9.500000	2.89001e-07	
10.000000	0.000584417	10.000000	0.000504364	10.000000	0.000535914	10.000000	0.000535914	10.000000	0.000535914	10.000000	0.000504088	10.000000	2.76176e-07	
11.000000	0.000550933	11.000000	0.000483337	11.000000	0.000505366	11.000000	0.000509105	11.000000	0.000510462	11.000000	0.000483083	11.000000	2.53813e-07	
12.000000	0.000521402	12.000000	0.000463846	12.000000	0.000478352	12.000000	0.000485069	12.000000	0.000487244	12.000000	0.000463611	12.000000	2.34959e-07	
13.000000	0.000495154	13.000000	0.000445791	13.000000	0.000454311	13.000000	0.000463411	13.000000	0.000466026	13.000000	0.000445572	13.000000	2.18835e-07	
14.000000	0.000471659	14.000000	0.000429058	14.000000	0.000432795	14.000000	0.000443803	14.000000	0.000446594	14.000000	0.000428853	14.000000	2.04881e-07	
15.000000	0.000450499	15.000000	0.000413531	15.000000	0.000413437	15.000000	0.000425979	15.000000	0.00042876	15.000000	0.000413338	15.000000	1.92679e-07	
16.000000	0.000431334	16.000000	0.0003991 	16.000000	0.000395939	16.000000	0.000409712	16.000000	0.000412358	16.000000	0.000398918	16.000000	1.81914e-07	
17.000000	0.00041389	17.000000	0.000385663	17.000000	0.000380057	17.000000	0.000394817	17.000000	0.000397242	17.000000	0.000385491	17.000000	1.72343e-07	
18.000000	0.000397941	18.000000	0.000373129	18.000000	0.000365589	18.000000	0.000381133	18.000000	0.000383264	18.000000	0.000372965	18.000000	1.63774e-07	
19.000000	0.000383299	19.000000	0.000361413	19.000000	0.000352371	19.000000	0.000368526	19.000000	0.000370334	19.000000	0.000361257	19.000000	1.56056e-07	
