! 74Ga energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000183493	0.001000	0.000183493	0.001000	0.000160563	0.001000	0.000160563	0.001000	0.000160573	0.001000	4.71782e-05	0.001000	0.000136315	
0.002000	0.000182016	0.002000	0.000182016	0.002000	0.000155125	0.002000	0.000155125	0.002000	0.000155133	0.002000	6.11825e-05	0.002000	0.000120834	
0.005000	0.00017521	0.005000	0.00017521	0.005000	0.000143158	0.005000	0.000143158	0.005000	0.000143162	0.005000	8.6269e-05	0.005000	8.89407e-05	
0.008000	0.000174472	0.008000	0.000174472	0.008000	0.000140155	0.008000	0.000140155	0.008000	0.000140158	0.008000	0.000102896	0.008000	7.15758e-05	
0.010000	0.000175642	0.010000	0.000175642	0.010000	0.000140438	0.010000	0.000140438	0.010000	0.000140441	0.010000	0.000111877	0.010000	6.37646e-05	
0.015000	0.00018101	0.015000	0.00018101	0.015000	0.000144665	0.015000	0.000144665	0.015000	0.000144667	0.015000	0.000130249	0.015000	5.07606e-05	
0.020000	0.000187721	0.020000	0.000187721	0.020000	0.000151066	0.020000	0.000151066	0.020000	0.000151068	0.020000	0.000145087	0.020000	4.26345e-05	
0.025000	0.000194751	0.025000	0.000194751	0.025000	0.000158231	0.025000	0.000158231	0.025000	0.000158232	0.025000	0.00015775	0.025000	3.70012e-05	
0.030000	0.000201744	0.030000	0.000201744	0.030000	0.000165632	0.030000	0.000165632	0.030000	0.000165633	0.030000	0.000168912	0.030000	3.28315e-05	
0.035000	0.000208567	0.035000	0.000208567	0.035000	0.000173043	0.035000	0.000173043	0.035000	0.000173044	0.035000	0.000178964	0.035000	2.96022e-05	
0.040000	0.000215171	0.040000	0.000215171	0.040000	0.000180361	0.040000	0.000180361	0.040000	0.000180362	0.040000	0.000188154	0.040000	2.70169e-05	
0.045000	0.00023206	0.045000	0.00023206	0.045000	0.000195899	0.045000	0.000195899	0.045000	0.0001959 	0.045000	0.000207167	0.045000	2.48936e-05	
