! 79As energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000154711	0.001000	0.00018238	0.001000	0.000170096	0.001000	0.000170096	0.001000	0.000170106	0.001000	3.71754e-05	0.001000	0.000145205	
0.002000	0.000154461	0.002000	0.000178145	0.002000	0.000165135	0.002000	0.000165135	0.002000	0.000165143	0.002000	4.82105e-05	0.002000	0.000129935	
0.005000	0.000149489	0.005000	0.0001648 	0.005000	0.000152476	0.005000	0.000152476	0.005000	0.000152481	0.005000	6.79781e-05	0.005000	9.68218e-05	
0.008000	0.000148952	0.008000	0.000159427	0.008000	0.000148744	0.008000	0.000148744	0.008000	0.000148747	0.008000	8.108e-05 	0.008000	7.83468e-05	
0.010000	0.000149922	0.010000	0.000158117	0.010000	0.000148666	0.010000	0.000148666	0.010000	0.000148669	0.010000	8.81567e-05	0.010000	6.99602e-05	
0.015000	0.000154359	0.015000	0.000158538	0.015000	0.000152299	0.015000	0.000152299	0.015000	0.000152301	0.015000	0.000102634	0.015000	5.59048e-05	
0.020000	0.00015993	0.020000	0.000161391	0.020000	0.000158372	0.020000	0.000158372	0.020000	0.000158374	0.020000	0.000114325	0.020000	4.70662e-05	
0.025000	0.000165785	0.025000	0.000165218	0.025000	0.000165358	0.025000	0.000165358	0.025000	0.00016536	0.025000	0.000124303	0.025000	4.09148e-05	
0.030000	0.000171623	0.030000	0.000169448	0.030000	0.00017267	0.030000	0.00017267	0.030000	0.000172671	0.030000	0.000133099	0.030000	3.63492e-05	
0.035000	0.000184956	0.035000	0.000173826	0.035000	0.000180049	0.035000	0.000180049	0.035000	0.00018005	0.035000	0.00014102	0.035000	3.2806e-05	
0.040000	0.000202838	0.040000	0.000178226	0.040000	0.000187374	0.040000	0.000187374	0.040000	0.000187375	0.040000	0.000148261	0.040000	2.99647e-05	
0.045000	0.000219297	0.045000	0.000184644	0.045000	0.000195699	0.045000	0.000195699	0.045000	0.0001957 	0.045000	0.000157016	0.045000	2.76283e-05	
0.050000	0.000233942	0.050000	0.000208775	0.050000	0.000213735	0.050000	0.000213735	0.050000	0.000213736	0.050000	0.000183107	0.050000	2.56683e-05	
0.055000	0.000253534	0.055000	0.000232906	0.055000	0.000231905	0.055000	0.000231905	0.055000	0.000231906	0.055000	0.000209135	0.055000	2.37713e-05	
0.060000	0.000272353	0.060000	0.000257403	0.060000	0.000250546	0.060000	0.000250546	0.060000	0.000250547	0.060000	0.000235057	0.060000	2.23461e-05	
0.070000	0.000302627	0.070000	0.000306443	0.070000	0.000288069	0.070000	0.000288069	0.070000	0.000288069	0.070000	0.000286445	0.070000	1.99978e-05	
0.080000	0.000325658	0.080000	0.000352956	0.080000	0.000325365	0.080000	0.000325365	0.080000	0.000325366	0.080000	0.000334818	0.080000	1.81378e-05	
0.090000	0.000345793	0.090000	0.000382418	0.090000	0.000361937	0.090000	0.000361937	0.090000	0.000361938	0.090000	0.000365794	0.090000	1.6624e-05	
0.100000	0.000363637	0.100000	0.00041059	0.100000	0.00039742	0.100000	0.00039742	0.100000	0.000397421	0.100000	0.000395225	0.100000	1.53654e-05	
0.120000	0.00038816	0.120000	0.000462867	0.120000	0.000464155	0.120000	0.000464155	0.120000	0.000464155	0.120000	0.00044948	0.120000	1.33868e-05	
0.140000	0.000418697	0.140000	0.000521543	0.140000	0.000524365	0.140000	0.000524365	0.140000	0.000524366	0.140000	0.000509647	0.140000	1.18964e-05	
0.160000	0.000445982	0.160000	0.000581069	0.160000	0.000577706	0.160000	0.000577706	0.160000	0.000577706	0.160000	0.00057034	0.160000	1.07292e-05	
0.180000	0.000471664	0.180000	0.000633857	0.180000	0.000624364	0.180000	0.000624364	0.180000	0.000624365	0.180000	0.000624069	0.180000	9.78787e-06	
0.200000	0.000496582	0.200000	0.000680594	0.200000	0.000664836	0.200000	0.000664836	0.200000	0.000664837	0.200000	0.000671583	0.200000	9.01099e-06	
0.250000	0.000539811	0.250000	0.000775667	0.250000	0.000743275	0.250000	0.000743275	0.250000	0.000743276	0.250000	0.000768116	0.250000	7.55087e-06	
0.300000	0.000580916	0.300000	0.000849354	0.300000	0.000797429	0.300000	0.000797429	0.300000	0.00079743	0.300000	0.000842828	0.300000	6.52531e-06	
0.350000	0.000618465	0.350000	0.000908729	0.350000	0.00083563	0.350000	0.00083563	0.350000	0.00083563	0.350000	0.000902967	0.350000	5.76192e-06	
0.400000	0.000651342	0.400000	0.000954954	0.400000	0.000863587	0.400000	0.000863587	0.400000	0.000863588	0.400000	0.000949784	0.400000	5.16962e-06	
0.450000	0.000679933	0.450000	0.000991403	0.450000	0.00088769	0.450000	0.00088769	0.450000	0.000887691	0.450000	0.000986708	0.450000	4.69554e-06	
0.500000	0.000704693	0.500000	0.00102042	0.500000	0.000917792	0.500000	0.000917792	0.500000	0.000917793	0.500000	0.00101612	0.500000	4.30674e-06	
0.600000	0.000735294	0.600000	0.00108401	0.600000	0.000962544	0.600000	0.000962544	0.600000	0.000962545	0.600000	0.0010803 	0.600000	3.70541e-06	
0.700000	0.000752785	0.700000	0.0011371 	0.700000	0.000993953	0.700000	0.000993953	0.700000	0.000993954	0.700000	0.00113384	0.700000	3.26047e-06	
0.800000	0.000787202	0.800000	0.00117369	0.800000	0.00101673	0.800000	0.00101673	0.800000	0.00101673	0.800000	0.00117077	0.800000	2.91688e-06	
0.900000	0.000813403	0.900000	0.00119857	0.900000	0.0010334 	0.900000	0.0010334 	0.900000	0.0010334 	0.900000	0.00119592	0.900000	2.64294e-06	
1.000000	0.000828824	1.000000	0.00120898	1.000000	0.00104548	1.000000	0.00104548	1.000000	0.00104548	1.000000	0.00120656	1.000000	2.41902e-06	
1.250000	0.000843682	1.250000	0.00120441	1.250000	0.00106156	1.250000	0.00106156	1.250000	0.00106156	1.250000	0.0012024 	1.250000	2.00364e-06	
1.500000	0.000845322	1.500000	0.00118763	1.500000	0.00106434	1.500000	0.00106434	1.500000	0.00106434	1.500000	0.00118591	1.500000	1.71628e-06	
1.750000	0.000835055	1.750000	0.00115885	1.750000	0.00105903	1.750000	0.00105903	1.750000	0.00105903	1.750000	0.00115734	1.750000	1.50486e-06	
2.000000	0.000819595	2.000000	0.00112581	2.000000	0.00104869	2.000000	0.00104869	2.000000	0.00104869	2.000000	0.00112447	2.000000	1.34234e-06	
2.250000	0.000804868	2.250000	0.00109498	2.250000	0.00103522	2.250000	0.00103522	2.250000	0.00103523	2.250000	0.00109376	2.250000	1.21325e-06	
2.500000	0.00102477	2.500000	0.00106606	2.500000	0.00101986	2.500000	0.00101986	2.500000	0.00101986	2.500000	0.00106495	2.500000	1.10808e-06	
3.000000	0.000976854	3.000000	0.00101317	3.000000	0.000982022	3.000000	0.000982022	3.000000	0.000982022	3.000000	0.00101222	3.000000	9.46691e-07	
3.500000	0.000930137	3.500000	0.000965844	3.500000	0.000942859	3.500000	0.000942859	3.500000	0.00094286	3.500000	0.000965016	3.500000	8.28329e-07	
4.000000	0.000886302	4.000000	0.000923148	4.000000	0.000906579	4.000000	0.000906579	4.000000	0.000906579	4.000000	0.000922411	4.000000	7.37582e-07	
4.500000	0.000845805	4.500000	0.000884372	4.500000	0.000872945	4.500000	0.000872945	4.500000	0.000872946	4.500000	0.000883707	4.500000	6.6566e-07	
5.000000	0.000808616	5.000000	0.000848296	5.000000	0.000841722	5.000000	0.000841722	5.000000	0.000841723	5.000000	0.000847688	5.000000	6.0717e-07	
5.500000	0.000774517	5.500000	0.00081533	5.500000	0.000812685	5.500000	0.000812685	5.500000	0.000812685	5.500000	0.000814771	5.500000	5.58614e-07	
6.000000	0.00074323	6.000000	0.000785204	6.000000	0.000785624	6.000000	0.000785624	6.000000	0.000785625	6.000000	0.000784687	6.000000	5.17621e-07	
6.500000	0.000714473	6.500000	0.000757403	6.500000	0.000760353	6.500000	0.000760353	6.500000	0.000760354	6.500000	0.000756921	6.500000	4.82524e-07	
7.000000	0.00068798	7.000000	0.000731718	7.000000	0.000736703	7.000000	0.000736703	7.000000	0.000736704	7.000000	0.000731266	7.000000	4.52115e-07	
7.500000	0.000663512	7.500000	0.000707902	7.500000	0.000714524	7.500000	0.000714524	7.500000	0.000714525	7.500000	0.000707477	7.500000	4.255e-07 	
8.000000	0.000640854	8.000000	0.000685721	8.000000	0.000693683	8.000000	0.000693683	8.000000	0.000693684	8.000000	0.000685319	8.000000	4.01998e-07	
8.500000	0.000619818	8.500000	0.000664992	8.500000	0.000674062	8.500000	0.000674062	8.500000	0.000674063	8.500000	0.00066461	8.500000	3.81084e-07	
9.000000	0.000600238	9.000000	0.000645523	9.000000	0.000655555	9.000000	0.000655555	9.000000	0.000655555	9.000000	0.000645161	9.000000	3.62347e-07	
9.500000	0.00058197	9.500000	0.000627174	9.500000	0.000638068	9.500000	0.000638068	9.500000	0.000638069	9.500000	0.000626829	9.500000	3.45457e-07	
10.000000	0.000564885	10.000000	0.000584485	10.000000	0.000621519	10.000000	0.000621519	10.000000	0.000621519	10.000000	0.000584155	10.000000	3.3015e-07	
11.000000	0.000533833	11.000000	0.000561489	11.000000	0.000587081	11.000000	0.000591827	11.000000	0.000593881	11.000000	0.000561186	11.000000	3.03457e-07	
12.000000	0.000506337	12.000000	0.000540031	12.000000	0.000556538	12.000000	0.000565106	12.000000	0.000568474	12.000000	0.000539751	12.000000	2.80948e-07	
13.000000	0.00048181	13.000000	0.000520045	13.000000	0.000529286	13.000000	0.000540946	13.000000	0.0005451 	13.000000	0.000519784	13.000000	2.61697e-07	
14.000000	0.000459789	14.000000	0.000501434	14.000000	0.000504837	14.000000	0.000519008	14.000000	0.000523569	14.000000	0.000501189	14.000000	2.45033e-07	
15.000000	0.000439903	15.000000	0.000484093	15.000000	0.000482795	15.000000	0.000499009	15.000000	0.000503706	15.000000	0.000483863	15.000000	2.3046e-07	
16.000000	0.000421848	16.000000	0.000467916	16.000000	0.000462842	16.000000	0.000480713	16.000000	0.000485353	16.000000	0.000467699	16.000000	2.17602e-07	
17.000000	0.000405379	17.000000	0.000452804	17.000000	0.000444709	17.000000	0.00046392	17.000000	0.000468369	17.000000	0.000452598	17.000000	2.06169e-07	
18.000000	0.00039029	18.000000	0.000438664	18.000000	0.000428162	18.000000	0.000448459	18.000000	0.000452603	18.000000	0.000438469	18.000000	1.95932e-07	
19.000000	0.000376411	19.000000	0.000425412	19.000000	0.000413013	19.000000	0.000434188	19.000000	0.000437969	19.000000	0.000425225	19.000000	1.8671e-07	
20.000000	0.000363599	20.000000	0.000412971	20.000000	0.000399106	20.000000	0.000420981	20.000000	0.00042437	20.000000	0.000412792	20.000000	1.78358e-07	
21.000000	0.000351733	21.000000	0.000401271	21.000000	0.000386312	21.000000	0.00040873	21.000000	0.000411675	21.000000	0.0004011 	21.000000	1.70755e-07	
22.000000	0.000340709	22.000000	0.000390251	22.000000	0.000374518	22.000000	0.000397344	22.000000	0.000399852	22.000000	0.000390087	22.000000	1.63804e-07	
23.000000	0.000330439	23.000000	0.000379855	23.000000	0.000363619	23.000000	0.00038674	23.000000	0.000388797	23.000000	0.000379697	23.000000	1.57423e-07	
24.000000	0.000320846	24.000000	0.000370032	24.000000	0.000353519	24.000000	0.000376847	24.000000	0.000378464	24.000000	0.00036988	24.000000	1.51543e-07	
25.000000	0.000311864	25.000000	0.000360737	25.000000	0.000344142	25.000000	0.000367602	25.000000	0.000368786	25.000000	0.000360591	25.000000	1.46107e-07	
27.000000	0.000295507	27.000000	0.000343573	27.000000	0.000327316	27.000000	0.000350842	27.000000	0.000351202	27.000000	0.000343436	27.000000	1.36377e-07	
29.000000	0.000280985	29.000000	0.00032808	29.000000	0.000312705	29.000000	0.000336085	29.000000	0.000335693	29.000000	0.000327952	29.000000	1.27916e-07	
31.000000	0.000268  	31.000000	0.000314027	31.000000	0.000299965	31.000000	0.000321951	31.000000	0.000320814	31.000000	0.000313907	31.000000	1.20488e-07	
33.000000	0.000256314	33.000000	0.000301224	33.000000	0.000288446	33.000000	0.000308168	33.000000	0.000306439	33.000000	0.00030111	33.000000	1.13912e-07	
35.000000	0.000245738	35.000000	0.000289512	35.000000	0.000277857	35.000000	0.000295616	35.000000	0.000293494	35.000000	0.000289404	35.000000	1.08047e-07	
38.000000	0.000231624	38.000000	0.000273702	38.000000	0.000263483	38.000000	0.000278757	38.000000	0.0002763 	38.000000	0.000273602	38.000000	1.00346e-07	
41.000000	0.000219255	41.000000	0.000259685	41.000000	0.000250655	41.000000	0.000263887	41.000000	0.000261293	41.000000	0.000259591	41.000000	9.3714e-08	
44.000000	0.000208321	44.000000	0.000247172	44.000000	0.000239156	44.000000	0.000250673	44.000000	0.000248068	44.000000	0.000247084	44.000000	8.79395e-08	
47.000000	0.00019858	47.000000	0.000235934	47.000000	0.000228803	47.000000	0.000238853	47.000000	0.000236316	47.000000	0.000235851	47.000000	8.28642e-08	
