! 84Br energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000207185	0.001000	0.000207185	0.001000	0.000180566	0.001000	0.000180566	0.001000	0.000180576	0.001000	5.32422e-05	0.001000	0.000153943	
0.002000	0.000208026	0.002000	0.000208026	0.002000	0.000176628	0.002000	0.000176628	0.002000	0.000176635	0.002000	6.90466e-05	0.002000	0.000138979	
0.005000	0.000202137	0.005000	0.000202137	0.005000	0.000164304	0.005000	0.000164304	0.005000	0.000164309	0.005000	9.73576e-05	0.005000	0.000104779	
0.008000	0.000201357	0.008000	0.000201357	0.008000	0.000160527	0.008000	0.000160527	0.008000	0.000160531	0.008000	0.000116122	0.008000	8.52344e-05	
0.010000	0.00020254	0.010000	0.00020254	0.010000	0.000160462	0.010000	0.000160462	0.010000	0.000160465	0.010000	0.000126257	0.010000	7.62827e-05	
0.015000	0.000208173	0.015000	0.000208173	0.015000	0.00016428	0.015000	0.00016428	0.015000	0.000164282	0.015000	0.000146991	0.015000	6.11818e-05	
0.020000	0.000215362	0.020000	0.000215362	0.020000	0.000170674	0.020000	0.000170674	0.020000	0.000170675	0.020000	0.000163735	0.020000	5.16269e-05	
0.025000	0.000222977	0.025000	0.000222977	0.025000	0.000178049	0.025000	0.000178049	0.025000	0.000178051	0.025000	0.000178026	0.025000	4.49514e-05	
0.030000	0.000230607	0.030000	0.000230607	0.030000	0.000185785	0.030000	0.000185785	0.030000	0.000185786	0.030000	0.000190624	0.030000	3.99835e-05	
0.035000	0.000238088	0.035000	0.000238088	0.035000	0.000193604	0.035000	0.000193604	0.035000	0.000193605	0.035000	0.000201968	0.035000	3.61204e-05	
0.040000	0.000245356	0.040000	0.000245356	0.040000	0.000201374	0.040000	0.000201374	0.040000	0.000201375	0.040000	0.000212338	0.040000	3.30176e-05	
0.045000	0.00025239	0.045000	0.00025239	0.045000	0.000209032	0.045000	0.000209032	0.045000	0.000209033	0.045000	0.000221927	0.045000	3.04629e-05	
0.050000	0.000263557	0.050000	0.000263557	0.050000	0.000220752	0.050000	0.000220752	0.050000	0.000220753	0.050000	0.000235239	0.050000	2.83175e-05	
