! 86Kr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	11.824    	0.001000	11.824    	0.001000	10.351    	0.001000	10.351    	0.001000	10.3516   	0.001000	3.0341    	0.001000	8.78987   	
0.002000	11.9041   	0.002000	11.9041   	0.002000	10.1771   	0.002000	10.1771   	0.002000	10.1775   	0.002000	3.93474   	0.002000	7.96933   	
0.005000	11.5906   	0.005000	11.5906   	0.005000	9.53307   	0.005000	9.53307   	0.005000	9.53335   	0.005000	5.5481    	0.005000	6.04249   	
0.008000	11.5455   	0.008000	11.5455   	0.008000	9.34331   	0.008000	9.34331   	0.008000	9.34352   	0.008000	6.61743   	0.008000	4.92811   	
0.010000	11.6104   	0.010000	11.6104   	0.010000	9.35176   	0.010000	9.35176   	0.010000	9.35194   	0.010000	7.19499   	0.010000	4.41544   	
0.015000	11.9243   	0.015000	11.9243   	0.015000	9.59348   	0.015000	9.59348   	0.015000	9.59361   	0.015000	8.37654   	0.015000	3.54778   	
0.020000	12.3278   	0.020000	12.3278   	0.020000	9.97803   	0.020000	9.97803   	0.020000	9.97814   	0.020000	9.33075   	0.020000	2.9971    	
0.025000	12.7568   	0.025000	12.7568   	0.025000	10.4165   	0.025000	10.4165   	0.025000	10.4166   	0.025000	10.1451   	0.025000	2.61163   	
0.030000	13.1874   	0.030000	13.1874   	0.030000	10.8742   	0.030000	10.8742   	0.030000	10.8743   	0.030000	10.863    	0.030000	2.32438   	
0.035000	13.6103   	0.035000	13.6103   	0.035000	11.3357   	0.035000	11.3357   	0.035000	11.3357   	0.035000	11.5095   	0.035000	2.10079   	
0.040000	14.0216   	0.040000	14.0216   	0.040000	11.7936   	0.040000	11.7936   	0.040000	11.7936   	0.040000	12.1005   	0.040000	1.92107   	
0.045000	14.4199   	0.045000	14.4199   	0.045000	12.2443   	0.045000	12.2443   	0.045000	12.2444   	0.045000	12.6469   	0.045000	1.77299   	
0.050000	14.8081   	0.050000	14.8081   	0.050000	12.689    	0.050000	12.689    	0.050000	12.6891   	0.050000	13.1595   	0.050000	1.64858   	
0.055000	15.8175   	0.055000	15.8175   	0.055000	13.7646   	0.055000	13.7646   	0.055000	13.7647   	0.055000	14.2751   	0.055000	1.54237   	
0.060000	16.7814   	0.060000	16.7814   	0.060000	14.8414   	0.060000	14.8414   	0.060000	14.8414   	0.060000	15.3446   	0.060000	1.43678   	
0.070000	18.6708   	0.070000	18.6708   	0.070000	17.0427   	0.070000	17.0427   	0.070000	17.0427   	0.070000	17.3835   	0.070000	1.28733   	
0.080000	20.4879   	0.080000	20.4879   	0.080000	19.2347   	0.080000	19.2347   	0.080000	19.2348   	0.080000	19.3192   	0.080000	1.16871   	
0.090000	22.2353   	0.090000	22.2353   	0.090000	21.3874   	0.090000	21.3874   	0.090000	21.3875   	0.090000	21.1633   	0.090000	1.07201   	
0.100000	23.9081   	0.100000	23.9081   	0.100000	23.4788   	0.100000	23.4788   	0.100000	23.4788   	0.100000	22.9165   	0.100000	0.991509  	
0.120000	27.0156   	0.120000	27.0156   	0.120000	27.4193   	0.120000	27.4193   	0.120000	27.4194   	0.120000	26.1509   	0.120000	0.864757  	
0.140000	29.8067   	0.140000	29.8067   	0.140000	30.9828   	0.140000	30.9828   	0.140000	30.9828   	0.140000	29.0376   	0.140000	0.769121  	
0.160000	33.1547   	0.160000	33.1547   	0.160000	34.1468   	0.160000	34.1468   	0.160000	34.1468   	0.160000	32.4605   	0.160000	0.694128  	
0.180000	36.3222   	0.180000	36.3222   	0.180000	36.921    	0.180000	36.921    	0.180000	36.9211   	0.180000	35.6887   	0.180000	0.633583  	
0.200000	39.1448   	0.200000	39.1448   	0.200000	39.3335   	0.200000	39.3335   	0.200000	39.3335   	0.200000	38.5612   	0.200000	0.583574  	
0.250000	44.9421   	0.250000	44.9421   	0.250000	44.0314   	0.250000	44.0314   	0.250000	44.0314   	0.250000	44.4526   	0.250000	0.489476  	
0.300000	49.3587   	0.300000	49.3587   	0.300000	47.3019   	0.300000	47.3019   	0.300000	47.302    	0.300000	48.9354   	0.300000	0.423296  	
0.350000	52.8849   	0.350000	52.8849   	0.350000	49.6321   	0.350000	49.6321   	0.350000	49.6321   	0.350000	52.5109   	0.350000	0.373986  	
0.400000	55.7033   	0.400000	55.7033   	0.400000	51.3568   	0.400000	51.3568   	0.400000	51.3568   	0.400000	55.3676   	0.400000	0.335696  	
0.450000	57.9576   	0.450000	57.9576   	0.450000	52.6898   	0.450000	52.6898   	0.450000	52.6898   	0.450000	57.6526   	0.450000	0.305029  	
0.500000	59.7801   	0.500000	59.7801   	0.500000	53.7631   	0.500000	53.7631   	0.500000	53.7632   	0.500000	59.5002   	0.500000	0.279866  	
0.600000	62.4829   	0.600000	62.4829   	0.600000	56.4213   	0.600000	56.4213   	0.600000	56.4214   	0.600000	62.242    	0.600000	0.240921  	
0.700000	65.2315   	0.700000	65.2315   	0.700000	58.5951   	0.700000	58.5951   	0.700000	58.5951   	0.700000	65.0194   	0.700000	0.212084  	
