! 91Sr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00022393	0.001000	0.00022393	0.001000	0.000193043	0.001000	0.000193043	0.001000	0.000193053	0.001000	5.71953e-05	0.001000	0.000166735	
0.002000	0.000226568	0.002000	0.000226568	0.002000	0.000189599	0.002000	0.000189599	0.002000	0.000189607	0.002000	7.41731e-05	0.002000	0.000152395	
0.005000	0.000221399	0.005000	0.000221399	0.005000	0.000175635	0.005000	0.000175635	0.005000	0.00017564	0.005000	0.000104586	0.005000	0.000116813	
0.008000	0.00022049	0.008000	0.00022049	0.008000	0.00017015	0.008000	0.00017015	0.008000	0.000170154	0.008000	0.000124744	0.008000	9.57465e-05	
0.010000	0.000221602	0.010000	0.000221602	0.010000	0.000169156	0.010000	0.000169156	0.010000	0.000169159	0.010000	0.000135631	0.010000	8.59704e-05	
0.015000	0.000227224	0.015000	0.000227224	0.015000	0.0001712 	0.015000	0.0001712 	0.015000	0.000171203	0.015000	0.000157905	0.015000	6.93199e-05	
0.020000	0.000234581	0.020000	0.000234581	0.020000	0.000176329	0.020000	0.000176329	0.020000	0.000176331	0.020000	0.000175892	0.020000	5.86884e-05	
0.025000	0.000242463	0.025000	0.000242463	0.025000	0.000182745	0.025000	0.000182745	0.025000	0.000182747	0.025000	0.000191244	0.025000	5.12189e-05	
0.030000	0.000250415	0.030000	0.000250415	0.030000	0.000189717	0.030000	0.000189717	0.030000	0.000189719	0.030000	0.000204777	0.030000	4.56381e-05	
0.035000	0.000258249	0.035000	0.000258249	0.035000	0.000196909	0.035000	0.000196909	0.035000	0.00019691	0.035000	0.000216963	0.035000	4.12856e-05	
0.040000	0.000265886	0.040000	0.000265886	0.040000	0.00020415	0.040000	0.00020415	0.040000	0.000204151	0.040000	0.000228104	0.040000	3.77817e-05	
0.045000	0.000273296	0.045000	0.000273296	0.045000	0.000211351	0.045000	0.000211351	0.045000	0.000211352	0.045000	0.000238405	0.045000	3.48913e-05	
0.050000	0.000280473	0.050000	0.000280473	0.050000	0.000218465	0.050000	0.000218465	0.050000	0.000218466	0.050000	0.000248013	0.050000	3.24602e-05	
0.055000	0.000290364	0.055000	0.000290364	0.055000	0.000228531	0.055000	0.000228531	0.055000	0.000228532	0.055000	0.000259981	0.055000	3.03829e-05	
0.060000	0.00030853	0.060000	0.00030853	0.060000	0.000247832	0.060000	0.000247832	0.060000	0.000247833	0.060000	0.000279945	0.060000	2.85846e-05	
0.070000	0.000343461	0.070000	0.000343461	0.070000	0.00028694	0.070000	0.00028694	0.070000	0.000286941	0.070000	0.000318077	0.070000	2.53836e-05	
0.080000	0.0003774 	0.080000	0.0003774 	0.080000	0.000326603	0.080000	0.000326603	0.080000	0.000326604	0.080000	0.000354341	0.080000	2.30589e-05	
0.090000	0.000410089	0.090000	0.000410089	0.090000	0.000365916	0.090000	0.000365916	0.090000	0.000365917	0.090000	0.000388927	0.090000	2.11619e-05	
0.100000	0.000441419	0.100000	0.000441419	0.100000	0.000404411	0.100000	0.000404411	0.100000	0.000404412	0.100000	0.000421838	0.100000	1.95811e-05	
0.120000	0.000499701	0.120000	0.000499701	0.120000	0.000477666	0.120000	0.000477666	0.120000	0.000477667	0.120000	0.000482611	0.120000	1.70897e-05	
0.140000	0.000552113	0.140000	0.000552113	0.140000	0.000544672	0.140000	0.000544672	0.140000	0.000544672	0.140000	0.000536905	0.140000	1.52079e-05	
0.160000	0.000604372	0.160000	0.000604372	0.160000	0.000604766	0.160000	0.000604766	0.160000	0.000604767	0.160000	0.00059064	0.160000	1.3731e-05	
0.180000	0.000664057	0.180000	0.000664057	0.180000	0.000657944	0.180000	0.000657944	0.180000	0.000657945	0.180000	0.000651519	0.180000	1.25379e-05	
0.200000	0.000717464	0.200000	0.000717464	0.200000	0.00070459	0.200000	0.00070459	0.200000	0.00070459	0.200000	0.000705912	0.200000	1.15518e-05	
0.250000	0.000827844	0.250000	0.000827844	0.250000	0.000796702	0.250000	0.000796702	0.250000	0.000796702	0.250000	0.000818149	0.250000	9.69507e-06	
0.300000	0.000912616	0.300000	0.000912616	0.300000	0.000862104	0.300000	0.000862104	0.300000	0.000862105	0.300000	0.000904228	0.300000	8.38807e-06	
0.350000	0.000980708	0.350000	0.000980708	0.350000	0.000909566	0.350000	0.000909566	0.350000	0.000909566	0.350000	0.000973294	0.350000	7.4136e-06	
0.400000	0.00103998	0.400000	0.00103998	0.400000	0.000945271	0.400000	0.000945271	0.400000	0.000945272	0.400000	0.00103333	0.400000	6.65655e-06	
0.450000	0.00108765	0.450000	0.00108765	0.450000	0.000973239	0.450000	0.000973239	0.450000	0.00097324	0.450000	0.0010816 	0.450000	6.04995e-06	
0.500000	0.00112636	0.500000	0.00112636	0.500000	0.000995991	0.500000	0.000995991	0.500000	0.000995992	0.500000	0.00112081	0.500000	5.55204e-06	
0.600000	0.00118413	0.600000	0.00118413	0.600000	0.00104746	0.600000	0.00104746	0.600000	0.00104746	0.600000	0.00117934	0.600000	4.78112e-06	
0.700000	0.0012312 	0.700000	0.0012312 	0.700000	0.00109185	0.700000	0.00109185	0.700000	0.00109185	0.700000	0.00122699	0.700000	4.21002e-06	
0.800000	0.00126941	0.800000	0.00126941	0.800000	0.00112549	0.800000	0.00112549	0.800000	0.00112549	0.800000	0.00126564	0.800000	3.76859e-06	
0.900000	0.00129599	0.900000	0.00129599	0.900000	0.00115139	0.900000	0.00115139	0.900000	0.00115139	0.900000	0.00129257	0.900000	3.41636e-06	
1.000000	0.00131412	1.000000	0.00131412	1.000000	0.00117139	1.000000	0.00117139	1.000000	0.0011714 	1.000000	0.00131099	1.000000	3.12827e-06	
1.250000	0.0013286 	1.250000	0.0013286 	1.250000	0.00120296	1.250000	0.00120296	1.250000	0.00120296	1.250000	0.001326  	1.250000	2.59334e-06	
1.500000	0.00131827	1.500000	0.00131827	1.500000	0.00121678	1.500000	0.00121678	1.500000	0.00121678	1.500000	0.00131605	1.500000	2.22288e-06	
1.750000	0.00130121	1.750000	0.00130121	1.750000	0.00121944	1.750000	0.00121944	1.750000	0.00121945	1.750000	0.00129926	1.750000	1.95009e-06	
2.000000	0.0012801 	2.000000	0.0012801 	2.000000	0.0012149 	2.000000	0.0012149 	2.000000	0.0012149 	2.000000	0.00127836	2.000000	1.74026e-06	
2.250000	0.00125584	2.250000	0.00125584	2.250000	0.00120562	2.250000	0.00120562	2.250000	0.00120562	2.250000	0.00125426	2.250000	1.5735e-06	
2.500000	0.00156591	2.500000	0.00123147	2.500000	0.00119324	2.500000	0.00119324	2.500000	0.00119324	2.500000	0.00123003	2.500000	1.43757e-06	
