! 94Y energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000229385	0.001000	0.000229385	0.001000	0.000197535	0.001000	0.000197535	0.001000	0.000197544	0.001000	5.84114e-05	0.001000	0.000170974	
0.002000	0.00023262	0.002000	0.00023262	0.002000	0.00019443	0.002000	0.00019443	0.002000	0.000194438	0.002000	7.57503e-05	0.002000	0.000156869	
0.005000	0.000227682	0.005000	0.000227682	0.005000	0.000180258	0.005000	0.000180258	0.005000	0.000180263	0.005000	0.00010681	0.005000	0.000120872	
0.008000	0.000226709	0.008000	0.000226709	0.008000	0.000174429	0.008000	0.000174429	0.008000	0.000174433	0.008000	0.000127396	0.008000	9.93124e-05	
0.010000	0.00022778	0.010000	0.00022778	0.010000	0.000173248	0.010000	0.000173248	0.010000	0.000173251	0.010000	0.000138515	0.010000	8.92651e-05	
0.015000	0.000233361	0.015000	0.000233361	0.015000	0.000174956	0.015000	0.000174956	0.015000	0.000174958	0.015000	0.000161262	0.015000	7.20992e-05	
0.020000	0.000240739	0.020000	0.000240739	0.020000	0.000179875	0.020000	0.000179875	0.020000	0.000179877	0.020000	0.000179632	0.020000	6.11065e-05	
0.025000	0.000248679	0.025000	0.000248679	0.025000	0.000186155	0.025000	0.000186155	0.025000	0.000186157	0.025000	0.00019531	0.025000	5.3369e-05	
0.030000	0.000256712	0.030000	0.000256712	0.030000	0.000193041	0.030000	0.000193041	0.030000	0.000193042	0.030000	0.000209131	0.030000	4.75807e-05	
0.035000	0.000264638	0.035000	0.000264638	0.035000	0.000200177	0.035000	0.000200177	0.035000	0.000200178	0.035000	0.000221576	0.035000	4.3062e-05	
0.040000	0.000272376	0.040000	0.000272376	0.040000	0.000207384	0.040000	0.000207384	0.040000	0.000207385	0.040000	0.000232954	0.040000	3.94217e-05	
0.045000	0.000279891	0.045000	0.000279891	0.045000	0.000214568	0.045000	0.000214568	0.045000	0.000214569	0.045000	0.000243474	0.045000	3.64168e-05	
0.050000	0.000287174	0.050000	0.000287174	0.050000	0.000221676	0.050000	0.000221676	0.050000	0.000221677	0.050000	0.000253286	0.050000	3.38882e-05	
0.055000	0.000294229	0.055000	0.000294229	0.055000	0.00022868	0.055000	0.00022868	0.055000	0.000228681	0.055000	0.000262503	0.055000	3.17267e-05	
0.060000	0.000311165	0.060000	0.000311165	0.060000	0.000246482	0.060000	0.000246482	0.060000	0.000246483	0.060000	0.00028131	0.060000	2.98547e-05	
0.070000	0.000346634	0.070000	0.000346634	0.070000	0.000285806	0.070000	0.000285806	0.070000	0.000285806	0.070000	0.000320115	0.070000	2.65186e-05	
0.080000	0.000381153	0.080000	0.000381153	0.080000	0.000325815	0.080000	0.000325815	0.080000	0.000325816	0.080000	0.000357056	0.080000	2.40972e-05	
0.090000	0.00041443	0.090000	0.00041443	0.090000	0.000365562	0.090000	0.000365562	0.090000	0.000365563	0.090000	0.00039231	0.090000	2.21203e-05	
0.100000	0.000446348	0.100000	0.000446348	0.100000	0.000404557	0.100000	0.000404557	0.100000	0.000404558	0.100000	0.000425875	0.100000	2.04722e-05	
0.120000	0.000505769	0.120000	0.000505769	0.120000	0.000478945	0.120000	0.000478945	0.120000	0.000478946	0.120000	0.000487895	0.120000	1.78735e-05	
0.140000	0.000559249	0.140000	0.000559249	0.140000	0.000547179	0.140000	0.000547179	0.140000	0.00054718	0.140000	0.000543339	0.140000	1.59095e-05	
0.160000	0.00060737	0.160000	0.00060737	0.160000	0.000608528	0.160000	0.000608528	0.160000	0.000608528	0.160000	0.000593002	0.160000	1.43676e-05	
0.180000	0.000670373	0.180000	0.000670373	0.180000	0.000662939	0.180000	0.000662939	0.180000	0.00066294	0.180000	0.000657251	0.180000	1.31215e-05	
