! 96Zr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000234688	0.001000	0.000234688	0.001000	0.000201909	0.001000	0.000201909	0.001000	0.000201919	0.001000	5.95817e-05	0.001000	0.000175106	
0.002000	0.000238538	0.002000	0.000238538	0.002000	0.000199173	0.002000	0.000199173	0.002000	0.000199181	0.002000	7.72679e-05	0.002000	0.00016127	
0.005000	0.000233857	0.005000	0.000233857	0.005000	0.000184835	0.005000	0.000184835	0.005000	0.00018484	0.005000	0.00010895	0.005000	0.000124908	
0.008000	0.000232824	0.008000	0.000232824	0.008000	0.000178677	0.008000	0.000178677	0.008000	0.000178681	0.008000	0.000129949	0.008000	0.000102876	
0.010000	0.000233855	0.010000	0.000233855	0.010000	0.000177312	0.010000	0.000177312	0.010000	0.000177316	0.010000	0.00014129	0.010000	9.25641e-05	
0.015000	0.000239384	0.015000	0.000239384	0.015000	0.000178686	0.015000	0.000178686	0.015000	0.000178688	0.015000	0.000164493	0.015000	7.48915e-05	
0.020000	0.000246772	0.020000	0.000246772	0.020000	0.000183391	0.020000	0.000183391	0.020000	0.000183394	0.020000	0.000183231	0.020000	6.35408e-05	
0.025000	0.00025476	0.025000	0.00025476	0.025000	0.000189533	0.025000	0.000189533	0.025000	0.000189535	0.025000	0.000199223	0.025000	5.55366e-05	
0.030000	0.000262862	0.030000	0.000262862	0.030000	0.000196327	0.030000	0.000196327	0.030000	0.000196329	0.030000	0.000213321	0.030000	4.95411e-05	
0.035000	0.000270872	0.035000	0.000270872	0.035000	0.000203403	0.035000	0.000203403	0.035000	0.000203404	0.035000	0.000226016	0.035000	4.48562e-05	
0.040000	0.0002787 	0.040000	0.0002787 	0.040000	0.000210572	0.040000	0.000210572	0.040000	0.000210574	0.040000	0.000237621	0.040000	4.10791e-05	
0.045000	0.000286311	0.045000	0.000286311	0.045000	0.000217734	0.045000	0.000217734	0.045000	0.000217735	0.045000	0.000248352	0.045000	3.79594e-05	
0.050000	0.000293694	0.050000	0.000293694	0.050000	0.000224832	0.050000	0.000224832	0.050000	0.000224833	0.050000	0.000258361	0.050000	3.53328e-05	
0.055000	0.000300849	0.055000	0.000300849	0.055000	0.000231835	0.055000	0.000231835	0.055000	0.000231836	0.055000	0.000267762	0.055000	3.30866e-05	
0.060000	0.000313491	0.060000	0.000313491	0.060000	0.000244908	0.060000	0.000244908	0.060000	0.000244909	0.060000	0.000282351	0.060000	3.11406e-05	
0.070000	0.000349468	0.070000	0.000349468	0.070000	0.000284403	0.070000	0.000284403	0.070000	0.000284404	0.070000	0.0003218 	0.070000	2.7668e-05	
0.080000	0.000384542	0.080000	0.000384542	0.080000	0.000324717	0.080000	0.000324717	0.080000	0.000324718	0.080000	0.000359392	0.080000	2.51493e-05	
0.090000	0.000418388	0.090000	0.000418388	0.090000	0.000364861	0.090000	0.000364861	0.090000	0.000364861	0.090000	0.000395296	0.090000	2.30919e-05	
0.100000	0.000450876	0.100000	0.000450876	0.100000	0.000404322	0.100000	0.000404322	0.100000	0.000404323	0.100000	0.0004295 	0.100000	2.1376e-05	
0.120000	0.000511414	0.120000	0.000511414	0.120000	0.000479787	0.120000	0.000479787	0.120000	0.000479788	0.120000	0.000492745	0.120000	1.86689e-05	
0.140000	0.000565949	0.140000	0.000565949	0.140000	0.000549205	0.140000	0.000549205	0.140000	0.000549206	0.140000	0.000549327	0.140000	1.66219e-05	
0.160000	0.000614878	0.160000	0.000614878	0.160000	0.000611774	0.160000	0.000611774	0.160000	0.000611774	0.160000	0.000599864	0.160000	1.50141e-05	
0.180000	0.000673529	0.180000	0.000673529	0.180000	0.000667394	0.180000	0.000667394	0.180000	0.000667395	0.180000	0.000659815	0.180000	1.37143e-05	
0.200000	0.000731331	0.200000	0.000731331	0.200000	0.000716396	0.200000	0.000716396	0.200000	0.000716397	0.200000	0.000718691	0.200000	1.26395e-05	
0.250000	0.000851552	0.250000	0.000851552	0.250000	0.000813851	0.250000	0.000813851	0.250000	0.000813852	0.250000	0.000840938	0.250000	1.06142e-05	
0.300000	0.000944484	0.300000	0.000944484	0.300000	0.000883763	0.300000	0.000883763	0.300000	0.000883764	0.300000	0.000935297	0.300000	9.1874e-06	
0.350000	0.00101748	0.350000	0.00101748	0.350000	0.000935005	0.350000	0.000935005	0.350000	0.000935005	0.350000	0.00100935	0.350000	8.12292e-06	
0.400000	0.00108288	0.400000	0.00108288	0.400000	0.000973913	0.400000	0.000973913	0.400000	0.000973914	0.400000	0.00107559	0.400000	7.29553e-06	
0.450000	0.00113781	0.450000	0.00113781	0.450000	0.00100464	0.450000	0.00100464	0.450000	0.00100464	0.450000	0.00113118	0.450000	6.6323e-06	
0.500000	0.00118262	0.500000	0.00118262	0.500000	0.00102981	0.500000	0.00102981	0.500000	0.00102981	0.500000	0.00117654	0.500000	6.08773e-06	
0.600000	0.00124989	0.600000	0.00124989	0.600000	0.0010767 	0.600000	0.0010767 	0.600000	0.0010767 	0.600000	0.00124464	0.600000	5.24421e-06	
0.700000	0.0012971 	0.700000	0.0012971 	0.700000	0.00112641	0.700000	0.00112641	0.700000	0.00112641	0.700000	0.00129248	0.700000	4.61904e-06	
0.800000	0.00133873	0.800000	0.00133873	0.800000	0.00116456	0.800000	0.00116456	0.800000	0.00116456	0.800000	0.0013346 	0.800000	4.13565e-06	
0.900000	0.00136805	0.900000	0.00136805	0.900000	0.00119432	0.900000	0.00119432	0.900000	0.00119432	0.900000	0.0013643 	0.900000	3.74983e-06	
1.000000	0.00138839	1.000000	0.00138839	1.000000	0.00121766	1.000000	0.00121766	1.000000	0.00121766	1.000000	0.00138495	1.000000	3.43417e-06	
1.250000	0.00141134	1.250000	0.00141134	1.250000	0.00125584	1.250000	0.00125584	1.250000	0.00125584	1.250000	0.00140849	1.250000	2.84786e-06	
1.500000	0.00139897	1.500000	0.00139897	1.500000	0.00127449	1.500000	0.00127449	1.500000	0.00127449	1.500000	0.00139652	1.500000	2.44166e-06	
1.750000	0.00138046	1.750000	0.00138046	1.750000	0.00128072	1.750000	0.00128072	1.750000	0.00128073	1.750000	0.00137832	1.750000	2.14245e-06	
2.000000	0.00135875	2.000000	0.00135875	2.000000	0.00127884	2.000000	0.00127884	2.000000	0.00127884	2.000000	0.00135684	2.000000	1.91224e-06	
2.250000	0.00133351	2.250000	0.00133351	2.250000	0.00127156	2.250000	0.00127156	2.250000	0.00127156	2.250000	0.00133178	2.250000	1.72924e-06	
2.500000	0.00168326	2.500000	0.00130747	2.500000	0.00126067	2.500000	0.00126067	2.500000	0.00126067	2.500000	0.00130589	2.500000	1.58005e-06	
3.000000	0.00160364	3.000000	0.0012574 	3.000000	0.00123246	3.000000	0.00123246	3.000000	0.00123246	3.000000	0.00125605	3.000000	1.35093e-06	
3.500000	0.00152797	3.500000	0.00121037	3.500000	0.0012    	3.500000	0.0012    	3.500000	0.0012    	3.500000	0.00120919	3.500000	1.18274e-06	
4.000000	0.00145781	4.000000	0.00116643	4.000000	0.00116046	4.000000	0.00116046	4.000000	0.00116046	4.000000	0.00116538	4.000000	1.0537e-06	
4.500000	0.00139337	4.500000	0.00112545	4.500000	0.00112314	4.500000	0.00112314	4.500000	0.00112314	4.500000	0.0011245 	4.500000	9.51357e-07	
5.000000	0.00133435	5.000000	0.00108721	5.000000	0.00108807	5.000000	0.00108807	5.000000	0.00108807	5.000000	0.00108635	5.000000	8.68087e-07	
5.500000	0.00128028	5.500000	0.0010515 	5.500000	0.0010551 	5.500000	0.0010551 	5.500000	0.0010551 	5.500000	0.00105071	5.500000	7.98928e-07	
6.000000	0.00123066	6.000000	0.00101808	6.000000	0.00102408	6.000000	0.00102408	6.000000	0.00102408	6.000000	0.00101734	6.000000	7.40517e-07	
6.500000	0.001185  	6.500000	0.000986393	6.500000	0.000994861	6.500000	0.000994861	6.500000	0.000994862	6.500000	0.000985703	6.500000	6.90488e-07	
7.000000	0.00114289	7.000000	0.000956847	7.000000	0.000967308	7.000000	0.000967308	7.000000	0.000967308	7.000000	0.0009562 	7.000000	6.47129e-07	
7.500000	0.00110394	7.500000	0.000929187	7.500000	0.000941285	7.500000	0.000941285	7.500000	0.000941286	7.500000	0.000928578	7.500000	6.09167e-07	
8.000000	0.00106781	8.000000	0.00090322	8.000000	0.000916673	8.000000	0.000916673	8.000000	0.000916673	8.000000	0.000902644	8.000000	5.75637e-07	
8.500000	0.00103421	8.500000	0.000878805	8.500000	0.000893361	8.500000	0.000893361	8.500000	0.000893362	8.500000	0.000878259	8.500000	5.45792e-07	
9.000000	0.00100287	9.000000	0.000855685	9.000000	0.000871249	9.000000	0.000871249	9.000000	0.00087125	9.000000	0.000855166	9.000000	5.19046e-07	
9.500000	0.000973587	9.500000	0.000833764	9.500000	0.000850247	9.500000	0.000850247	9.500000	0.000850248	9.500000	0.000833269	9.500000	4.94933e-07	
10.000000	0.000946149	10.000000	0.000779139	10.000000	0.000830272	10.000000	0.000830272	10.000000	0.000830272	10.000000	0.000778666	10.000000	4.73074e-07	
11.000000	0.00089615	11.000000	0.000752276	11.000000	0.000786937	11.000000	0.000794409	11.000000	0.00079873	11.000000	0.000751841	11.000000	4.34947e-07	
12.000000	0.000851726	12.000000	0.000726837	12.000000	0.000748264	12.000000	0.00076188	12.000000	0.000769198	12.000000	0.000726434	12.000000	4.02784e-07	
