! 101Mo energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000202484	0.001000	0.000245221	0.001000	0.000208292	0.001000	0.000208292	0.001000	0.000208301	0.001000	6.18856e-05	0.001000	0.000183336	
0.002000	0.000208063	0.002000	0.000250325	0.002000	0.00020536	0.002000	0.00020536	0.002000	0.000205368	0.002000	8.02557e-05	0.002000	0.000170069	
0.005000	0.000207695	0.005000	0.000246202	0.005000	0.000188836	0.005000	0.000188836	0.005000	0.000188841	0.005000	0.000113163	0.005000	0.000133039	
0.008000	0.000208859	0.008000	0.000245058	0.008000	0.000180661	0.008000	0.000180661	0.008000	0.000180665	0.008000	0.000134973	0.008000	0.000110084	
0.010000	0.000210766	0.010000	0.000246004	0.010000	0.000178157	0.010000	0.000178157	0.010000	0.00017816	0.010000	0.000146754	0.010000	9.92501e-05	
0.015000	0.00021748	0.015000	0.000251421	0.015000	0.000177207	0.015000	0.000177207	0.015000	0.00017721	0.015000	0.000170854	0.015000	8.05677e-05	
0.020000	0.000225331	0.020000	0.000258815	0.020000	0.000180088	0.020000	0.000180088	0.020000	0.00018009	0.020000	0.000190316	0.020000	6.84986e-05	
0.025000	0.000233442	0.025000	0.000266884	0.025000	0.000184717	0.025000	0.000184717	0.025000	0.000184719	0.025000	0.000206927	0.025000	5.99573e-05	
0.030000	0.000241485	0.030000	0.000275113	0.030000	0.000190211	0.030000	0.000190211	0.030000	0.000190212	0.030000	0.00022157	0.030000	5.35433e-05	
0.035000	0.00024933	0.035000	0.000283277	0.035000	0.000196139	0.035000	0.000196139	0.035000	0.000196141	0.035000	0.000234755	0.035000	4.8522e-05	
0.040000	0.000256931	0.040000	0.000291277	0.040000	0.000202277	0.040000	0.000202277	0.040000	0.000202278	0.040000	0.00024681	0.040000	4.44676e-05	
0.045000	0.000264274	0.045000	0.00029907	0.045000	0.000208497	0.045000	0.000208497	0.045000	0.000208498	0.045000	0.000257955	0.045000	4.11149e-05	
0.050000	0.000271698	0.050000	0.000306641	0.050000	0.000214725	0.050000	0.000214725	0.050000	0.000214727	0.050000	0.000268351	0.050000	3.82894e-05	
0.055000	0.000288196	0.055000	0.000313987	0.055000	0.000220919	0.055000	0.000220919	0.055000	0.00022092	0.055000	0.000278116	0.055000	3.5871e-05	
0.060000	0.000303618	0.060000	0.000321114	0.060000	0.00022705	0.060000	0.00022705	0.060000	0.000227051	0.060000	0.00028734	0.060000	3.37742e-05	
