! 108Rh energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000260455	0.001000	0.000260455	0.001000	0.000220907	0.001000	0.000220907	0.001000	0.000220917	0.001000	6.50639e-05	0.001000	0.000195391	
0.002000	0.000267472	0.002000	0.000267472	0.002000	0.000219178	0.002000	0.000219178	0.002000	0.000219186	0.002000	8.43774e-05	0.002000	0.000183094	
0.005000	0.000264247	0.005000	0.000264247	0.005000	0.000202322	0.005000	0.000202322	0.005000	0.000202328	0.005000	0.000118974	0.005000	0.000145273	
0.008000	0.000262921	0.008000	0.000262921	0.008000	0.000193177	0.008000	0.000193177	0.008000	0.000193181	0.008000	0.000141905	0.008000	0.000121016	
0.010000	0.000263716	0.010000	0.000263716	0.010000	0.000190104	0.010000	0.000190104	0.010000	0.000190107	0.010000	0.000154291	0.010000	0.000109425	
0.015000	0.000268884	0.015000	0.000268884	0.015000	0.000188066	0.015000	0.000188066	0.015000	0.000188068	0.015000	0.000179628	0.015000	8.92565e-05	
0.020000	0.000276206	0.020000	0.000276206	0.020000	0.00019021	0.020000	0.00019021	0.020000	0.000190212	0.020000	0.00020009	0.020000	7.61156e-05	
0.025000	0.00028432	0.025000	0.00028432	0.025000	0.000194327	0.025000	0.000194327	0.025000	0.000194329	0.025000	0.000217554	0.025000	6.67663e-05	
0.030000	0.000292668	0.030000	0.000292668	0.030000	0.000199455	0.030000	0.000199455	0.030000	0.000199457	0.030000	0.000232949	0.030000	5.97195e-05	
0.035000	0.000300999	0.035000	0.000300999	0.035000	0.000205119	0.035000	0.000205119	0.035000	0.000205121	0.035000	0.000246811	0.035000	5.41875e-05	
0.040000	0.000309196	0.040000	0.000309196	0.040000	0.000211064	0.040000	0.000211064	0.040000	0.000211065	0.040000	0.000259485	0.040000	4.9711e-05	
0.045000	0.000317206	0.045000	0.000317206	0.045000	0.000217143	0.045000	0.000217143	0.045000	0.000217144	0.045000	0.000271203	0.045000	4.60028e-05	
0.050000	0.000325006	0.050000	0.000325006	0.050000	0.00022327	0.050000	0.00022327	0.050000	0.000223272	0.050000	0.000282133	0.050000	4.2873e-05	
0.055000	0.00033259	0.055000	0.00033259	0.055000	0.000229393	0.055000	0.000229393	0.055000	0.000229394	0.055000	0.000292399	0.055000	4.01908e-05	
0.060000	0.00033996	0.060000	0.00033996	0.060000	0.000235478	0.060000	0.000235478	0.060000	0.000235479	0.060000	0.000302097	0.060000	3.78628e-05	
0.070000	0.000362739	0.070000	0.000362739	0.070000	0.000254622	0.070000	0.000254622	0.070000	0.000254623	0.070000	0.000328727	0.070000	3.40122e-05	
0.080000	0.000408918	0.080000	0.000408918	0.080000	0.00029438	0.080000	0.00029438	0.080000	0.000294381	0.080000	0.000378259	0.080000	3.06588e-05	
0.090000	0.000454332	0.090000	0.000454332	0.090000	0.000335058	0.090000	0.000335058	0.090000	0.000335059	0.090000	0.000426147	0.090000	2.81849e-05	
0.100000	0.000498247	0.100000	0.000498247	0.100000	0.000375673	0.100000	0.000375673	0.100000	0.000375674	0.100000	0.000472129	0.100000	2.61173e-05	
0.120000	0.000580516	0.120000	0.000580516	0.120000	0.000454847	0.120000	0.000454847	0.120000	0.000454848	0.120000	0.000557669	0.120000	2.28472e-05	
0.140000	0.000654665	0.140000	0.000654665	0.140000	0.000529252	0.140000	0.000529252	0.140000	0.000529253	0.140000	0.000634297	0.140000	2.0368e-05	
0.160000	0.00072083	0.160000	0.00072083	0.160000	0.000597548	0.160000	0.000597548	0.160000	0.000597549	0.160000	0.000702413	0.160000	1.84168e-05	
0.180000	0.000779702	0.180000	0.000779702	0.180000	0.000659257	0.180000	0.000659257	0.180000	0.000659258	0.180000	0.000762865	0.180000	1.68368e-05	
0.200000	0.000833582	0.200000	0.000833582	0.200000	0.000714445	0.200000	0.000714445	0.200000	0.000714446	0.200000	0.000818054	0.200000	1.55286e-05	
0.250000	0.000951428	0.250000	0.000951428	0.250000	0.00082681	0.250000	0.00082681	0.250000	0.000826811	0.250000	0.000938369	0.250000	1.3059e-05	
0.300000	0.00104239	0.300000	0.00104239	0.300000	0.000910032	0.300000	0.000910032	0.300000	0.000910033	0.300000	0.00103108	0.300000	1.13156e-05	
0.350000	0.00111422	0.350000	0.00111422	0.350000	0.000972804	0.350000	0.000972804	0.350000	0.000972805	0.350000	0.0011042 	0.350000	1.00129e-05	
0.400000	0.00117207	0.400000	0.00117207	0.400000	0.00102166	0.400000	0.00102166	0.400000	0.00102166	0.400000	0.00116307	0.400000	8.99924e-06	
0.450000	0.00122917	0.450000	0.00122917	0.450000	0.00106104	0.450000	0.00106104	0.450000	0.00106104	0.450000	0.00122098	0.450000	8.18586e-06	
0.500000	0.00128438	0.500000	0.00128438	0.500000	0.00109381	0.500000	0.00109381	0.500000	0.00109381	0.500000	0.00127686	0.500000	7.51744e-06	
0.600000	0.00136887	0.600000	0.00136887	0.600000	0.00114628	0.600000	0.00114628	0.600000	0.00114628	0.600000	0.00136239	0.600000	6.48109e-06	
0.700000	0.00142868	0.700000	0.00142868	0.700000	0.00120217	0.700000	0.00120217	0.700000	0.00120217	0.700000	0.00142296	0.700000	5.71216e-06	
0.800000	0.00147149	0.800000	0.00147149	0.800000	0.00125184	0.800000	0.00125184	0.800000	0.00125184	0.800000	0.00146638	0.800000	5.1171e-06	
0.900000	0.00150928	0.900000	0.00150928	0.900000	0.00129155	0.900000	0.00129155	0.900000	0.00129155	0.900000	0.00150464	0.900000	4.6418e-06	
1.000000	0.00153735	1.000000	0.00153735	1.000000	0.00132357	1.000000	0.00132357	1.000000	0.00132357	1.000000	0.0015331 	1.000000	4.2527e-06	
1.250000	0.00157678	1.250000	0.00157678	1.250000	0.00137915	1.250000	0.00137915	1.250000	0.00137915	1.250000	0.00157325	1.250000	3.52939e-06	
1.500000	0.00158261	1.500000	0.00158261	1.500000	0.00141069	1.500000	0.00141069	1.500000	0.00141069	1.500000	0.00157959	1.500000	3.02778e-06	
1.750000	0.00156122	1.750000	0.00156122	1.750000	0.00142665	1.750000	0.00142665	1.750000	0.00142665	1.750000	0.00155857	1.750000	2.65801e-06	
2.000000	0.00153772	2.000000	0.00153772	2.000000	0.00143218	2.000000	0.00143218	2.000000	0.00143218	2.000000	0.00153535	2.000000	2.37334e-06	
2.250000	0.00151321	2.250000	0.00151321	2.250000	0.00143058	2.250000	0.00143058	2.250000	0.00143058	2.250000	0.00151106	2.250000	2.14695e-06	
2.500000	0.00198168	2.500000	0.00148817	2.500000	0.00142405	2.500000	0.00142405	2.500000	0.00142405	2.500000	0.0014862 	2.500000	1.96229e-06	
3.000000	0.00189463	3.000000	0.00143784	3.000000	0.0014017 	3.000000	0.0014017 	3.000000	0.00140171	3.000000	0.00143616	3.000000	1.67855e-06	
3.500000	0.00181075	3.500000	0.00138974	3.500000	0.0013725 	3.500000	0.0013725 	3.500000	0.0013725 	3.500000	0.00138827	3.500000	1.47014e-06	
4.000000	0.00173227	4.000000	0.00134421	4.000000	0.0013402 	4.000000	0.0013402 	4.000000	0.0013402 	4.000000	0.0013429 	4.000000	1.31017e-06	
4.500000	0.00165967	4.500000	0.00130131	4.500000	0.0013025 	4.500000	0.0013025 	4.500000	0.0013025 	4.500000	0.00130012	4.500000	1.18325e-06	
5.000000	0.00159282	5.000000	0.00126093	5.000000	0.00126541	5.000000	0.00126541	5.000000	0.00126541	5.000000	0.00125985	5.000000	1.07994e-06	
5.500000	0.00153128	5.500000	0.00122285	5.500000	0.00123028	5.500000	0.00123028	5.500000	0.00123028	5.500000	0.00122186	5.500000	9.94113e-07	
6.000000	0.00147459	6.000000	0.00118688	6.000000	0.00119702	6.000000	0.00119702	6.000000	0.00119702	6.000000	0.00118596	6.000000	9.21605e-07	
6.500000	0.00142225	6.500000	0.00115307	6.500000	0.00116551	6.500000	0.00116551	6.500000	0.00116551	6.500000	0.00115221	6.500000	8.59488e-07	
7.000000	0.00137383	7.000000	0.00112122	7.000000	0.00113565	7.000000	0.00113565	7.000000	0.00113565	7.000000	0.00112042	7.000000	8.05641e-07	
7.500000	0.00132892	7.500000	0.00109069	7.500000	0.00110731	7.500000	0.00110731	7.500000	0.00110731	7.500000	0.00108993	7.500000	7.58488e-07	
8.000000	0.00128715	8.000000	0.00106209	8.000000	0.00108039	8.000000	0.00108039	8.000000	0.00108039	8.000000	0.00106137	8.000000	7.16831e-07	
8.500000	0.00124822	8.500000	0.00103518	8.500000	0.0010548 	8.500000	0.0010548 	8.500000	0.0010548 	8.500000	0.0010345 	8.500000	6.79748e-07	
9.000000	0.00121184	9.000000	0.00100978	9.000000	0.00103044	9.000000	0.00103044	9.000000	0.00103044	9.000000	0.00100913	9.000000	6.4651e-07	
9.500000	0.00117777	9.500000	0.000985712	9.500000	0.00100722	9.500000	0.00100722	9.500000	0.00100722	9.500000	0.000985096	9.500000	6.16539e-07	
10.000000	0.00114579	10.000000	0.000922737	10.000000	0.000985066	10.000000	0.000985066	10.000000	0.000985067	10.000000	0.000922147	10.000000	5.89368e-07	
11.000000	0.00108738	11.000000	0.000893761	11.000000	0.00093558	11.000000	0.000945291	11.000000	0.000951771	11.000000	0.000893219	11.000000	5.41964e-07	
12.000000	0.00103531	12.000000	0.000866017	12.000000	0.000891246	12.000000	0.000909029	12.000000	0.000920163	12.000000	0.000865515	12.000000	5.01968e-07	
13.000000	0.000988594	13.000000	0.000839624	13.000000	0.00085132	13.000000	0.000875868	13.000000	0.00089029	13.000000	0.000839156	13.000000	4.67743e-07	
14.000000	0.000946418	14.000000	0.000814602	14.000000	0.000815204	14.000000	0.000845448	14.000000	0.000862129	14.000000	0.000814164	14.000000	4.38105e-07	
15.000000	0.000908133	15.000000	0.000790924	15.000000	0.000782417	15.000000	0.000817462	15.000000	0.000835619	15.000000	0.000790512	15.000000	4.12176e-07	
