! 110Pd energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000265378	0.001000	0.000265378	0.001000	0.000227376	0.001000	0.000227376	0.001000	0.000227386	0.001000	6.60552e-05	0.001000	0.000199322	
0.002000	0.000273042	0.002000	0.000273042	0.002000	0.000227051	0.002000	0.000227051	0.002000	0.000227059	0.002000	8.5663e-05	0.002000	0.000187379	
0.005000	0.000270137	0.005000	0.000270137	0.005000	0.000212073	0.005000	0.000212073	0.005000	0.000212079	0.005000	0.000120787	0.005000	0.00014935	
0.008000	0.00026875	0.008000	0.00026875	0.008000	0.00020402	0.008000	0.00020402	0.008000	0.000204025	0.008000	0.000144067	0.008000	0.000124683	
0.010000	0.00026949	0.010000	0.00026949	0.010000	0.00020155	0.010000	0.00020155	0.010000	0.000201553	0.010000	0.000156641	0.010000	0.000112849	
0.015000	0.000274558	0.015000	0.000274558	0.015000	0.000200828	0.015000	0.000200828	0.015000	0.000200831	0.015000	0.000182365	0.015000	9.21934e-05	
0.020000	0.000281837	0.020000	0.000281837	0.020000	0.000204138	0.020000	0.000204138	0.020000	0.00020414	0.020000	0.000203139	0.020000	7.86978e-05	
0.025000	0.000289948	0.025000	0.000289948	0.025000	0.000209325	0.025000	0.000209325	0.025000	0.000209327	0.025000	0.000220869	0.025000	6.90793e-05	
0.030000	0.000298319	0.030000	0.000298319	0.030000	0.000215452	0.030000	0.000215452	0.030000	0.000215454	0.030000	0.000236498	0.030000	6.18208e-05	
0.035000	0.000306689	0.035000	0.000306689	0.035000	0.000222058	0.035000	0.000222058	0.035000	0.00022206	0.035000	0.000250572	0.035000	5.61174e-05	
0.040000	0.000314937	0.040000	0.000314937	0.040000	0.000228897	0.040000	0.000228897	0.040000	0.000228898	0.040000	0.000263439	0.040000	5.14989e-05	
0.045000	0.000323006	0.045000	0.000323006	0.045000	0.00023583	0.045000	0.00023583	0.045000	0.000235831	0.045000	0.000275335	0.045000	4.76708e-05	
0.050000	0.00033087	0.050000	0.00033087	0.050000	0.000242775	0.050000	0.000242775	0.050000	0.000242776	0.050000	0.000286431	0.050000	4.44383e-05	
0.055000	0.000338521	0.055000	0.000338521	0.055000	0.000249684	0.055000	0.000249684	0.055000	0.000249685	0.055000	0.000296854	0.055000	4.16669e-05	
0.060000	0.00034596	0.060000	0.00034596	0.060000	0.000256527	0.060000	0.000256527	0.060000	0.000256529	0.060000	0.0003067 	0.060000	3.92607e-05	
0.070000	0.000362338	0.070000	0.000362338	0.070000	0.000271605	0.070000	0.000271605	0.070000	0.000271606	0.070000	0.000327059	0.070000	3.52788e-05	
0.080000	0.000410647	0.080000	0.000410647	0.080000	0.000312556	0.080000	0.000312556	0.080000	0.000312557	0.080000	0.00037884	0.080000	3.18064e-05	
0.090000	0.000458334	0.090000	0.000458334	0.090000	0.000354305	0.090000	0.000354305	0.090000	0.000354306	0.090000	0.000429087	0.090000	2.92469e-05	
