! 113Ag energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000270396	0.001000	0.000270396	0.001000	0.000231513	0.001000	0.000231513	0.001000	0.000231523	0.001000	6.71127e-05	0.001000	0.000203283	
0.002000	0.000278729	0.002000	0.000278729	0.002000	0.000231615	0.002000	0.000231615	0.002000	0.000231623	0.002000	8.70344e-05	0.002000	0.000191695	
0.005000	0.000276184	0.005000	0.000276184	0.005000	0.000216579	0.005000	0.000216579	0.005000	0.000216585	0.005000	0.000122721	0.005000	0.000153463	
0.008000	0.000274761	0.008000	0.000274761	0.008000	0.000208222	0.008000	0.000208222	0.008000	0.000208226	0.008000	0.000146374	0.008000	0.000128387	
0.010000	0.000275458	0.010000	0.000275458	0.010000	0.000205566	0.010000	0.000205566	0.010000	0.00020557	0.010000	0.000159149	0.010000	0.000116309	
0.015000	0.00028045	0.015000	0.00028045	0.015000	0.000204482	0.015000	0.000204482	0.015000	0.000204485	0.015000	0.000185284	0.015000	9.51657e-05	
0.020000	0.000287704	0.020000	0.000287704	0.020000	0.00020754	0.020000	0.00020754	0.020000	0.000207542	0.020000	0.000206391	0.020000	8.13132e-05	
0.025000	0.000295828	0.025000	0.000295828	0.025000	0.000212549	0.025000	0.000212549	0.025000	0.000212551	0.025000	0.000224405	0.025000	7.14235e-05	
0.030000	0.000304236	0.030000	0.000304236	0.030000	0.000218546	0.030000	0.000218546	0.030000	0.000218548	0.030000	0.000240284	0.030000	6.39514e-05	
0.035000	0.000312658	0.035000	0.000312658	0.035000	0.000225056	0.035000	0.000225056	0.035000	0.000225058	0.035000	0.000254583	0.035000	5.80749e-05	
0.040000	0.000320969	0.040000	0.000320969	0.040000	0.000231823	0.040000	0.000231823	0.040000	0.000231824	0.040000	0.000267656	0.040000	5.33129e-05	
0.045000	0.000329107	0.045000	0.000329107	0.045000	0.000238702	0.045000	0.000238702	0.045000	0.000238703	0.045000	0.000279743	0.045000	4.93636e-05	
0.050000	0.000337044	0.050000	0.000337044	0.050000	0.000245607	0.050000	0.000245607	0.050000	0.000245608	0.050000	0.000291017	0.050000	4.60271e-05	
0.055000	0.000344772	0.055000	0.000344772	0.055000	0.000252487	0.055000	0.000252487	0.055000	0.000252488	0.055000	0.000301607	0.055000	4.31655e-05	
0.060000	0.00035229	0.060000	0.00035229	0.060000	0.000259309	0.060000	0.000259309	0.060000	0.00025931	0.060000	0.00031161	0.060000	4.06801e-05	
0.070000	0.000366719	0.070000	0.000366719	0.070000	0.000272711	0.070000	0.000272711	0.070000	0.000272712	0.070000	0.000330154	0.070000	3.65653e-05	
0.080000	0.000415267	0.080000	0.000415267	0.080000	0.000310052	0.080000	0.000310052	0.080000	0.000310053	0.080000	0.000381979	0.080000	3.32875e-05	
0.090000	0.000468655	0.090000	0.000468655	0.090000	0.000351628	0.090000	0.000351628	0.090000	0.000351629	0.090000	0.00043833	0.090000	3.03259e-05	
0.100000	0.00052105	0.100000	0.00052105	0.100000	0.000393422	0.100000	0.000393422	0.100000	0.000393422	0.100000	0.000492937	0.100000	2.81124e-05	
0.120000	0.000620113	0.120000	0.000620113	0.120000	0.000474824	0.120000	0.000474824	0.120000	0.000474825	0.120000	0.000595504	0.120000	2.46082e-05	
0.140000	0.00070156	0.140000	0.00070156	0.140000	0.000551261	0.140000	0.000551261	0.140000	0.000551261	0.140000	0.000679611	0.140000	2.19487e-05	
0.160000	0.000770171	0.160000	0.000770171	0.160000	0.000621384	0.160000	0.000621384	0.160000	0.000621384	0.160000	0.000750317	0.160000	1.98539e-05	
0.180000	0.000830975	0.180000	0.000830975	0.180000	0.000684723	0.180000	0.000684723	0.180000	0.000684724	0.180000	0.000812819	0.180000	1.81566e-05	
0.200000	0.000884946	0.200000	0.000884946	0.200000	0.000741362	0.200000	0.000741362	0.200000	0.000741363	0.200000	0.000868195	0.200000	1.67505e-05	
0.250000	0.000995878	0.250000	0.000995878	0.250000	0.000856702	0.250000	0.000856702	0.250000	0.000856703	0.250000	0.000981784	0.250000	1.40943e-05	
0.300000	0.00108135	0.300000	0.00108135	0.300000	0.000942208	0.300000	0.000942208	0.300000	0.000942209	0.300000	0.00106913	0.300000	1.22177e-05	
0.350000	0.00114905	0.350000	0.00114905	0.350000	0.00100682	0.350000	0.00100682	0.350000	0.00100682	0.350000	0.00113824	0.350000	1.08148e-05	
0.400000	0.00120395	0.400000	0.00120395	0.400000	0.00105723	0.400000	0.00105723	0.400000	0.00105723	0.400000	0.00119422	0.400000	9.72243e-06	
0.450000	0.00124978	0.450000	0.00124978	0.450000	0.00109798	0.450000	0.00109798	0.450000	0.00109798	0.450000	0.00124093	0.450000	8.84564e-06	
0.500000	0.00131108	0.500000	0.00131108	0.500000	0.00113201	0.500000	0.00113201	0.500000	0.00113201	0.500000	0.00130296	0.500000	8.1249e-06	
0.600000	0.0014058 	0.600000	0.0014058 	0.600000	0.00118675	0.600000	0.00118675	0.600000	0.00118675	0.600000	0.00139879	0.600000	7.00698e-06	
0.700000	0.00147371	0.700000	0.00147371	0.700000	0.00122988	0.700000	0.00122988	0.700000	0.00122988	0.700000	0.00146754	0.700000	6.17719e-06	
0.800000	0.00152304	0.800000	0.00152304	0.800000	0.00128281	0.800000	0.00128281	0.800000	0.00128281	0.800000	0.0015175 	0.800000	5.5348e-06	
0.900000	0.00156162	0.900000	0.00156162	0.900000	0.0013266 	0.900000	0.0013266 	0.900000	0.0013266 	0.900000	0.0015566 	0.900000	5.02156e-06	
1.000000	0.00159297	1.000000	0.00159297	1.000000	0.00136219	1.000000	0.00136219	1.000000	0.0013622 	1.000000	0.00158837	1.000000	4.60132e-06	
1.250000	0.00163864	1.250000	0.00163864	1.250000	0.00142501	1.250000	0.00142501	1.250000	0.00142501	1.250000	0.00163482	1.250000	3.81984e-06	
1.500000	0.00165538	1.500000	0.00165538	1.500000	0.001462  	1.500000	0.001462  	1.500000	0.001462  	1.500000	0.00165211	1.500000	3.27769e-06	
1.750000	0.00163442	1.750000	0.00163442	1.750000	0.00148212	1.750000	0.00148212	1.750000	0.00148213	1.750000	0.00163155	1.750000	2.87793e-06	
2.000000	0.00160981	2.000000	0.00160981	2.000000	0.00149089	2.000000	0.00149089	2.000000	0.00149089	2.000000	0.00160724	2.000000	2.57009e-06	
2.250000	0.00158456	2.250000	0.00158456	2.250000	0.00149181	2.250000	0.00149181	2.250000	0.00149181	2.250000	0.00158223	2.250000	2.32522e-06	
2.500000	0.00210233	2.500000	0.00155915	2.500000	0.00148726	2.500000	0.00148726	2.500000	0.00148726	2.500000	0.00155703	2.500000	2.12546e-06	
3.000000	0.00201267	3.000000	0.00150902	3.000000	0.00146768	3.000000	0.00146768	3.000000	0.00146768	3.000000	0.0015072 	3.000000	1.81847e-06	
3.500000	0.00192578	3.500000	0.00146074	3.500000	0.00144013	3.500000	0.00144013	3.500000	0.00144013	3.500000	0.00145915	3.500000	1.59293e-06	
4.000000	0.00184416	4.000000	0.00141479	4.000000	0.00140877	4.000000	0.00140877	4.000000	0.00140877	4.000000	0.00141337	4.000000	1.41976e-06	
4.500000	0.00176847	4.500000	0.00137111	4.500000	0.00137409	4.500000	0.00137409	4.500000	0.00137409	4.500000	0.00136983	4.500000	1.28236e-06	
5.000000	0.00169861	5.000000	0.00132961	5.000000	0.00133636	5.000000	0.00133636	5.000000	0.00133636	5.000000	0.00132844	5.000000	1.17051e-06	
5.500000	0.00163419	5.500000	0.00129064	5.500000	0.00130051	5.500000	0.00130051	5.500000	0.00130051	5.500000	0.00128956	5.500000	1.07757e-06	
