! 115Cd energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000274994	0.001000	0.000274994	0.001000	0.000233153	0.001000	0.000233153	0.001000	0.000233162	0.001000	6.78423e-05	0.001000	0.000207151	
0.002000	0.00028392	0.002000	0.00028392	0.002000	0.000232708	0.002000	0.000232708	0.002000	0.000232717	0.002000	8.79806e-05	0.002000	0.000195939	
0.005000	0.000281603	0.005000	0.000281603	0.005000	0.000215681	0.005000	0.000215681	0.005000	0.000215687	0.005000	0.000124055	0.005000	0.000157547	
0.008000	0.000280047	0.008000	0.000280047	0.008000	0.000205614	0.008000	0.000205614	0.008000	0.000205619	0.008000	0.000147965	0.008000	0.000132082	
0.010000	0.000280646	0.010000	0.000280646	0.010000	0.000201977	0.010000	0.000201977	0.010000	0.000201981	0.010000	0.000160879	0.010000	0.000119766	
0.015000	0.000285444	0.015000	0.000285444	0.015000	0.000198831	0.015000	0.000198831	0.015000	0.000198834	0.015000	0.000187299	0.015000	9.81449e-05	
0.020000	0.000292575	0.020000	0.000292575	0.020000	0.000200201	0.020000	0.000200201	0.020000	0.000200204	0.020000	0.000208635	0.020000	8.39397e-05	
0.025000	0.000300625	0.025000	0.000300625	0.025000	0.000203765	0.025000	0.000203765	0.025000	0.000203767	0.025000	0.000226844	0.025000	7.37806e-05	
0.030000	0.000308992	0.030000	0.000308992	0.030000	0.000208486	0.030000	0.000208486	0.030000	0.000208488	0.030000	0.000242896	0.030000	6.60958e-05	
0.035000	0.000317398	0.035000	0.000317398	0.035000	0.000213845	0.035000	0.000213845	0.035000	0.000213847	0.035000	0.000257351	0.035000	6.00465e-05	
0.040000	0.000325707	0.040000	0.000325707	0.040000	0.000219559	0.040000	0.000219559	0.040000	0.00021956	0.040000	0.000270566	0.040000	5.51411e-05	
0.045000	0.000333855	0.045000	0.000333855	0.045000	0.000225461	0.045000	0.000225461	0.045000	0.000225463	0.045000	0.000282784	0.045000	5.10705e-05	
0.050000	0.000341811	0.050000	0.000341811	0.050000	0.000231454	0.050000	0.000231454	0.050000	0.000231455	0.050000	0.000294181	0.050000	4.763e-05 	
0.055000	0.000349563	0.055000	0.000349563	0.055000	0.000237474	0.055000	0.000237474	0.055000	0.000237475	0.055000	0.000304885	0.055000	4.46779e-05	
0.060000	0.000357111	0.060000	0.000357111	0.060000	0.000243482	0.060000	0.000243482	0.060000	0.000243483	0.060000	0.000314998	0.060000	4.2113e-05	
0.070000	0.000371608	0.070000	0.000371608	0.070000	0.000255368	0.070000	0.000255368	0.070000	0.000255369	0.070000	0.000333743	0.070000	3.78648e-05	
0.080000	0.000408484	0.080000	0.000408484	0.080000	0.000285697	0.080000	0.000285697	0.080000	0.000285698	0.080000	0.000374005	0.080000	3.44791e-05	
0.090000	0.000456528	0.090000	0.000456528	0.090000	0.000326314	0.090000	0.000326314	0.090000	0.000326315	0.090000	0.000425112	0.090000	3.14163e-05	
0.100000	0.000503609	0.100000	0.000503609	0.100000	0.000367492	0.100000	0.000367492	0.100000	0.000367493	0.100000	0.00047448	0.100000	2.9129e-05	
0.120000	0.000592481	0.120000	0.000592481	0.120000	0.000448462	0.120000	0.000448462	0.120000	0.000448463	0.120000	0.000566974	0.120000	2.55061e-05	
0.140000	0.000673204	0.140000	0.000673204	0.140000	0.00052528	0.140000	0.00052528	0.140000	0.000525281	0.140000	0.000650449	0.140000	2.27552e-05	
0.160000	0.000745646	0.160000	0.000745646	0.160000	0.000596352	0.160000	0.000596352	0.160000	0.000596353	0.160000	0.000725059	0.160000	2.05875e-05	
0.180000	0.000810368	0.180000	0.000810368	0.180000	0.000661021	0.180000	0.000661021	0.180000	0.000661022	0.180000	0.000791537	0.180000	1.88306e-05	
