! 118In energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00027642	0.001000	0.00027642	0.001000	0.000239602	0.001000	0.000239602	0.001000	0.000239612	0.001000	6.53729e-05	0.001000	0.000211047	
0.002000	0.000284991	0.002000	0.000284991	0.002000	0.000240593	0.002000	0.000240593	0.002000	0.000240601	0.002000	8.47781e-05	0.002000	0.000200212	
0.005000	0.000281204	0.005000	0.000281204	0.005000	0.000225508	0.005000	0.000225508	0.005000	0.000225514	0.005000	0.000119539	0.005000	0.000161665	
0.008000	0.000278391	0.008000	0.000278391	0.008000	0.000216566	0.008000	0.000216566	0.008000	0.00021657	0.008000	0.000142579	0.008000	0.000135812	
0.010000	0.000278283	0.010000	0.000278283	0.010000	0.000213544	0.010000	0.000213544	0.010000	0.000213548	0.010000	0.000155023	0.010000	0.000123259	
0.015000	0.000281639	0.015000	0.000281639	0.015000	0.000211733	0.015000	0.000211733	0.015000	0.000211736	0.015000	0.000180481	0.015000	0.000101158	
0.020000	0.000287639	0.020000	0.000287639	0.020000	0.000214279	0.020000	0.000214279	0.020000	0.000214281	0.020000	0.000201041	0.020000	8.65981e-05	
0.025000	0.000294755	0.025000	0.000294755	0.025000	0.000218919	0.025000	0.000218919	0.025000	0.000218921	0.025000	0.000218587	0.025000	7.61678e-05	
0.030000	0.000302324	0.030000	0.000302324	0.030000	0.000224644	0.030000	0.000224644	0.030000	0.000224646	0.030000	0.000234055	0.030000	6.82685e-05	
0.035000	0.000310029	0.035000	0.000310029	0.035000	0.000230949	0.035000	0.000230949	0.035000	0.000230951	0.035000	0.000247984	0.035000	6.2045e-05	
0.040000	0.000317712	0.040000	0.000317712	0.040000	0.000237561	0.040000	0.000237561	0.040000	0.000237562	0.040000	0.000260717	0.040000	5.69947e-05	
0.045000	0.000325293	0.045000	0.000325293	0.045000	0.000244321	0.045000	0.000244321	0.045000	0.000244322	0.045000	0.000272491	0.045000	5.28016e-05	
0.050000	0.000332729	0.050000	0.000332729	0.050000	0.000251135	0.050000	0.000251135	0.050000	0.000251136	0.050000	0.000283473	0.050000	4.92558e-05	
0.055000	0.00034   	0.055000	0.00034   	0.055000	0.000257944	0.055000	0.000257944	0.055000	0.000257946	0.055000	0.000293788	0.055000	4.62122e-05	
0.060000	0.000347099	0.060000	0.000347099	0.060000	0.000264714	0.060000	0.000264714	0.060000	0.000264715	0.060000	0.000303532	0.060000	4.35669e-05	
0.070000	0.000360779	0.070000	0.000360779	0.070000	0.00027805	0.070000	0.00027805	0.070000	0.000278051	0.070000	0.000321595	0.070000	3.91838e-05	
0.080000	0.000390324	0.080000	0.000390324	0.080000	0.000303881	0.080000	0.000303881	0.080000	0.000303882	0.080000	0.000354636	0.080000	3.56887e-05	
