! 120Sn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000280952	0.001000	0.000280952	0.001000	0.000243558	0.001000	0.000243558	0.001000	0.000243567	0.001000	6.60991e-05	0.001000	0.000214853	
0.002000	0.000290136	0.002000	0.000290136	0.002000	0.000245008	0.002000	0.000245008	0.002000	0.000245017	0.002000	8.572e-05 	0.002000	0.000204416	
0.005000	0.000286621	0.005000	0.000286621	0.005000	0.000229931	0.005000	0.000229931	0.005000	0.000229937	0.005000	0.000120867	0.005000	0.000165753	
0.008000	0.000283694	0.008000	0.000283694	0.008000	0.000220708	0.008000	0.000220708	0.008000	0.000220712	0.008000	0.000144163	0.008000	0.000139531	
0.010000	0.000283494	0.010000	0.000283494	0.010000	0.000217506	0.010000	0.000217506	0.010000	0.00021751	0.010000	0.000156746	0.010000	0.000126748	
0.015000	0.000286663	0.015000	0.000286663	0.015000	0.000215331	0.015000	0.000215331	0.015000	0.000215334	0.015000	0.000182486	0.015000	0.000104177	
0.020000	0.00029254	0.020000	0.00029254	0.020000	0.000217616	0.020000	0.000217616	0.020000	0.000217618	0.020000	0.000203274	0.020000	8.92664e-05	
0.025000	0.000299583	0.025000	0.000299583	0.025000	0.000222065	0.025000	0.000222065	0.025000	0.000222068	0.025000	0.000221016	0.025000	7.8567e-05	
0.030000	0.00030711	0.030000	0.00030711	0.030000	0.000227649	0.030000	0.000227649	0.030000	0.00022765	0.030000	0.000236655	0.030000	7.04542e-05	
0.035000	0.000314795	0.035000	0.000314795	0.035000	0.000233846	0.035000	0.000233846	0.035000	0.000233847	0.035000	0.000250739	0.035000	6.40568e-05	
0.040000	0.000322476	0.040000	0.000322476	0.040000	0.000240374	0.040000	0.000240374	0.040000	0.000240375	0.040000	0.000263614	0.040000	5.88619e-05	
0.045000	0.000330064	0.045000	0.000330064	0.045000	0.000247068	0.045000	0.000247068	0.045000	0.00024707	0.045000	0.000275518	0.045000	5.45462e-05	
0.050000	0.000337517	0.050000	0.000337517	0.050000	0.000253831	0.050000	0.000253831	0.050000	0.000253832	0.050000	0.000286622	0.050000	5.08951e-05	
0.055000	0.000344811	0.055000	0.000344811	0.055000	0.000260601	0.055000	0.000260601	0.055000	0.000260602	0.055000	0.000297051	0.055000	4.77598e-05	
0.060000	0.000351938	0.060000	0.000351938	0.060000	0.000267339	0.060000	0.000267339	0.060000	0.00026734	0.060000	0.000306904	0.060000	4.50339e-05	
0.070000	0.000365683	0.070000	0.000365683	0.070000	0.000280632	0.070000	0.000280632	0.070000	0.000280633	0.070000	0.000325168	0.070000	4.05152e-05	
0.080000	0.000387285	0.080000	0.000387285	0.080000	0.00030054	0.080000	0.00030054	0.080000	0.000300541	0.080000	0.000350375	0.080000	3.69104e-05	
0.090000	0.00043482	0.090000	0.00043482	0.090000	0.000342291	0.090000	0.000342291	0.090000	0.000342291	0.090000	0.000401178	0.090000	3.36415e-05	
0.100000	0.000481781	0.100000	0.000481781	0.100000	0.000384596	0.100000	0.000384596	0.100000	0.000384597	0.100000	0.000450576	0.100000	3.12043e-05	
0.120000	0.000571247	0.120000	0.000571247	0.120000	0.000467696	0.120000	0.000467696	0.120000	0.000467697	0.120000	0.000543907	0.120000	2.73404e-05	
0.140000	0.000653359	0.140000	0.000653359	0.140000	0.000546453	0.140000	0.000546453	0.140000	0.000546454	0.140000	0.000628955	0.140000	2.44034e-05	
0.160000	0.000727685	0.160000	0.000727685	0.160000	0.000619268	0.160000	0.000619268	0.160000	0.000619269	0.160000	0.000705598	0.160000	2.20872e-05	
