! 125Te energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000289944	0.001000	0.000289944	0.001000	0.00025141	0.001000	0.00025141	0.001000	0.00025142	0.001000	6.75119e-05	0.001000	0.000222432	
0.002000	0.000300363	0.002000	0.000300363	0.002000	0.000253789	0.002000	0.000253789	0.002000	0.000253798	0.002000	8.75521e-05	0.002000	0.000212811	
0.005000	0.000297414	0.005000	0.000297414	0.005000	0.000238753	0.005000	0.000238753	0.005000	0.000238759	0.005000	0.000123451	0.005000	0.000173963	
0.008000	0.000294268	0.008000	0.000294268	0.008000	0.000228975	0.008000	0.000228975	0.008000	0.000228979	0.008000	0.000147244	0.008000	0.000147023	
0.010000	0.000293884	0.010000	0.000293884	0.010000	0.000225412	0.010000	0.000225412	0.010000	0.000225416	0.010000	0.000160096	0.010000	0.000133789	
0.015000	0.00029667	0.015000	0.00029667	0.015000	0.000222498	0.015000	0.000222498	0.015000	0.000222501	0.015000	0.000186386	0.015000	0.000110284	
0.020000	0.000302292	0.020000	0.000302292	0.020000	0.000224247	0.020000	0.000224247	0.020000	0.00022425	0.020000	0.000207619	0.020000	9.46737e-05	
0.025000	0.000309174	0.025000	0.000309174	0.025000	0.000228301	0.025000	0.000228301	0.025000	0.000228304	0.025000	0.00022574	0.025000	8.34346e-05	
0.030000	0.000316606	0.030000	0.000316606	0.030000	0.000233586	0.030000	0.000233586	0.030000	0.000233588	0.030000	0.000241713	0.030000	7.48927e-05	
0.035000	0.000324243	0.035000	0.000324243	0.035000	0.000239553	0.035000	0.000239553	0.035000	0.000239555	0.035000	0.000256098	0.035000	6.81452e-05	
0.040000	0.000331907	0.040000	0.000331907	0.040000	0.000245901	0.040000	0.000245901	0.040000	0.000245903	0.040000	0.000269248	0.040000	6.26584e-05	
0.045000	0.000339502	0.045000	0.000339502	0.045000	0.000252453	0.045000	0.000252453	0.045000	0.000252455	0.045000	0.000281407	0.045000	5.80953e-05	
0.050000	0.000346979	0.050000	0.000346979	0.050000	0.000259102	0.050000	0.000259102	0.050000	0.000259104	0.050000	0.000292748	0.050000	5.42312e-05	
0.055000	0.000354311	0.055000	0.000354311	0.055000	0.000265781	0.055000	0.000265781	0.055000	0.000265782	0.055000	0.0003034 	0.055000	5.09105e-05	
0.060000	0.000361485	0.060000	0.000361485	0.060000	0.000272446	0.060000	0.000272446	0.060000	0.000272447	0.060000	0.000313463	0.060000	4.80214e-05	
0.070000	0.000375346	0.070000	0.000375346	0.070000	0.000285634	0.070000	0.000285634	0.070000	0.000285636	0.070000	0.000332118	0.070000	4.32281e-05	
0.080000	0.000388572	0.080000	0.000388572	0.080000	0.000298544	0.080000	0.000298544	0.080000	0.000298545	0.080000	0.000349172	0.080000	3.94007e-05	
0.090000	0.000429106	0.090000	0.000429106	0.090000	0.000335456	0.090000	0.000335456	0.090000	0.000335457	0.090000	0.000392842	0.090000	3.62642e-05	
0.100000	0.000474532	0.100000	0.000474532	0.100000	0.000377602	0.100000	0.000377602	0.100000	0.000377603	0.100000	0.000441201	0.100000	3.33315e-05	
0.120000	0.000562036	0.120000	0.000562036	0.120000	0.000461555	0.120000	0.000461555	0.120000	0.000461556	0.120000	0.000532814	0.120000	2.92221e-05	
0.140000	0.000642715	0.140000	0.000642715	0.140000	0.000541629	0.140000	0.000541629	0.140000	0.00054163	0.140000	0.00061662	0.140000	2.60953e-05	
0.160000	0.000716079	0.160000	0.000716079	0.160000	0.000616054	0.160000	0.000616054	0.160000	0.000616055	0.160000	0.000692452	0.160000	2.36276e-05	
0.180000	0.000782412	0.180000	0.000782412	0.180000	0.000684053	0.180000	0.000684053	0.180000	0.000684054	0.180000	0.000760787	0.180000	2.1625e-05	
0.200000	0.000842319	0.200000	0.000842319	0.200000	0.000745495	0.200000	0.000745495	0.200000	0.000745496	0.200000	0.000822355	0.200000	1.99638e-05	
0.250000	0.000974414	0.250000	0.000974414	0.250000	0.000872635	0.250000	0.000872635	0.250000	0.000872635	0.250000	0.000957593	0.250000	1.68205e-05	
0.300000	0.00109107	0.300000	0.00109107	0.300000	0.000968913	0.300000	0.000968913	0.300000	0.000968914	0.300000	0.00107648	0.300000	1.45954e-05	
0.350000	0.00118503	0.350000	0.00118503	0.350000	0.00104304	0.350000	0.00104304	0.350000	0.00104304	0.350000	0.0011721 	0.350000	1.29295e-05	
0.400000	0.00126187	0.400000	0.00126187	0.400000	0.0011018 	0.400000	0.0011018 	0.400000	0.0011018 	0.400000	0.00125024	0.400000	1.1631e-05	
0.450000	0.00132557	0.450000	0.00132557	0.450000	0.00114993	0.450000	0.00114993	0.450000	0.00114993	0.450000	0.00131498	0.450000	1.05877e-05	
0.500000	0.00137898	0.500000	0.00137898	0.500000	0.00119054	0.500000	0.00119054	0.500000	0.00119054	0.500000	0.00136925	0.500000	9.72947e-06	
0.600000	0.00150273	0.600000	0.00150273	0.600000	0.00125662	0.600000	0.00125662	0.600000	0.00125663	0.600000	0.00149434	0.600000	8.39707e-06	
0.700000	0.00159996	0.700000	0.00159996	0.700000	0.00130929	0.700000	0.00130929	0.700000	0.00130929	0.700000	0.00159255	0.700000	7.40705e-06	
0.800000	0.00167297	0.800000	0.00167297	0.800000	0.00135277	0.800000	0.00135277	0.800000	0.00135277	0.800000	0.00166633	0.800000	6.64001e-06	
0.900000	0.00172825	0.900000	0.00172825	0.900000	0.00140521	0.900000	0.00140521	0.900000	0.00140521	0.900000	0.00172223	0.900000	6.02677e-06	
1.000000	0.00176699	1.000000	0.00176699	1.000000	0.00144992	1.000000	0.00144992	1.000000	0.00144992	1.000000	0.00176146	1.000000	5.52436e-06	
1.250000	0.00179915	1.250000	0.00179915	1.250000	0.00153137	1.250000	0.00153137	1.250000	0.00153137	1.250000	0.00179456	1.250000	4.58936e-06	
1.500000	0.00180805	1.500000	0.00180805	1.500000	0.00158255	1.500000	0.00158255	1.500000	0.00158255	1.500000	0.00180411	1.500000	3.94014e-06	
1.750000	0.00180303	1.750000	0.00180303	1.750000	0.00161369	1.750000	0.00161369	1.750000	0.00161369	1.750000	0.00179957	1.750000	3.46109e-06	
2.000000	0.00177921	2.000000	0.00177921	2.000000	0.0016311 	2.000000	0.0016311 	2.000000	0.0016311 	2.000000	0.00177612	2.000000	3.09199e-06	
2.250000	0.00175463	2.250000	0.00175463	2.250000	0.00163887	2.250000	0.00163887	2.250000	0.00163888	2.250000	0.00175184	2.250000	2.79825e-06	
2.500000	0.00240489	2.500000	0.00172978	2.500000	0.00163978	2.500000	0.00163978	2.500000	0.00163978	2.500000	0.00172722	2.500000	2.55853e-06	
3.000000	0.00230975	3.000000	0.00168039	3.000000	0.00162804	3.000000	0.00162804	3.000000	0.00162804	3.000000	0.0016782 	3.000000	2.18994e-06	
3.500000	0.00221615	3.500000	0.00163305	3.500000	0.00160548	3.500000	0.00160548	3.500000	0.00160548	3.500000	0.00163113	3.500000	1.91901e-06	
4.000000	0.00212736	4.000000	0.00158715	4.000000	0.00157718	4.000000	0.00157718	4.000000	0.00157718	4.000000	0.00158544	4.000000	1.7109e-06	
4.500000	0.00204443	4.500000	0.0015431 	4.500000	0.00154597	4.500000	0.00154597	4.500000	0.00154597	4.500000	0.00154155	4.500000	1.54571e-06	
5.000000	0.00196745	5.000000	0.00150103	5.000000	0.00151325	5.000000	0.00151325	5.000000	0.00151325	5.000000	0.00149962	5.000000	1.41119e-06	
5.500000	0.00189616	5.500000	0.00146055	5.500000	0.00147595	5.500000	0.00147595	5.500000	0.00147595	5.500000	0.00145925	5.500000	1.29939e-06	
6.000000	0.00183012	6.000000	0.00142224	6.000000	0.0014403 	6.000000	0.0014403 	6.000000	0.00144031	6.000000	0.00142104	6.000000	1.20491e-06	
6.500000	0.00176889	6.500000	0.00138595	6.500000	0.00140627	6.500000	0.00140627	6.500000	0.00140628	6.500000	0.00138482	6.500000	1.12394e-06	
7.000000	0.00171199	7.000000	0.00135169	7.000000	0.00137379	7.000000	0.00137379	7.000000	0.00137379	7.000000	0.00135064	7.000000	1.05373e-06	
7.500000	0.00165903	7.500000	0.00131909	7.500000	0.00134278	7.500000	0.00134278	7.500000	0.00134278	7.500000	0.00131809	7.500000	9.9224e-07	
8.000000	0.00160962	8.000000	0.00128803	8.000000	0.00131316	8.000000	0.00131316	8.000000	0.00131316	8.000000	0.00128709	8.000000	9.37902e-07	
8.500000	0.00156342	8.500000	0.0012584 	8.500000	0.00128485	8.500000	0.00128485	8.500000	0.00128485	8.500000	0.00125751	8.500000	8.89518e-07	
9.000000	0.00152013	9.000000	0.00122977	9.000000	0.00125778	9.000000	0.00125778	9.000000	0.00125778	9.000000	0.00122892	9.000000	8.46144e-07	
9.500000	0.00147949	9.500000	0.0012026 	9.500000	0.00123186	9.500000	0.00123186	9.500000	0.00123186	9.500000	0.00120179	9.500000	8.07026e-07	
10.000000	0.00144125	10.000000	0.00112781	10.000000	0.00120703	10.000000	0.00120703	10.000000	0.00120703	10.000000	0.00112704	10.000000	7.71556e-07	
11.000000	0.00137117	11.000000	0.00109643	11.000000	0.00114929	11.000000	0.00116247	11.000000	0.00117269	11.000000	0.00109572	11.000000	7.0966e-07	
12.000000	0.00130847	12.000000	0.0010662 	12.000000	0.00109728	12.000000	0.00112158	12.000000	0.00113939	12.000000	0.00106554	12.000000	6.57422e-07	
13.000000	0.001252  	13.000000	0.00103709	13.000000	0.00105023	13.000000	0.00108397	13.000000	0.00110736	13.000000	0.00103648	13.000000	6.12711e-07	
14.000000	0.00120086	14.000000	0.00100921	14.000000	0.00100749	14.000000	0.00104929	14.000000	0.00107674	14.000000	0.00100864	14.000000	5.73983e-07	
15.000000	0.00115431	15.000000	0.000982597	15.000000	0.000968535	15.000000	0.00101724	15.000000	0.00104755	15.000000	0.000982057	15.000000	5.40094e-07	
16.000000	0.00111172	16.000000	0.000957239	16.000000	0.000932932	16.000000	0.00098755	16.000000	0.00101981	16.000000	0.000956729	16.000000	5.10177e-07	
17.000000	0.0010726 	17.000000	0.000933101	17.000000	0.000900301	17.000000	0.000959991	17.000000	0.000993484	17.000000	0.000932617	17.000000	4.8356e-07	
18.000000	0.00103653	18.000000	0.000910132	18.000000	0.000870273	18.000000	0.000934357	18.000000	0.000968468	18.000000	0.000909672	18.000000	4.59718e-07	
19.000000	0.00100315	19.000000	0.000888272	19.000000	0.000842586	19.000000	0.000910468	19.000000	0.000944767	19.000000	0.000887834	19.000000	4.3823e-07	
20.000000	0.000972165	20.000000	0.000867462	20.000000	0.000817051	20.000000	0.000888166	20.000000	0.000922332	20.000000	0.000867043	20.000000	4.18759e-07	
21.000000	0.000943308	21.000000	0.00084764	21.000000	0.000793446	21.000000	0.000867312	21.000000	0.000901003	21.000000	0.000847239	21.000000	4.01029e-07	
22.000000	0.000916365	22.000000	0.000828745	22.000000	0.00077155	22.000000	0.000847781	22.000000	0.000880832	22.000000	0.00082836	22.000000	3.84813e-07	
23.000000	0.000891142	23.000000	0.000810722	23.000000	0.000751203	23.000000	0.000829466	23.000000	0.000861681	23.000000	0.000810352	23.000000	3.69921e-07	
24.000000	0.000867476	24.000000	0.000793516	24.000000	0.000732288	24.000000	0.000812267	24.000000	0.000843535	24.000000	0.00079316	24.000000	3.56195e-07	
25.000000	0.000845221	25.000000	0.000777077	25.000000	0.000714682	25.000000	0.000796098	25.000000	0.000826317	25.000000	0.000776733	25.000000	3.43501e-07	
27.000000	0.000804451	27.000000	0.000746311	27.000000	0.00068294	27.000000	0.000766541	27.000000	0.000794478	27.000000	0.00074599	27.000000	3.20769e-07	
29.000000	0.000767986	29.000000	0.000718084	29.000000	0.00065529	29.000000	0.000740257	29.000000	0.000765788	29.000000	0.000717783	29.000000	3.00992e-07	
31.000000	0.000735156	31.000000	0.000692102	31.000000	0.000632575	31.000000	0.000714204	31.000000	0.000735247	31.000000	0.000691819	31.000000	2.83621e-07	
33.000000	0.000705426	33.000000	0.000668112	33.000000	0.000613102	33.000000	0.000687931	33.000000	0.000703406	33.000000	0.000667844	33.000000	2.68234e-07	
35.000000	0.000678365	35.000000	0.000645895	35.000000	0.000594957	35.000000	0.000663725	35.000000	0.000674666	35.000000	0.000645641	35.000000	2.54507e-07	
38.000000	0.000642017	38.000000	0.000615489	38.000000	0.000569958	38.000000	0.00063078	38.000000	0.000636402	38.000000	0.000615253	38.000000	2.36473e-07	
41.000000	0.000609937	41.000000	0.000588121	41.000000	0.000547193	41.000000	0.000601293	41.000000	0.000602915	41.000000	0.0005879 	41.000000	2.20934e-07	
44.000000	0.000581393	44.000000	0.000563356	44.000000	0.000526414	44.000000	0.000574741	44.000000	0.000573312	44.000000	0.000563149	44.000000	2.07398e-07	
47.000000	0.000555815	47.000000	0.00054084	47.000000	0.000507389	47.000000	0.000550701	47.000000	0.000546942	47.000000	0.000540644	47.000000	1.95495e-07	
50.000000	0.000532752	50.000000	0.000520278	50.000000	0.000489908	50.000000	0.00052883	50.000000	0.000523282	50.000000	0.000520093	50.000000	1.84943e-07	
55.000000	0.000498945	55.000000	0.000489703	55.000000	0.000463631	55.000000	0.000496449	55.000000	0.000488784	55.000000	0.000489533	55.000000	1.69779e-07	
60.000000	0.000469845	60.000000	0.000462987	60.000000	0.000440436	60.000000	0.000468289	60.000000	0.00045926	60.000000	0.00046283	60.000000	1.57011e-07	
65.000000	0.000444511	65.000000	0.000439439	65.000000	0.000419862	65.000000	0.000443572	65.000000	0.000433708	65.000000	0.000439292	65.000000	1.46105e-07	
70.000000	0.000422237	70.000000	0.000418525	70.000000	0.000401455	70.000000	0.000421702	70.000000	0.000411346	70.000000	0.000418388	70.000000	1.36676e-07	
75.000000	0.000402488	75.000000	0.000399825	75.000000	0.000384855	75.000000	0.000402213	75.000000	0.000392781	75.000000	0.000399697	75.000000	1.2844e-07	
80.000000	0.000384847	80.000000	0.000383005	80.000000	0.000369886	80.000000	0.000384737	80.000000	0.000376187	80.000000	0.000382884	80.000000	1.2118e-07	
85.000000	0.000368985	85.000000	0.000367794	85.000000	0.000356276	85.000000	0.000368977	85.000000	0.000361262	85.000000	0.000367679	85.000000	1.14731e-07	
