! 127I energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000294299	0.001000	0.000294299	0.001000	0.000263636	0.001000	0.000263636	0.001000	0.000263645	0.001000	6.81498e-05	0.001000	0.00022615	
0.002000	0.000305333	0.002000	0.000305333	0.002000	0.000269965	0.002000	0.000269965	0.002000	0.000269973	0.002000	8.83793e-05	0.002000	0.000216954	
0.005000	0.000302671	0.005000	0.000302671	0.005000	0.000261867	0.005000	0.000261867	0.005000	0.000261873	0.005000	0.000124617	0.005000	0.000178053	
0.008000	0.000299409	0.008000	0.000299409	0.008000	0.000256789	0.008000	0.000256789	0.008000	0.000256794	0.008000	0.000148636	0.008000	0.000150773	
0.010000	0.000298928	0.010000	0.000298928	0.010000	0.000255848	0.010000	0.000255848	0.010000	0.000255852	0.010000	0.000161609	0.010000	0.00013732	
0.015000	0.000301505	0.015000	0.000301505	0.015000	0.000258523	0.015000	0.000258523	0.015000	0.000258526	0.015000	0.000188148	0.015000	0.000113357	
0.020000	0.000306981	0.020000	0.000306981	0.020000	0.000265023	0.020000	0.000265023	0.020000	0.000265026	0.020000	0.00020958	0.020000	9.74009e-05	
0.025000	0.000313766	0.025000	0.000313766	0.025000	0.0002733 	0.025000	0.0002733 	0.025000	0.000273302	0.025000	0.000227872	0.025000	8.58933e-05	
0.030000	0.000321135	0.030000	0.000321135	0.030000	0.000282431	0.030000	0.000282431	0.030000	0.000282433	0.030000	0.000243997	0.030000	7.71373e-05	
0.035000	0.000328732	0.035000	0.000328732	0.035000	0.000291957	0.035000	0.000291957	0.035000	0.000291958	0.035000	0.000258517	0.035000	7.02145e-05	
