! 130Xe energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000298753	0.001000	0.000298753	0.001000	0.000320463	0.001000	0.000320463	0.001000	0.000320473	0.001000	6.88613e-05	0.001000	0.000229892	
0.002000	0.000310423	0.002000	0.000310423	0.002000	0.000349206	0.002000	0.000349206	0.002000	0.000349215	0.002000	8.93021e-05	0.002000	0.000221121	
0.005000	0.000308091	0.005000	0.000308091	0.005000	0.000384688	0.005000	0.000384688	0.005000	0.000384694	0.005000	0.000125918	0.005000	0.000182172	
0.008000	0.000304742	0.008000	0.000304742	0.008000	0.000410717	0.008000	0.000410717	0.008000	0.000410722	0.008000	0.000150188	0.008000	0.000154554	
0.010000	0.000304178	0.010000	0.000304178	0.010000	0.00042728	0.010000	0.00042728	0.010000	0.000427284	0.010000	0.000163296	0.010000	0.000140882	
0.015000	0.000306574	0.015000	0.000306574	0.015000	0.000467225	0.015000	0.000467225	0.015000	0.000467229	0.015000	0.000190112	0.015000	0.000116462	
0.020000	0.000311926	0.020000	0.000311926	0.020000	0.000505183	0.020000	0.000505183	0.020000	0.000505186	0.020000	0.000211769	0.020000	0.000100157	
0.025000	0.000318631	0.025000	0.000318631	0.025000	0.000541212	0.025000	0.000541212	0.025000	0.000541215	0.025000	0.000230252	0.025000	8.83798e-05	
0.030000	0.000325953	0.030000	0.000325953	0.030000	0.000575461	0.030000	0.000575461	0.030000	0.000575463	0.030000	0.000246545	0.030000	7.94081e-05	
0.035000	0.000333525	0.035000	0.000333525	0.035000	0.000608107	0.035000	0.000608107	0.035000	0.000608109	0.035000	0.000261217	0.035000	7.23088e-05	
0.040000	0.000341158	0.040000	0.000341158	0.040000	0.00063932	0.040000	0.00063932	0.040000	0.000639322	0.040000	0.00027463	0.040000	6.65282e-05	
0.045000	0.000348747	0.045000	0.000348747	0.045000	0.000669253	0.045000	0.000669253	0.045000	0.000669254	0.045000	0.000287032	0.045000	6.17154e-05	
0.050000	0.000356236	0.050000	0.000356236	0.050000	0.000698036	0.050000	0.000698036	0.050000	0.000698038	0.050000	0.000298599	0.050000	5.76362e-05	
0.055000	0.000363593	0.055000	0.000363593	0.055000	0.000725785	0.055000	0.000725785	0.055000	0.000725787	0.055000	0.000309465	0.055000	5.41279e-05	
0.060000	0.000370803	0.060000	0.000370803	0.060000	0.000752597	0.060000	0.000752597	0.060000	0.000752598	0.060000	0.000319729	0.060000	5.10735e-05	
0.070000	0.000384758	0.070000	0.000384758	0.070000	0.000803733	0.070000	0.000803733	0.070000	0.000803735	0.070000	0.000338756	0.070000	4.6002e-05	
0.080000	0.0003981 	0.080000	0.0003981 	0.080000	0.000851997	0.080000	0.000851997	0.080000	0.000851999	0.080000	0.000356151	0.080000	4.19486e-05	
0.090000	0.00042449	0.090000	0.00042449	0.090000	0.000902155	0.090000	0.000902155	0.090000	0.000902156	0.090000	0.000385866	0.090000	3.86244e-05	
0.100000	0.000470341	0.100000	0.000470341	0.100000	0.000955109	0.100000	0.000955109	0.100000	0.000955111	0.100000	0.000434832	0.100000	3.55092e-05	
0.120000	0.000559142	0.120000	0.000559142	0.120000	0.00105019	0.120000	0.00105019	0.120000	0.00105019	0.120000	0.000527992	0.120000	3.11502e-05	
0.140000	0.000641455	0.140000	0.000641455	0.140000	0.00113056	0.140000	0.00113056	0.140000	0.00113056	0.140000	0.000613625	0.140000	2.78301e-05	
0.160000	0.000716631	0.160000	0.000716631	0.160000	0.00119757	0.160000	0.00119757	0.160000	0.00119757	0.160000	0.000691423	0.160000	2.52078e-05	
0.180000	0.000784851	0.180000	0.000784851	0.180000	0.00125287	0.180000	0.00125287	0.180000	0.00125287	0.180000	0.000761773	0.180000	2.30785e-05	
0.200000	0.000846657	0.200000	0.000846657	0.200000	0.00129818	0.200000	0.00129818	0.200000	0.00129818	0.200000	0.000825346	0.200000	2.13113e-05	
0.250000	0.000979255	0.250000	0.000979255	0.250000	0.00137805	0.250000	0.00137805	0.250000	0.00137805	0.250000	0.00096129	0.250000	1.7965e-05	
0.300000	0.00110941	0.300000	0.00110941	0.300000	0.00142601	0.300000	0.00142601	0.300000	0.00142601	0.300000	0.00109381	0.300000	1.55945e-05	
0.350000	0.00121484	0.350000	0.00121484	0.350000	0.00145582	0.350000	0.00145582	0.350000	0.00145583	0.350000	0.00120102	0.350000	1.38187e-05	
0.400000	0.00130132	0.400000	0.00130132	0.400000	0.00147571	0.400000	0.00147571	0.400000	0.00147571	0.400000	0.00128889	0.400000	1.2434e-05	
0.450000	0.00137311	0.450000	0.00137311	0.450000	0.00149031	0.450000	0.00149031	0.450000	0.00149032	0.450000	0.00136179	0.450000	1.1321e-05	
0.500000	0.00143332	0.500000	0.00143332	0.500000	0.00150215	0.500000	0.00150215	0.500000	0.00150215	0.500000	0.00142292	0.500000	1.04052e-05	
0.600000	0.00155205	0.600000	0.00155205	0.600000	0.00152212	0.600000	0.00152212	0.600000	0.00152212	0.600000	0.00154307	0.600000	8.98281e-06	
0.700000	0.00165449	0.700000	0.00165449	0.700000	0.00154   	0.700000	0.00154   	0.700000	0.00154   	0.700000	0.00164657	0.700000	7.92555e-06	
0.800000	0.0017318 	0.800000	0.0017318 	0.800000	0.00155658	0.800000	0.00155658	0.800000	0.00155658	0.800000	0.00172469	0.800000	7.10615e-06	
0.900000	0.00179064	0.900000	0.00179064	0.900000	0.00157183	0.900000	0.00157183	0.900000	0.00157184	0.900000	0.00178419	0.900000	6.45088e-06	
1.000000	0.00183562	1.000000	0.00183562	1.000000	0.0015856 	1.000000	0.0015856 	1.000000	0.00158561	1.000000	0.0018297 	1.000000	5.91392e-06	
1.250000	0.00187156	1.250000	0.00187156	1.250000	0.00161317	1.250000	0.00161317	1.250000	0.00161317	1.250000	0.00186665	1.250000	4.91433e-06	
1.500000	0.00187896	1.500000	0.00187896	1.500000	0.00163152	1.500000	0.00163152	1.500000	0.00163152	1.500000	0.00187474	1.500000	4.22001e-06	
1.750000	0.00187375	1.750000	0.00187375	1.750000	0.00166352	1.750000	0.00166352	1.750000	0.00166352	1.750000	0.00187004	1.750000	3.70755e-06	
2.000000	0.00185364	2.000000	0.00185364	2.000000	0.00168459	2.000000	0.00168459	2.000000	0.00168459	2.000000	0.00185033	2.000000	3.31263e-06	
2.250000	0.00182871	2.250000	0.00182871	2.250000	0.0016953 	2.250000	0.0016953 	2.250000	0.0016953 	2.250000	0.00182572	2.250000	2.99828e-06	
2.500000	0.00252565	2.500000	0.00180351	2.500000	0.00169857	2.500000	0.00169857	2.500000	0.00169857	2.500000	0.00180077	2.500000	2.7417e-06	
3.000000	0.0024288 	3.000000	0.00175332	3.000000	0.00169032	3.000000	0.00169032	3.000000	0.00169032	3.000000	0.00175097	3.000000	2.34712e-06	
3.500000	0.00233287	3.500000	0.00170368	3.500000	0.00167005	3.500000	0.00167005	3.500000	0.00167006	3.500000	0.00170163	3.500000	2.05702e-06	
4.000000	0.00224151	4.000000	0.00165612	4.000000	0.00164324	4.000000	0.00164324	4.000000	0.00164324	4.000000	0.00165428	4.000000	1.83415e-06	
4.500000	0.00215591	4.500000	0.00161091	4.500000	0.00161296	4.500000	0.00161296	4.500000	0.00161296	4.500000	0.00160925	4.500000	1.65721e-06	
5.000000	0.00207628	5.000000	0.00156799	5.000000	0.00158102	5.000000	0.00158102	5.000000	0.00158102	5.000000	0.00156648	5.000000	1.51312e-06	
5.500000	0.0020024 	5.500000	0.00152751	5.500000	0.00154594	5.500000	0.00154594	5.500000	0.00154594	5.500000	0.00152611	5.500000	1.39334e-06	
6.000000	0.00193385	6.000000	0.00148914	6.000000	0.00150977	6.000000	0.00150977	6.000000	0.00150977	6.000000	0.00148785	6.000000	1.29212e-06	
6.500000	0.0018702 	6.500000	0.00145256	6.500000	0.00147516	6.500000	0.00147516	6.500000	0.00147516	6.500000	0.00145135	6.500000	1.20536e-06	
7.000000	0.001811  	7.000000	0.0014176 	7.000000	0.00144206	7.000000	0.00144206	7.000000	0.00144206	7.000000	0.00141647	7.000000	1.13013e-06	
7.500000	0.00175583	7.500000	0.00138418	7.500000	0.0014104 	7.500000	0.0014104 	7.500000	0.0014104 	7.500000	0.00138312	7.500000	1.06423e-06	
8.000000	0.00170432	8.000000	0.00135236	8.000000	0.00138011	8.000000	0.00138011	8.000000	0.00138011	8.000000	0.00135135	8.000000	1.00599e-06	
8.500000	0.00165611	8.500000	0.00132202	8.500000	0.00135113	8.500000	0.00135113	8.500000	0.00135113	8.500000	0.00132106	8.500000	9.54134e-07	
9.000000	0.00161091	9.000000	0.00129301	9.000000	0.00132337	9.000000	0.00132337	9.000000	0.00132337	9.000000	0.0012921 	9.000000	9.07644e-07	
9.500000	0.00156844	9.500000	0.00126513	9.500000	0.00129676	9.500000	0.00129676	9.500000	0.00129676	9.500000	0.00126427	9.500000	8.65714e-07	
10.000000	0.00152845	10.000000	0.00118706	10.000000	0.00127124	10.000000	0.00127124	10.000000	0.00127124	10.000000	0.00118623	10.000000	8.27692e-07	
11.000000	0.0014551 	11.000000	0.00115507	11.000000	0.00121122	11.000000	0.00122547	11.000000	0.00123691	11.000000	0.00115431	11.000000	7.61339e-07	
12.000000	0.0013894 	12.000000	0.00112421	12.000000	0.00115707	12.000000	0.00118338	12.000000	0.00120337	12.000000	0.0011235 	12.000000	7.05336e-07	
13.000000	0.00133018	13.000000	0.00109446	13.000000	0.00110802	13.000000	0.0011446 	13.000000	0.00117095	13.000000	0.0010938 	13.000000	6.57398e-07	
14.000000	0.0012765 	14.000000	0.00106588	14.000000	0.00106343	14.000000	0.0011088 	14.000000	0.00113981	14.000000	0.00106527	14.000000	6.15873e-07	
15.000000	0.00122759	15.000000	0.00103853	15.000000	0.00102275	15.000000	0.00107568	15.000000	0.00111002	15.000000	0.00103795	15.000000	5.79535e-07	
16.000000	0.00118282	16.000000	0.00101242	16.000000	0.000985525	16.000000	0.00104496	16.000000	0.00108163	16.000000	0.00101187	16.000000	5.47454e-07	
17.000000	0.00114167	17.000000	0.00098752	17.000000	0.000951365	17.000000	0.00101641	17.000000	0.0010546 	17.000000	0.000987001	17.000000	5.1891e-07	
18.000000	0.0011037 	18.000000	0.000963784	18.000000	0.000919931	18.000000	0.00098984	18.000000	0.00102886	18.000000	0.00096329	18.000000	4.93341e-07	
19.000000	0.00106854	19.000000	0.000941161	19.000000	0.000890942	19.000000	0.000965054	19.000000	0.00100442	19.000000	0.000940691	19.000000	4.70296e-07	
20.000000	0.00103588	20.000000	0.000919596	20.000000	0.000864164	20.000000	0.000941898	20.000000	0.000981246	20.000000	0.000919146	20.000000	4.49413e-07	
21.000000	0.00100546	21.000000	0.000899029	21.000000	0.000839383	21.000000	0.000920231	21.000000	0.00095917	21.000000	0.000898598	21.000000	4.30396e-07	
22.000000	0.000977034	22.000000	0.000879402	22.000000	0.000816404	22.000000	0.000899927	22.000000	0.000938261	22.000000	0.000878989	22.000000	4.13003e-07	
23.000000	0.000950414	23.000000	0.000860661	23.000000	0.000795067	23.000000	0.000880875	23.000000	0.000918378	23.000000	0.000860264	23.000000	3.9703e-07	
24.000000	0.000925425	24.000000	0.000842752	24.000000	0.00077523	24.000000	0.000862975	24.000000	0.000899514	24.000000	0.00084237	24.000000	3.82307e-07	
25.000000	0.000901917	25.000000	0.000825626	25.000000	0.000756756	25.000000	0.000846139	25.000000	0.000881591	25.000000	0.000825257	25.000000	3.6869e-07	
27.000000	0.000858827	27.000000	0.000793535	27.000000	0.000723385	27.000000	0.000815343	27.000000	0.000848392	27.000000	0.000793191	27.000000	3.44305e-07	
29.000000	0.000820257	29.000000	0.000764048	29.000000	0.000694236	29.000000	0.000787938	29.000000	0.000818411	29.000000	0.000763725	29.000000	3.23089e-07	
31.000000	0.00078551	31.000000	0.000736869	31.000000	0.000670518	31.000000	0.000760688	31.000000	0.000786187	31.000000	0.000736565	31.000000	3.04452e-07	
33.000000	0.000754026	33.000000	0.000711742	33.000000	0.000650449	33.000000	0.000733125	33.000000	0.000752368	33.000000	0.000711454	33.000000	2.87945e-07	
